Location	Bucket	Type	Visitor Count	Percentage
Midura Central	Total visitors with CEL	CEL Distance	5920	
Midura Central	Median distance traveled from CEL	CEL Distance	10.726027986843429	
Midura Central	Lives within 1 mile of location	CEL Distance	737	12.45%
Midura Central	Lives between 1 and 2 miles	CEL Distance	780	13.18%
Midura Central	Lives between 2 and 3 miles	CEL Distance	548	9.26%
Midura Central	Lives between 3 and 5 miles	CEL Distance	337	5.69%
Midura Central	Lives between 5 and 10 miles	CEL Distance	552	9.32%
Midura Central	Lives between 10 and 25 miles	CEL Distance	123	2.08%
Midura Central	Lives between 25 and 50 miles	CEL Distance	216	3.65%
Midura Central	Lives between 50 and 100 miles	CEL Distance	336	5.68%
Midura Central	Lives >100 miles away	CEL Distance	2291	38.70%
Midura Central	Total visitors with CDL	CDL Distance	5808	
Midura Central	Median distance traveled from CDL	CDL Distance	10.136493927470898	
Midura Central	Works within 1 mile of location	CDL Distance	683	11.76%
Midura Central	Works between 1 and 2 miles	CDL Distance	867	14.93%
Midura Central	Works between 2 and 3 miles	CDL Distance	531	9.14%
Midura Central	Works between 3 and 5 miles	CDL Distance	301	5.18%
Midura Central	Works between 5 and 10 miles	CDL Distance	520	8.95%
Midura Central	Works between 10 and 25 miles	CDL Distance	121	2.08%
Midura Central	Works between 25 and 50 miles	CDL Distance	219	3.77%
Midura Central	Works between 50 and 100 miles	CDL Distance	354	6.10%
Midura Central	Works >100 miles away	CDL Distance	2212	38.09%
Midura Central	3500	Top CEL Zip Code	1884	31.82%
Midura Central	3498	Top CEL Zip Code	305	5.15%
Midura Central	3496	Top CEL Zip Code	282	4.76%
Midura Central	3505	Top CEL Zip Code	226	3.82%
Midura Central	2880	Top CEL Zip Code	173	2.92%
Midura Central	3549	Top CEL Zip Code	167	2.82%
Midura Central	2648	Top CEL Zip Code	94	1.59%
Midura Central	2738	Top CEL Zip Code	86	1.45%
Midura Central	3501	Top CEL Zip Code	80	1.35%
Midura Central	2739	Top CEL Zip Code	70	1.18%
Midura Central	5341	Top CEL Zip Code	65	1.10%
Midura Central	2717	Top CEL Zip Code	45	0.76%
Midura Central	3490	Top CEL Zip Code	43	0.73%
Midura Central	3585	Top CEL Zip Code	43	0.73%
Midura Central	3494	Top CEL Zip Code	41	0.69%
Midura Central	5333	Top CEL Zip Code	39	0.66%
Midura Central	3350	Top CEL Zip Code	28	0.47%
Midura Central	3551	Top CEL Zip Code	27	0.46%
Midura Central	5343	Top CEL Zip Code	25	0.42%
Midura Central	2737	Top CEL Zip Code	24	0.41%
Midura Central	3500	Top CDL Zip Code	1920	33.06%
Midura Central	3498	Top CDL Zip Code	288	4.96%
Midura Central	3496	Top CDL Zip Code	270	4.65%
Midura Central	3505	Top CDL Zip Code	202	3.48%
Midura Central	2880	Top CDL Zip Code	173	2.98%
Midura Central	3549	Top CDL Zip Code	166	2.86%
Midura Central	2648	Top CDL Zip Code	95	1.64%
Midura Central	3501	Top CDL Zip Code	72	1.24%
Midura Central	2738	Top CDL Zip Code	71	1.22%
Midura Central	2739	Top CDL Zip Code	65	1.12%
Midura Central	5341	Top CDL Zip Code	64	1.10%
Midura Central	3585	Top CDL Zip Code	51	0.88%
Midura Central	3490	Top CDL Zip Code	47	0.81%
Midura Central	2717	Top CDL Zip Code	46	0.79%
Midura Central	3494	Top CDL Zip Code	38	0.65%
Midura Central	5333	Top CDL Zip Code	35	0.60%
Midura Central	5343	Top CDL Zip Code	35	0.60%
Midura Central	2737	Top CDL Zip Code	27	0.46%
Midura Central	3550	Top CDL Zip Code	27	0.46%
Midura Central	3350	Top CDL Zip Code	26	0.45%
Midura Central	21502147027	Top CEL Census Block Group	66	1.11%
Midura Central	21502147013	Top CEL Census Block Group	63	1.06%
Midura Central	21502147002	Top CEL Census Block Group	60	1.01%
Midura Central	21502146911	Top CEL Census Block Group	48	0.81%
Midura Central	21502146923	Top CEL Census Block Group	45	0.76%
Midura Central	21502147011	Top CEL Census Block Group	45	0.76%
Midura Central	21502147014	Top CEL Census Block Group	44	0.74%
Midura Central	21502147012	Top CEL Census Block Group	43	0.73%
Midura Central	21502147019	Top CEL Census Block Group	43	0.73%
Midura Central	21502146908	Top CEL Census Block Group	42	0.71%
Midura Central	21502139911	Top CEL Census Block Group	40	0.68%
Midura Central	21502146935	Top CEL Census Block Group	37	0.63%
Midura Central	21502147006	Top CEL Census Block Group	37	0.63%
Midura Central	21502147004	Top CEL Census Block Group	36	0.61%
Midura Central	21502147009	Top CEL Census Block Group	35	0.59%
Midura Central	21502146906	Top CEL Census Block Group	34	0.57%
Midura Central	21502146915	Top CEL Census Block Group	34	0.57%
Midura Central	21502146918	Top CEL Census Block Group	34	0.57%
Midura Central	21502146902	Top CEL Census Block Group	33	0.56%
Midura Central	21502146914	Top CEL Census Block Group	33	0.56%
Midura Central	21502147012	Top CDL Census Block Group	70	1.21%
Midura Central	21502146902	Top CDL Census Block Group	60	1.03%
Midura Central	21502147002	Top CDL Census Block Group	57	0.98%
Midura Central	21502147013	Top CDL Census Block Group	57	0.98%
Midura Central	21502146918	Top CDL Census Block Group	55	0.95%
Midura Central	21502147027	Top CDL Census Block Group	48	0.83%
Midura Central	21502146909	Top CDL Census Block Group	46	0.79%
Midura Central	21502146913	Top CDL Census Block Group	43	0.74%
