Date	Polygon	Observed Devices
2019-10-11	Midura Central	89
2019-10-12	Midura Central	122
2019-10-13	Midura Central	91
2019-10-14	Midura Central	79
2019-10-15	Midura Central	76
2019-10-16	Midura Central	87
2019-10-17	Midura Central	87
2019-10-18	Midura Central	112
2019-10-19	Midura Central	139
2019-10-20	Midura Central	85
2019-10-21	Midura Central	87
2019-10-22	Midura Central	87
2019-10-23	Midura Central	83
2019-10-24	Midura Central	60
2019-10-25	Midura Central	121
2019-10-26	Midura Central	134
2019-10-27	Midura Central	101
2019-10-28	Midura Central	83
2019-10-29	Midura Central	82
2019-10-30	Midura Central	97
2019-10-31	Midura Central	104
2019-11-01	Midura Central	112
2019-11-02	Midura Central	131
2019-11-03	Midura Central	99
2019-11-04	Midura Central	115
2019-11-05	Midura Central	73
2019-11-06	Midura Central	95
2019-11-07	Midura Central	112
2019-11-08	Midura Central	125
2019-11-09	Midura Central	140
2019-11-10	Midura Central	129
2019-11-11	Midura Central	99
2019-11-12	Midura Central	97
2019-11-13	Midura Central	110
2019-11-14	Midura Central	123
2019-11-15	Midura Central	128
2019-11-16	Midura Central	145
2019-11-17	Midura Central	106
2019-11-18	Midura Central	95
2019-11-19	Midura Central	104
2019-11-20	Midura Central	110
2019-11-21	Midura Central	102
2019-11-22	Midura Central	143
2019-11-23	Midura Central	146
2019-11-24	Midura Central	93
2019-11-25	Midura Central	105
2019-11-26	Midura Central	107
2019-11-27	Midura Central	88
2019-11-28	Midura Central	131
2019-11-29	Midura Central	166
2019-11-30	Midura Central	155
2019-12-01	Midura Central	152
2019-12-02	Midura Central	117
2019-12-03	Midura Central	123
2019-12-04	Midura Central	108
2019-12-05	Midura Central	134
2019-12-06	Midura Central	147
2019-12-07	Midura Central	183
2019-12-08	Midura Central	119
2019-12-09	Midura Central	125
2019-12-10	Midura Central	112
2019-12-11	Midura Central	113
2019-12-12	Midura Central	127
2019-12-13	Midura Central	170
2019-12-14	Midura Central	201
2019-12-15	Midura Central	150
2019-12-16	Midura Central	148
2019-12-17	Midura Central	141
2019-12-18	Midura Central	181
2019-12-19	Midura Central	170
2019-12-20	Midura Central	201
2019-12-21	Midura Central	211
2019-12-22	Midura Central	190
2019-12-23	Midura Central	211
2019-12-24	Midura Central	247
2019-12-25	Midura Central	4
2019-12-26	Midura Central	302
2019-12-27	Midura Central	185
2019-12-28	Midura Central	153
2019-12-29	Midura Central	143
2019-12-30	Midura Central	177
2019-12-31	Midura Central	151
2020-01-01	Midura Central	82
2020-01-02	Midura Central	133
2020-01-03	Midura Central	169
2020-01-04	Midura Central	118
2020-01-05	Midura Central	116
2020-01-06	Midura Central	128
2020-01-07	Midura Central	116
2020-01-08	Midura Central	126
2020-01-09	Midura Central	122
2020-01-10	Midura Central	150
2020-01-11	Midura Central	124
2020-01-12	Midura Central	103
2020-01-13	Midura Central	116
2020-01-14	Midura Central	124
