Polygon ID	Device ID	Resident	Worker	CEL Lat	CEL Lng	CEL Country	CEL State	CEL Zip	CEL Census Block ID	CEL Metro	CDL Lat	CDL Lng	CDL Country	CDL State	CDL Zip	CDL Census Block ID	CDL Metro	Commute Distance
Midura Central	b488dacfc1689ee470f14a1ddae747e242eb4075	true	true	-34.20714050355907	142.13908256258452	AUS	Victoria	3500	21502147012	Mildura RC	-34.207163503559066	142.13904256255984	AUS	Victoria	3500	21502147012	Mildura RC	0.002786915269816644
Midura Central	c28a013e808cf7b225f8bb98dcecb2f7ad4a693e	true	unknown	-34.20674799772248	142.13904404846645	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	aaabd3051cd2f7c5dcdffe9411922423de4d9eff	unknown	true								-34.2074274676994	142.13970385121496	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	cadc0c75bef2cd4d7d78812626c89b18ebfd05b5	false	true	-34.169598882773776	142.14582640249182	AUS	Victoria	3500	21502146927	Mildura RC	-34.206871882773775	142.13956456798138	AUS	Victoria	3500	21502147012	Mildura RC	2.6029767060416686
Midura Central	c7c1df76d5f6cf4ae0001120608c445054e70a74	false	true	-34.31141548699633	142.21947999291507	AUS	Victoria	3496	21502139911	Mildura RC	-34.20704048699633	142.13909124216414	AUS	Victoria	3500	21502147012	Mildura RC	8.558343264589515
Midura Central	6fcbdffe88f64de6fddfeefb38b6f4ced4e9b608	false	true	-34.19849644349193	142.1500432658941	AUS	Victoria	3500	21502146911	Mildura RC	-34.20694644349193	142.1395502679256	AUS	Victoria	3500	21502147012	Mildura RC	0.8378369532038191
Midura Central	8f8c5e5eca3de142c355d92dbdb6c38a1b22ef6c	false	true	-34.201583139527614	142.12685567191346	AUS	Victoria	3500	21502147031	Mildura RC	-34.20728013952761	142.1384876692554	AUS	Victoria	3500	21502147012	Mildura RC	0.7733584116558474
Midura Central	9745665e66e77330f33b16c71d853f312b0a67fa	unknown	true								-34.2074168495562	142.13912244927891	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	ff060074d9ac1cac735550aec6642c5fcf41186a	unknown	true								-34.20738035223263	142.1391836557252	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	c10beeaa066eb1b7a7f10fc3f7fc5c2b92b03ca5	false	true	-34.18096128333995	142.1542497418298	AUS	Victoria	3500	21502146907	Mildura RC	-34.20844528333995	142.14055681541717	AUS	Victoria	3500	21502147012	Mildura RC	2.056181050959578
Midura Central	0dc8596836321b8cc418747033237000304a78d2	unknown	true								-34.20774026087546	142.1389856677171	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	dfd1ffb2f2c9f89df9ed9dfecd12b62218dd0f2a	false	true	-34.27457275258051	142.08405822684153	AUS	Victoria	3501	21502139815	Mildura RC	-34.20765175258051	142.13983228864595	AUS	Victoria	3500	21502147012	Mildura RC	5.621281262281577
