Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
Midura Central	d8fbd4ae273701b144c69718f7940038857105de	-34.60832616513683	138.68939040263444	AUS	South Australia	5118	40201102526	Light RegC	198.83458995975582	-34.64497916513683	138.90047337188295	AUS	South Australia	5351	40501111202	Barossa DC	187.26801989213251
Midura Central	83cdeb817d4bffac5eeba1716456d09a27e0a532	-34.17162001111425	142.18664245984172	AUS	New South Wales	2739	10902117808	Wentworth A	3.6583708012108285	-34.17162101111425	142.1866384598417	AUS	New South Wales	2739	10902117808	Wentworth A	3.6581557756783676
Midura Central	a3ca9f84c6004c4649c4398bcc7c1a6cb57fc698	-37.67911695494497	144.89735709054375	AUS	Victoria	3049	21005124514	Hume C	285.46836885277594	-37.67910895494497	144.89752209059273	AUS	Victoria	3049	21005124514	Hume C	285.4729018926484
Midura Central	c90bd0837110ec6aeb54b2566bfb17ffed109acb	-33.926074524987534	151.2557307742121	AUS	New South Wales	2034	11802134830	Randwick C	522.5374185159699	-33.926060524987534	151.25556777416315	AUS	New South Wales	2034	11802134830	Randwick C	522.5281735402483
Midura Central	44a88400dc5c927d989fd53a9ddad52292aff036	-34.19556290911603	142.16502190198204	AUS	Victoria	3500	21502146931	Mildura RC	1.6686050441627642	-34.19555490911603	142.16501990197352	AUS	Victoria	3500	21502146931	Mildura RC	1.6687801358485326
Midura Central	96947bd566263d4bf862f3bd565296ffe9b85076	-34.20912776508764	142.13879478593825	AUS	Victoria	3500	21502147020	Mildura RC	0.12238134649538056	-34.167737765087644	142.14206082774461	AUS	Victoria	3500	21502146927	Mildura RC	2.7551877837155367
Midura Central	119b9f7e81fcfa37322e4088157584cf745841f8	-36.66259402374084	144.34693097262448	AUS	Victoria	3551	20201102516	Greater Bendigo C	210.49100564868863	-36.74709902374084	144.31948699019674	AUS	Victoria	3550	20201102037	Greater Bendigo C	214.30682446049474
Midura Central	b39ed48356ef1cfc5e0aaf43db983d5d44251dd0	-37.66722639436569	144.537087715295	AUS	Victoria	3337	21304135841	Melton C	274.37497425543273	-37.66720739436569	144.53707271533167	AUS	Victoria	3337	21304135841	Melton C	274.3734254296728
Midura Central	0858a6b5a1e35c12735b00faca7a1f106951420f	-33.77587797674366	150.98845343968867	AUS	New South Wales	2153	12504149422	Parramatta C	508.200109108833	-34.16794297674366	142.05951640655076	AUS	Victoria	3505	21502139608	Mildura RC	5.342217184502522
Midura Central	a5857ab8934c5e9d32ba8dae2fbc799908c18fd4	25.12670344482219	121.78500083497131	TWN					4316.3454939941175	25.05897944482219	121.54135273324526	TWN					4316.8999726382735
Midura Central	2d9cb8c6801ff336b50103918572f84cda50b242	-34.181631894652895	142.15557143545797	AUS	Victoria	3500	21502146907	Mildura RC	2.008087316463133	-34.181640894652894	142.15558043543282	AUS	Victoria	3500	21502146907	Mildura RC	2.0077652429174817
Midura Central	1ccd659ee856221f8b48ffd6b5eb073603f5d891	-34.180611556337425	142.14179260228352	AUS	Victoria	3500	21502146925	Mildura RC	1.8652392593196014	-34.180594556337425	142.14178860234063	AUS	Victoria	3500	21502146925	Mildura RC	1.8663979879853234
Midura Central	da6b8a4a659e7913fbc43752305b673a865eadce	-34.23596936715592	142.03504204115774	AUS	Victoria	3501	21502139815	Mildura RC	6.300562446184547	-34.23597136715592	142.03503604116736	AUS	Victoria	3501	21502139815	Mildura RC	6.300931588500008
Midura Central	d1cd211817a923110fdc3c1ba78dd52f1feebae8	-34.21119940686174	142.14561536130503	AUS	Victoria	3500	21502147008	Mildura RC	0.42377306668792486	-34.19703040686174	142.18314729620008	AUS	Victoria	3500	21502146918	Mildura RC	2.589802688223038
Midura Central	481200e8c394caff05502c42c50437d80721656e	-37.82780370345779	140.80980682422873	AUS	South Australia	5290	40702117334	Mount Gambier C	261.2279982649168	-37.82790470345779	140.80966082414227	AUS	South Australia	5290	40702117334	Mount Gambier C	261.2370058370487
Midura Central	5d9b208ceb782f27a0f0616be7b4ec5f71f26e26	-34.1717531927378	142.14627709888234	AUS	Victoria	3500	21502146928	Mildura RC	2.502633211142531	-34.185492192737804	142.14374111306591	AUS	Victoria	3500	21502146925	Mildura RC	1.54128042500486
Midura Central	9276f18e9cabbd93ab72846b65b598bf8400d85e	-34.10605383746985	141.9217606728961	AUS	New South Wales	2648	10902117813	Wentworth A	14.313069944939341	-34.106057837469855	141.9217706728812	AUS	New South Wales	2648	10902117813	Wentworth A	14.312435164868532
Midura Central	7a8309c0c2bdd947b68d259d1dd9ab5da1a038c3	-34.24473882988327	142.2092900357019	AUS	Victoria	3498	21502139509	Mildura RC	4.74045089766866	-34.24474082988327	142.20931703569892	AUS	Victoria	3498	21502139509	Mildura RC	4.741822678993089
Midura Central	fcbb310fa056d0c73f593e5c47a076df75901690	-34.181466440413	142.1603563426495	AUS	Victoria	3500	21502146909	Mildura RC	2.155446546826099	-34.205602440412996	142.139041353339	AUS	Victoria	3500	21502147012	Mildura RC	0.13782547969507003
Midura Central	ede31d39c8558b6f9b8e730894b5d51c04a63ec4	-34.20462007312991	142.14615425440812	AUS	Victoria	3500	21502147009	Mildura RC	0.4206856915278059	-34.16957907312991	142.07053324558026	AUS	Victoria	3505	21502139601	Mildura RC	4.748264444592288
Midura Central	c99e369ac2cf8ca07b9fc8bd1bed2605c7f81ed2	-34.58498386131717	142.7808154660105	AUS	Victoria	3549	21503140302	Swan Hill RC	44.95252623935471	-34.584988861317164	142.78082146603387	AUS	Victoria	3549	21503140302	Swan Hill RC	44.95300499481294
Midura Central	7893434478f5977b71eccf0b97c17cf149465067	-38.06022615903405	145.44686734759821	AUS	Victoria	3810	21201129134	Cardinia S	324.2179212451438	-38.07104415903405	145.47172227962812	AUS	Victoria	3810	21201129218	Cardinia S	325.61645777333257
Midura Central	9142392c50d1840cadcc06cbb3fa45e5c675a6a3	-34.22788328766456	142.16831682485022	AUS	Victoria	3498	21502139501	Mildura RC	2.159776252234091	-34.982666287664564	138.512816773415	AUS	South Australia	5045	40301105733	Holdfast Bay C	213.34765690175618
Midura Central	63b53bf5b6d9d2f8a69e49dcc0cc3bae6c9314ad	-34.098957985613744	142.06250436391886	AUS	New South Wales	2717	10902117820	Wentworth A	8.712757667579158	-34.09894298561374	142.06244636397588	AUS	New South Wales	2717	10902117820	Wentworth A	8.715336022107836
Midura Central	073ae0ee91d4d8c841f615a7e22e5179d191a32c	-37.731235217739055	142.0360822474088	AUS	Victoria	3300	21701142115	Southern Grampians S	243.80680045269457	-37.73124221773906	142.036078247405	AUS	Victoria	3300	21701142115	Southern Grampians S	243.80728982755946
Midura Central	fb6306df12fceb60e71cfa2be1b0b5398d50e46b									-37.827880183962634	144.83762653090952	AUS	Victoria	3025	21302134324	Hobsons Bay C	292.3601294201581
Midura Central	516c08b21e97626c3c237af54491e0940439ef6d	-34.201746062505556	142.11987106499797	AUS	Victoria	3500	21502147027	Mildura RC	1.202139981387342	-34.18714106250555	142.14813808230508	AUS	Victoria	3500	21502146904	Mildura RC	1.4902461004628857
Midura Central	05ec8e3e9c46ff6c26f8cba6db4e8e793565e405	-33.19055106211156	138.00768432487428	AUS	South Australia	5540	40503112222	Port Pirie City and Dists M	247.9513389972243	-35.02751706211156	142.2936665196737	AUS	Victoria	3490	21502139811	Mildura RC	57.392928076328786
Midura Central	8d98820e985d4ddc270fd308a09b09e7f48863bd	-34.16974105617061	142.05212864231976	AUS	Victoria	3505	21502139613	Mildura RC	5.650686464704991	-34.16974005617061	142.05212464231707	AUS	Victoria	3505	21502139613	Mildura RC	5.650921404690952
Midura Central	381b47f1ad4368ffd9ccaaf5c1fbe6ecc7177f8c	-34.19886557063978	142.1602994268447	AUS	Victoria	3500	21502146944	Mildura RC	1.322276123146952	-34.198864570639785	142.16030342683837	AUS	Victoria	3500	21502146944	Mildura RC	1.3225114785483634
Midura Central	7739f717e1bed46ef30d0e181960ea42c29e8b3b	-27.096251614663075	152.9318206672472	AUS	Queensland	4510	31302136607	Moreton Bay R	808.0660060368992	-27.096250614663077	152.93182466724832	AUS	Queensland	4510	31302136607	Moreton Bay R	808.0662389790278
Midura Central	3ec549dc7ef3ea6fb574af823e8a07d2e33aadfa	-34.2006218781748	142.1327223569939	AUS	Victoria	3500	21502147029	Mildura RC	0.6218294362566333	-34.2005198781748	142.13266035725601	AUS	Victoria	3500	21502147029	Mildura RC	0.6295207782817084
Midura Central	376ad6e19c1263687b01d2a7ad218dfdcc5449ac	-34.20435222198219	142.12008613741895	AUS	Victoria	3500	21502147011	Mildura RC	1.142727039392931	-34.20435322198219	142.12007313741566	AUS	Victoria	3500	21502147011	Mildura RC	1.1434436482394046
Midura Central	8a1afcc817c1fa4281aa0723f5598dd8cdc160dd	-38.10950659123677	145.7709127567041	AUS	Victoria	3816	20501107617	Baw Baw S	337.53127713750973	-38.109500591236774	145.77092075668912	AUS	Victoria	3816	20501107617	Baw Baw S	337.53121822415466
Midura Central	466c8d74e35ad57c56b3ac2f804e6f98e420c0ca	-34.19091072631064	142.15375501074737	AUS	Victoria	3500	21502146932	Mildura RC	1.4026771560717868	-34.18772672631064	142.16141701414446	AUS	Victoria	3500	21502146912	Mildura RC	1.849243271526902
Midura Central	8ce5da463cdb45a44aa151ca4aa1dd770c9a2202	-30.139571094789996	153.1758988693068	AUS	New South Wales	2456	10402109113	Coffs Harbour C	704.2330936849914	-34.181678094789994	142.1601230964908	AUS	Victoria	3500	21502146909	Mildura RC	2.135886775202638
Midura Central	af2d27d0324924de224a1e3ed538de81a8f1ef5f	-37.67846843770851	145.06066145003874	AUS	Victoria	3083	20904121601	Whittlesea C	290.47612504458306	-37.67846743770851	145.06065545003995	AUS	Victoria	3083	20904121601	Whittlesea C	290.47587943959616
Midura Central	dbf4dbbdfec42380452ff21deb6267acee0be1ae	-33.97529393948141	137.7363713486535	AUS	South Australia	5554	40504112414	Copper Coast DC	252.7279771261805	-33.96779093948141	137.72157731853656	AUS	South Australia	5554	40504112410	Copper Coast DC	253.61809547989452
Midura Central	314544b6a049f5cf1da476d7f63acfc0729c1539	-34.21432678002111	142.13139497348757	AUS	Victoria	3500	21502147026	Mildura RC	0.6684299222926521	-35.36719478002111	143.56155569112903	AUS	Victoria	3585	21503140428	Swan Hill RC	113.83424736029143
Midura Central	37fec22f546c811b07084797c2a2586a44e50f9d	-34.20029597270939	142.15334683775635	AUS	Victoria	3500	21502146911	Mildura RC	0.9274003454692598								
Midura Central	3c07424c02d848501877501aedac94bf9f40610f	-34.16686851282074	142.06221265016222	AUS	Victoria	3505	21502139608	Mildura RC	5.249795207714132	-34.16687451282074	142.0621846501619	AUS	Victoria	3505	21502139608	Mildura RC	5.25092581825713
Midura Central	c8128e2d317c04a4fbf6bd099d5dc45ec9c7a8a0	-34.20458009898817	142.15878052330547	AUS	Victoria	3500	21502146908	Mildura RC	1.1108208827356576	-34.20457309898817	142.15878752328715	AUS	Victoria	3500	21502146908	Mildura RC	1.1113033424235095
Midura Central	0b4180055d692bd8df143c662c7ef14d82ceeb95	-34.155562569966996	142.04551286364122	AUS	Victoria	3505	21502139604	Mildura RC	6.477589717241712	-34.15553356996699	142.04550386368797	AUS	Victoria	3505	21502139604	Mildura RC	6.479132070358949
