Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
156 Port Road Albertson SA	071d01ab205143b4c8ffb92265f5b1e833bd92ba	-34.76621412351	138.59702975309733	AUS	South Australia	5108	40204104401	Salisbury C	8.006298118940926	-34.76621412351	138.59702975309733	AUS	South Australia	5108	40204104401	Salisbury C	8.006298118940926
156 Port Road Albertson SA	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.874431283559545	138.51612816008068	AUS	South Australia	5014	40401109408	Charles Sturt C	1.0653548964239443	-34.874440283559544	138.516156160054	AUS	South Australia	5014	40401109408	Charles Sturt C	1.0662248181368446
156 Port Road Albertson SA	331e32b1b7ae68c5265a5a204702e67f743ee941	-34.85333583939343	138.51794056419556	AUS	South Australia	5013	40402110123	Port Adelaide Enfield C	0.49080771078702734	-34.83972183939343	138.5275055437563	AUS	South Australia	5013	40402110122	Port Adelaide Enfield C	1.5770471605044725
156 Port Road Albertson SA	5b9095d7ddbcf8501e0a2bc262ec00a7ef6c6d35	-34.85975586772224	138.51863440393993	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	0.31494549249240017	-34.85975086772224	138.51862140391236	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	0.3141726323806997
156 Port Road Albertson SA	58418934f357a3ca817fbef651e10d60c48c9a7a	-34.81155630615639	138.50607865058376	AUS	South Australia	5016	40402110027	Port Adelaide Enfield C	3.321659034053322	-34.81155430615639	138.50607865057367	AUS	South Australia	5016	40402110027	Port Adelaide Enfield C	3.3217963697679638
156 Port Road Albertson SA	eea37bfe338caa9a119557c96d32eadf61a6cf72	-34.52450676443587	138.74072073930026	AUS	South Australia	5371	40201102502	Light RegC	26.525708140687442	-34.52451076443587	138.7407277393005	AUS	South Australia	5371	40201102502	Light RegC	26.525660767855268
156 Port Road Albertson SA	b918737fa7677242f017ba40c3fc3d3cab202d82	-35.00075138244416	138.53525662296096	AUS	South Australia	5046	40302106416	Marion C	9.869410073266582	-33.866662382444154	138.6162845413307	AUS	South Australia	5453	40502111608	Clare and Gilbert Valleys DC	68.90869900355102
156 Port Road Albertson SA	a63f1032726599e13f4805dfa4380f05a3fba4a0	-34.875010699299715	138.5167244343031	AUS	South Australia	5014	40401109408	Charles Sturt C	1.1106620381616183	-34.87501769929971	138.51671243434603	AUS	South Australia	5014	40401109408	Charles Sturt C	1.1110128885725146
156 Port Road Albertson SA	b4c9461ef7c230064e194b8b90cdfc91ee76991f	-32.49262572759868	137.77603414790565	AUS	South Australia	5700	40602114227	Port Augusta C	169.1070025727728	-32.49262872759868	137.776038147906	AUS	South Australia	5700	40602114227	Port Augusta C	169.106743764165
156 Port Road Albertson SA	474e3d246fa611a4e1638129f7252973a7a8c0b6	-35.09473626137453	138.57201330503437	AUS	South Australia	5162	40304108928	Onkaparinga C	16.62869093476258	-35.07391826137453	138.60503429781136	AUS	South Australia	5159	40304107126	Onkaparinga C	15.737664058102423
156 Port Road Albertson SA	b9f5b4dd8bd484f93581135ae47a8dfb6bf6d01b	-34.773262038874556	138.6174165360845	AUS	South Australia	5108	40204104627	Salisbury C	8.392660189347176	-34.77318403887456	138.61738053632217	AUS	South Australia	5108	40204104627	Salisbury C	8.395043782444978
156 Port Road Albertson SA	3f51ac83113f85c7d5d8fdddcdb115bea24db616	-34.8823683108679	138.52637066891018	AUS	South Australia	5011	40401109010	Charles Sturt C	1.7683964967364507	-34.882362310867904	138.5263626688864	AUS	South Australia	5011	40401109010	Charles Sturt C	1.7678278572978914
156 Port Road Albertson SA	75b441ffcfe201c07c943a58d9c91886fbd34ed2	-34.920273253261385	138.54299849262685	AUS	South Australia	5032	40403110619	West Torrens C	4.550061704850167	-34.920276253261385	138.5430104926302	AUS	South Australia	5032	40403110619	West Torrens C	4.550507944259638
156 Port Road Albertson SA	3ef40fdcb07762f8363f889b9ec8ab521813d7a8	-34.92859341881024	138.5664541366782	AUS	South Australia	5031	40403110818	West Torrens C	5.67241603982229	-34.92862441881024	138.56645813668013	AUS	South Australia	5031	40403110818	West Torrens C	5.674350629614724
156 Port Road Albertson SA	dc51f5ca20a3d7122351b43dde83411660cda946	-33.80612865627367	151.20979667395528	AUS	New South Wales	2063	12101140254	Willoughby C	728.3822086243322	-33.80614665627367	151.20977467395625	AUS	New South Wales	2063	12101140254	Willoughby C	728.3807595207487
156 Port Road Albertson SA	ebefd62680d76d51c23d970441c4c9ad9ce28bd2	-34.85877945721493	138.52011362388967	AUS	South Australia	5014	40402110119	Port Adelaide Enfield C	0.3979952050694153	-34.85878245721493	138.5200966238891	AUS	South Australia	5014	40402110119	Port Adelaide Enfield C	0.39701707681548054
156 Port Road Albertson SA	1f2c3f8fa8208dca546313f08807b7a8619de668	-34.92992911644711	138.57441323945503	AUS	South Australia	5031	40403110808	West Torrens C	6.000643476425364	-34.92997211644712	138.57441923946928	AUS	South Australia	5031	40403110808	West Torrens C	6.003264427611171
156 Port Road Albertson SA	2335facc6a0f350337372b00e7007a65c7d2c02b	-34.88684320943238	138.53173625209314	AUS	South Australia	5011	40401109017	Charles Sturt C	2.1827601914411368	-34.88684620943238	138.531735252082	AUS	South Australia	5011	40401109017	Charles Sturt C	2.182914320731009
156 Port Road Albertson SA	70260e54730425c8ffb44374ea4834f0e6818f56	-34.824042256199064	138.49685654125642	AUS	South Australia	5016	40402109909	Port Adelaide Enfield C	2.6031342217998534	-34.824073256199064	138.4968535413684	AUS	South Australia	5016	40402109909	Port Adelaide Enfield C	2.6011899061793917
156 Port Road Albertson SA	8431a3c625962c70006ae61db136d675b014e8ba	-34.82898906903243	138.65585239850557	AUS	South Australia	5098	40204104019	Salisbury C	8.368241836291572	-34.82896406903243	138.65585239860928	AUS	South Australia	5098	40204104019	Salisbury C	8.368675434316627
156 Port Road Albertson SA	18c34b37e8a0d110e7a2ed6f10ed8c9a2933b1ba	-34.93150367839131	138.53878519486324	AUS	South Australia	5032	40403110605	West Torrens C	5.20703513452702	-34.93148167839131	138.5387911949045	AUS	South Australia	5032	40403110605	West Torrens C	5.205669361672736
156 Port Road Albertson SA	21d66d953ea355365875f04c572b1b0f3628beb8	-34.856784478685064	138.67277110484955	AUS	South Australia	5088	40205105221	Tea Tree Gully C	9.0631244172714	-34.856789478685066	138.67277610485274	AUS	South Australia	5088	40205105221	Tea Tree Gully C	9.063401446687209
156 Port Road Albertson SA	cab3a15afadb3a1b401624106cdb09dcc4f6cd2f	-34.86430894214625	138.52574818705867	AUS	South Australia	5014	40401109716	Charles Sturt C	0.7981139923000876								
156 Port Road Albertson SA	24c273bd0df9c8c8430cacae76f344569399aef4									-34.967395648570005	138.56933724122374	AUS	South Australia	5039	40302105801	Marion C	8.133114578494204
156 Port Road Albertson SA	e3ba2d1c60b5c8da7583c127d0c849f88c445049	-34.86177408615334	138.50017935153988	AUS	South Australia	5021	40401109614	Charles Sturt C	0.7554614913542916	-34.86115108615334	138.50019935419584	AUS	South Australia	5021	40401109614	Charles Sturt C	0.7454786047544576
156 Port Road Albertson SA	1b84d09d8b48e79dc5f6926e37a856cd045d572a	-34.88782307057647	138.526236193897	AUS	South Australia	5011	40401109012	Charles Sturt C	2.1132905086044595	-34.88780207057646	138.52621119400456	AUS	South Australia	5011	40401109012	Charles Sturt C	2.111431575938924
156 Port Road Albertson SA	e2df3117e3db6891fda563a747915dc74f3c7889	-34.86520263848823	138.61695674573002	AUS	South Australia	5085	40203103633	Port Adelaide Enfield C	5.90772471919724	-34.86519663848823	138.61695274573668	AUS	South Australia	5085	40203103633	Port Adelaide Enfield C	5.907469445162317
156 Port Road Albertson SA	23bcd38b6eac2c38718751334a40ba301403483e	-34.885132402767475	138.688022074806	AUS	South Australia	5074	40104101528	Campbelltown C SA	10.085913242949909	-34.885123402767476	138.68803407480743	AUS	South Australia	5074	40104101528	Campbelltown C SA	10.086473370926184
156 Port Road Albertson SA	41315297fe9dd6f0ad1c1292ef434df265d46969	-34.88537286024946	138.56745441148666	AUS	South Australia	5008	40402110234	Port Adelaide Enfield C	3.574517753653106	-34.88536786024946	138.56745441148797	AUS	South Australia	5008	40402110234	Port Adelaide Enfield C	3.5743428698505713
156 Port Road Albertson SA	896e261897b7d0c9345cf2e3148ac07e9050d9a7	-35.13168030196831	138.50757393009275	AUS	South Australia	5162	40304108514	Onkaparinga C	18.84833760189029	-35.13167230196831	138.50757293010946	AUS	South Australia	5162	40304108514	Onkaparinga C	18.847785258736064
156 Port Road Albertson SA	524eb2f3d242ad48daa7c9b883f22f61894db5ed	-34.92814089624403	138.56821801168186	AUS	South Australia	5031	40403110818	West Torrens C	5.700225320870896	-34.92814089624403	138.56821501168184	AUS	South Australia	5031	40403110818	West Torrens C	5.7001319882115995
156 Port Road Albertson SA	0327f813161f1ae91b6f7e7c25a2292565646ab6	-34.86425504987241	138.61604890690685	AUS	South Australia	5085	40203103632	Port Adelaide Enfield C	5.852099747866339	-34.86425904987241	138.61604190688274	AUS	South Australia	5085	40203103632	Port Adelaide Enfield C	5.851719455742286
156 Port Road Albertson SA	9073327e5154fca04f2c00bbd3faf2ec4982c584	-33.84335896313687	138.6178761900799	AUS	South Australia	5453	40502111605	Clare and Gilbert Valleys DC	70.52256761612286								
156 Port Road Albertson SA	068f98d8742e53e3dcee78fcae5497a7f5fb55d8	-34.85212008368917	138.52331274253876	AUS	South Australia	5013	40402110102	Port Adelaide Enfield C	0.7591223271410925	-34.852122083689174	138.5233097425401	AUS	South Australia	5013	40402110102	Port Adelaide Enfield C	0.7589029798992503
156 Port Road Albertson SA	aa33b3af21881d95ac9db9ed34fe7eaa6a0787ac	-35.07056494764755	138.51567653688195	AUS	South Australia	5158	40302105930	Marion C	14.619038045483835	-35.07056094764754	138.51567553687914	AUS	South Australia	5158	40302105930	Marion C	14.618760815000844
156 Port Road Albertson SA	d4665598e86c5f8837d5c404da4dc4a091c5cc3c	-34.86626585115189	138.5559639946476	AUS	South Australia	5012	40402110238	Port Adelaide Enfield C	2.479749102698992	-34.85107785115189	138.52013097304805	AUS	South Australia	5013	40402110120	Port Adelaide Enfield C	0.6899708466291805
156 Port Road Albertson SA	2d7f741010e389e77cae2ced9a0197279a4b7a94	-34.86500833071273	138.5212810685575	AUS	South Australia	5014	40401109717	Charles Sturt C	0.6117617942286933	-34.865036330712734	138.52133106847444	AUS	South Australia	5014	40401109717	Charles Sturt C	0.6151755408751584
156 Port Road Albertson SA	db0ea44ec1ea2104b08f5dd5d49bef42e08563a7	-34.017987135638364	150.83766171852872	AUS	New South Wales	2566	12302144311	Campbelltown C NSW	705.0376692348636	-33.88628413563836	150.9934917638117	AUS	New South Wales	2163	12503147938	Canterbury Bankstown A	715.2349309135062
156 Port Road Albertson SA	a246c63b8a9c717a974d55467e1e9acacfa543b4	-34.91903523810729	138.51076727477908	AUS	South Australia	5024	40401109221	Charles Sturt C	4.139060064770746	-34.91901823810729	138.51077027472977	AUS	South Australia	5024	40401109221	Charles Sturt C	4.137879281912404
156 Port Road Albertson SA	ca5f8989cead8cb179485243c96ec0ed3654b525	-34.79332197676152	138.49531720596906	AUS	South Australia	5018	40402110033	Port Adelaide Enfield C	4.669542342681821	-34.79333497676152	138.49533020603326	AUS	South Australia	5018	40402110033	Port Adelaide Enfield C	4.66850464188117
156 Port Road Albertson SA	47dd8084f3c0c9de73c504e65c173478612ff0b6	-34.8575620202691	138.50884124215716	AUS	South Australia	5014	40402110114	Port Adelaide Enfield C	0.26896620703297797	-34.857567020269094	138.50882424214726	AUS	South Australia	5014	40402110114	Port Adelaide Enfield C	0.2696908327268884
156 Port Road Albertson SA	c6466deeebcf82bc53dae44748650ec8aa173618	-34.82881605927248	138.6167280760779	AUS	South Australia	5095	40204117208	Salisbury C	6.246451210673955	-34.794423059272475	138.65629190704115	AUS	South Australia	5109	40204104711	Salisbury C	9.283261283334218
