Location	Bucket	Type	Visitor Count	Percentage
156 Port Road Albertson SA	Total visitors with CEL	CEL Distance	1485	
156 Port Road Albertson SA	Median distance traveled from CEL	CEL Distance	5.526168712648622	
156 Port Road Albertson SA	Lives within 1 mile of location	CEL Distance	207	13.94%
156 Port Road Albertson SA	Lives between 1 and 2 miles	CEL Distance	197	13.27%
156 Port Road Albertson SA	Lives between 2 and 3 miles	CEL Distance	129	8.69%
156 Port Road Albertson SA	Lives between 3 and 5 miles	CEL Distance	175	11.78%
156 Port Road Albertson SA	Lives between 5 and 10 miles	CEL Distance	321	21.62%
156 Port Road Albertson SA	Lives between 10 and 25 miles	CEL Distance	306	20.61%
156 Port Road Albertson SA	Lives between 25 and 50 miles	CEL Distance	48	3.23%
156 Port Road Albertson SA	Lives between 50 and 100 miles	CEL Distance	14	0.94%
156 Port Road Albertson SA	Lives >100 miles away	CEL Distance	88	5.93%
156 Port Road Albertson SA	Total visitors with CDL	CDL Distance	1450	
156 Port Road Albertson SA	Median distance traveled from CDL	CDL Distance	5.76818607363802	
156 Port Road Albertson SA	Works within 1 mile of location	CDL Distance	175	12.07%
156 Port Road Albertson SA	Works between 1 and 2 miles	CDL Distance	183	12.62%
156 Port Road Albertson SA	Works between 2 and 3 miles	CDL Distance	118	8.14%
156 Port Road Albertson SA	Works between 3 and 5 miles	CDL Distance	188	12.97%
156 Port Road Albertson SA	Works between 5 and 10 miles	CDL Distance	351	24.21%
156 Port Road Albertson SA	Works between 10 and 25 miles	CDL Distance	292	20.14%
156 Port Road Albertson SA	Works between 25 and 50 miles	CDL Distance	43	2.97%
156 Port Road Albertson SA	Works between 50 and 100 miles	CDL Distance	14	0.97%
156 Port Road Albertson SA	Works >100 miles away	CDL Distance	86	5.93%
156 Port Road Albertson SA	5014	Top CEL Zip Code	184	12.39%
156 Port Road Albertson SA	5013	Top CEL Zip Code	68	4.58%
156 Port Road Albertson SA	5023	Top CEL Zip Code	56	3.77%
156 Port Road Albertson SA	5015	Top CEL Zip Code	49	3.30%
156 Port Road Albertson SA	5016	Top CEL Zip Code	47	3.16%
156 Port Road Albertson SA	5019	Top CEL Zip Code	46	3.10%
156 Port Road Albertson SA	5108	Top CEL Zip Code	39	2.63%
156 Port Road Albertson SA	5011	Top CEL Zip Code	37	2.49%
156 Port Road Albertson SA	5114	Top CEL Zip Code	32	2.15%
156 Port Road Albertson SA	5018	Top CEL Zip Code	31	2.09%
156 Port Road Albertson SA	5017	Top CEL Zip Code	28	1.89%
156 Port Road Albertson SA	5025	Top CEL Zip Code	28	1.89%
156 Port Road Albertson SA	5158	Top CEL Zip Code	26	1.75%
156 Port Road Albertson SA	5021	Top CEL Zip Code	24	1.62%
156 Port Road Albertson SA	5012	Top CEL Zip Code	21	1.41%
156 Port Road Albertson SA	5095	Top CEL Zip Code	21	1.41%
156 Port Road Albertson SA	5107	Top CEL Zip Code	21	1.41%
156 Port Road Albertson SA	5022	Top CEL Zip Code	20	1.35%
156 Port Road Albertson SA	5112	Top CEL Zip Code	19	1.28%
156 Port Road Albertson SA	5085	Top CEL Zip Code	16	1.08%
156 Port Road Albertson SA	5014	Top CDL Zip Code	157	10.83%
156 Port Road Albertson SA	5013	Top CDL Zip Code	67	4.62%
156 Port Road Albertson SA	5015	Top CDL Zip Code	60	4.14%
156 Port Road Albertson SA	5023	Top CDL Zip Code	50	3.45%
156 Port Road Albertson SA	5000	Top CDL Zip Code	37	2.55%
156 Port Road Albertson SA	5016	Top CDL Zip Code	36	2.48%
156 Port Road Albertson SA	5019	Top CDL Zip Code	36	2.48%
156 Port Road Albertson SA	5011	Top CDL Zip Code	34	2.34%
156 Port Road Albertson SA	5108	Top CDL Zip Code	33	2.28%
156 Port Road Albertson SA	5017	Top CDL Zip Code	28	1.93%
156 Port Road Albertson SA	5018	Top CDL Zip Code	26	1.79%
156 Port Road Albertson SA	5114	Top CDL Zip Code	26	1.79%
156 Port Road Albertson SA	5025	Top CDL Zip Code	24	1.66%
156 Port Road Albertson SA	5012	Top CDL Zip Code	23	1.59%
156 Port Road Albertson SA	5158	Top CDL Zip Code	21	1.45%
156 Port Road Albertson SA	5021	Top CDL Zip Code	20	1.38%
156 Port Road Albertson SA	5022	Top CDL Zip Code	20	1.38%
156 Port Road Albertson SA	5095	Top CDL Zip Code	20	1.38%
156 Port Road Albertson SA	5009	Top CDL Zip Code	18	1.24%
156 Port Road Albertson SA	5085	Top CDL Zip Code	18	1.24%
156 Port Road Albertson SA	40402110114	Top CEL Census Block Group	19	1.28%
156 Port Road Albertson SA	40402110117	Top CEL Census Block Group	19	1.28%
156 Port Road Albertson SA	40402110118	Top CEL Census Block Group	15	1.01%
156 Port Road Albertson SA	40402110124	Top CEL Census Block Group	14	0.94%
156 Port Road Albertson SA	40402110123	Top CEL Census Block Group	13	0.88%
156 Port Road Albertson SA	40402110121	Top CEL Census Block Group	10	0.67%
156 Port Road Albertson SA	40402110127	Top CEL Census Block Group	9	0.61%
156 Port Road Albertson SA	40401109401	Top CEL Census Block Group	8	0.54%
156 Port Road Albertson SA	40401109402	Top CEL Census Block Group	8	0.54%
156 Port Road Albertson SA	40402109934	Top CEL Census Block Group	8	0.54%
156 Port Road Albertson SA	40402110027	Top CEL Census Block Group	8	0.54%
156 Port Road Albertson SA	40402110115	Top CEL Census Block Group	8	0.54%
156 Port Road Albertson SA	40402110126	Top CEL Census Block Group	8	0.54%
156 Port Road Albertson SA	40401109403	Top CEL Census Block Group	7	0.47%
156 Port Road Albertson SA	40401109404	Top CEL Census Block Group	7	0.47%
156 Port Road Albertson SA	40401109408	Top CEL Census Block Group	7	0.47%
156 Port Road Albertson SA	40402109919	Top CEL Census Block Group	7	0.47%
156 Port Road Albertson SA	40402110113	Top CEL Census Block Group	7	0.47%
156 Port Road Albertson SA	40402110119	Top CEL Census Block Group	7	0.47%
156 Port Road Albertson SA	40401109405	Top CEL Census Block Group	6	0.40%
156 Port Road Albertson SA	40402110107	Top CDL Census Block Group	22	1.52%
156 Port Road Albertson SA	40402110117	Top CDL Census Block Group	16	1.10%
