Location	Bucket	Type	Visitor Count	Percentage
156 Port Road Albertson SA	Total visitors with CEL	CEL Distance	1485	
156 Port Road Albertson SA	Median distance traveled from CEL	CEL Distance	5.526168712648622	
156 Port Road Albertson SA	Lives within 1 mile of location	CEL Distance	207	13.94%
156 Port Road Albertson SA	Lives between 1 and 2 miles	CEL Distance	197	13.27%
156 Port Road Albertson SA	Lives between 2 and 3 miles	CEL Distance	129	8.69%
156 Port Road Albertson SA	Lives between 3 and 5 miles	CEL Distance	175	11.78%
156 Port Road Albertson SA	Lives between 5 and 10 miles	CEL Distance	321	21.62%
156 Port Road Albertson SA	Lives between 10 and 25 miles	CEL Distance	306	20.61%
156 Port Road Albertson SA	Lives between 25 and 50 miles	CEL Distance	48	3.23%
156 Port Road Albertson SA	Lives between 50 and 100 miles	CEL Distance	14	0.94%
156 Port Road Albertson SA	Lives >100 miles away	CEL Distance	88	5.93%
156 Port Road Albertson SA	Total visitors with CDL	CDL Distance	1450	
156 Port Road Albertson SA	Median distance traveled from CDL	CDL Distance	5.76818607363802	
156 Port Road Albertson SA	Works within 1 mile of location	CDL Distance	175	12.07%
156 Port Road Albertson SA	Works between 1 and 2 miles	CDL Distance	183	12.62%
156 Port Road Albertson SA	Works between 2 and 3 miles	CDL Distance	118	8.14%
156 Port Road Albertson SA	Works between 3 and 5 miles	CDL Distance	188	12.97%
156 Port Road Albertson SA	Works between 5 and 10 miles	CDL Distance	351	24.21%
156 Port Road Albertson SA	Works between 10 and 25 miles	CDL Distance	292	20.14%
156 Port Road Albertson SA	Works between 25 and 50 miles	CDL Distance	43	2.97%
156 Port Road Albertson SA	Works between 50 and 100 miles	CDL Distance	14	0.97%
156 Port Road Albertson SA	Works >100 miles away	CDL Distance	86	5.93%
156 Port Road Albertson SA	5014	Top CEL Postal2	184	12.39%
156 Port Road Albertson SA	5013	Top CEL Postal2	68	4.58%
156 Port Road Albertson SA	5023	Top CEL Postal2	56	3.77%
156 Port Road Albertson SA	5015	Top CEL Postal2	49	3.30%
156 Port Road Albertson SA	5016	Top CEL Postal2	47	3.16%
156 Port Road Albertson SA	5019	Top CEL Postal2	46	3.10%
156 Port Road Albertson SA	5108	Top CEL Postal2	39	2.63%
156 Port Road Albertson SA	5011	Top CEL Postal2	37	2.49%
156 Port Road Albertson SA	5114	Top CEL Postal2	32	2.15%
156 Port Road Albertson SA	5018	Top CEL Postal2	31	2.09%
156 Port Road Albertson SA	5017	Top CEL Postal2	28	1.89%
156 Port Road Albertson SA	5025	Top CEL Postal2	28	1.89%
156 Port Road Albertson SA	5158	Top CEL Postal2	26	1.75%
156 Port Road Albertson SA	5021	Top CEL Postal2	24	1.62%
156 Port Road Albertson SA	5012	Top CEL Postal2	21	1.41%
156 Port Road Albertson SA	5095	Top CEL Postal2	21	1.41%
156 Port Road Albertson SA	5107	Top CEL Postal2	21	1.41%
156 Port Road Albertson SA	5022	Top CEL Postal2	20	1.35%
156 Port Road Albertson SA	5112	Top CEL Postal2	19	1.28%
156 Port Road Albertson SA	5085	Top CEL Postal2	16	1.08%
156 Port Road Albertson SA	5014	Top CDL Postal2	157	10.83%
156 Port Road Albertson SA	5013	Top CDL Postal2	67	4.62%
156 Port Road Albertson SA	5015	Top CDL Postal2	60	4.14%
156 Port Road Albertson SA	5023	Top CDL Postal2	50	3.45%
156 Port Road Albertson SA	5000	Top CDL Postal2	37	2.55%
156 Port Road Albertson SA	5016	Top CDL Postal2	36	2.48%
156 Port Road Albertson SA	5019	Top CDL Postal2	36	2.48%
156 Port Road Albertson SA	5011	Top CDL Postal2	34	2.34%
156 Port Road Albertson SA	5108	Top CDL Postal2	33	2.28%
156 Port Road Albertson SA	5017	Top CDL Postal2	28	1.93%
156 Port Road Albertson SA	5018	Top CDL Postal2	26	1.79%
156 Port Road Albertson SA	5114	Top CDL Postal2	26	1.79%
156 Port Road Albertson SA	5025	Top CDL Postal2	24	1.66%
156 Port Road Albertson SA	5012	Top CDL Postal2	23	1.59%
156 Port Road Albertson SA	5158	Top CDL Postal2	21	1.45%
156 Port Road Albertson SA	5021	Top CDL Postal2	20	1.38%
156 Port Road Albertson SA	5022	Top CDL Postal2	20	1.38%
156 Port Road Albertson SA	5095	Top CDL Postal2	20	1.38%
156 Port Road Albertson SA	5009	Top CDL Postal2	18	1.24%
156 Port Road Albertson SA	5085	Top CDL Postal2	18	1.24%
156 Port Road Albertson SA	90703	Top CEL Postal1	1	0.07%
156 Port Road Albertson SA	96815	Top CDL Postal1	1	0.07%
156 Port Road Albertson SA	South Australia	Top CEL Province	1426	96.03%
156 Port Road Albertson SA	Victoria	Top CEL Province	19	1.28%
156 Port Road Albertson SA	Queensland	Top CEL Province	14	0.94%
156 Port Road Albertson SA	New South Wales	Top CEL Province	13	0.88%
156 Port Road Albertson SA	Northern Territory	Top CEL Province	5	0.34%
156 Port Road Albertson SA	Western Australia	Top CEL Province	3	0.20%
156 Port Road Albertson SA	Australian Capital Territory	Top CEL Province	2	0.13%
156 Port Road Albertson SA	CA	Top CEL Province	1	0.07%
156 Port Road Albertson SA	Tasmania	Top CEL Province	1	0.07%
156 Port Road Albertson SA	South Australia	Top CDL Province	1395	96.21%
156 Port Road Albertson SA	Victoria	Top CDL Province	18	1.24%
156 Port Road Albertson SA	New South Wales	Top CDL Province	14	0.97%
156 Port Road Albertson SA	Queensland	Top CDL Province	11	0.76%
156 Port Road Albertson SA	Northern Territory	Top CDL Province	4	0.28%
156 Port Road Albertson SA	Western Australia	Top CDL Province	2	0.14%
156 Port Road Albertson SA	Australian Capital Territory	Top CDL Province	1	0.07%
156 Port Road Albertson SA	HI	Top CDL Province	1	0.07%
156 Port Road Albertson SA	Tasmania	Top CDL Province	1	0.07%
156 Port Road Albertson SA	Port Adelaide	Top CEL Admin	172	11.58%
156 Port Road Albertson SA	North Haven	Top CEL Admin	81	5.45%
156 Port Road Albertson SA	Largs Bay - Semaphore	Top CEL Admin	79	5.32%
156 Port Road Albertson SA	Royal Park - Hendon - Albert Park	Top CEL Admin	66	4.44%
