Polygon ID	Device ID	Resident	Worker	CEL Lat	CEL Lng	CEL Country	CEL State	CEL Zip	CEL Census Block ID	CEL Metro	CDL Lat	CDL Lng	CDL Country	CDL State	CDL Zip	CDL Census Block ID	CDL Metro	Commute Distance
156 Port Road Albertson SA	047053e26255eb4ce384a37b8759e1db1f1dd569	true	unknown	-34.85903115874885	138.5131170381834	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C								
156 Port Road Albertson SA	687817f550f7f4a396dc92cfe98195a7e186f7f4	unknown	true								-34.859377070139594	138.51300894978385	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	
156 Port Road Albertson SA	ee65e2f4159eeb6b15bb8bf857945bac954cfef3	true	false	-34.85922423784419	138.5136063427323	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	-34.98730223784419	138.90055300555457	AUS	South Australia	5243	40102100613	Adelaide Hills DC	23.666184969469832
156 Port Road Albertson SA	f30928b57fb0b270197a0cc7f3061c3702f5fdca	unknown	true								-34.859126049261626	138.51300448891018	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	
156 Port Road Albertson SA	a6ecbdf2362f41c41708c3ea1e4cf702037a737f	true	true	-34.859082400811786	138.5134693715261	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	-34.85909240081179	138.51347437155835	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	7.476622446608943E-4
156 Port Road Albertson SA	a5bd91eba5c3bdbed741a0d3e179c09c9756e60b	true	unknown	-34.85949185655801	138.51327809832844	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C								
156 Port Road Albertson SA	5a05e908d23c6e158c2dad8787ede1ff9699996f	true	unknown	-34.85932171568614	138.5132134523234	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C								
156 Port Road Albertson SA	256bd6fec40c23f243643e11f71f273669075309	true	unknown	-34.85911136417551	138.51303073636888	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C								
156 Port Road Albertson SA	2e2f79a7972401ecdc173517302603ed113b3b0b	false	true	-34.69957108512817	138.71334934936783	AUS	South Australia	5114	40202102802	Playford C	-34.85956508512817	138.51296703751686	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	15.87706993215654
156 Port Road Albertson SA	3b38df33a99fe8ff50cae8d6cc239ef01cd789a0	true	false	-34.85941134812385	138.5131747460776	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C	-34.899547348123846	138.58315175572207	AUS	South Australia	5007	40401109317	Charles Sturt C	4.845091870824331
156 Port Road Albertson SA	86f0287de551d87303ee42ca19bb491ae1926625	true	unknown	-34.859169885252896	138.513097418268	AUS	South Australia	5014	40402110117	Port Adelaide Enfield C								
