Audience Code	Audience Name	Count of Devices in the Audience	Percentage of Total Devices in the Audience
gs-do-it-yourselfer-foc	Do-it-yourselfer	8	0.010256410256410256
gs-hardcore-gamer-foc	Hardcore Gamer	6	0.007692307692307693
gs-expecting-parent-foc	Expecting Parent	4	0.005128205128205128
gs-celeb-obsessed-foc	Celeb-obsessed	11	0.014102564102564103
gs-parent-foc	Parent	11	0.014102564102564103
gs-makeup-addict-foc	Makeup Addict	4	0.005128205128205128
gs-fast-foodie-foc	Fast Foodie	9	0.011538461538461539
gs-outdoors-foc	Outdoors	5	0.00641025641025641
gs-casual-diner-foc	Casual Diner	10	0.01282051282051282
gs-coffee-lover-foc	Coffee Lover	15	0.019230769230769232
gs-fashionista-foc	Fashionista	6	0.007692307692307693
gs-bargain-hunter-foc	Bargain Hunter	5	0.00641025641025641
gs-sports-junkie-foc	Sports Junkie	9	0.011538461538461539
gs-organic-shopper-foc	Organic Shopper	7	0.008974358974358974
gs-business-traveler-foc	Business Travelers	12	0.015384615384615385
gs-fitness-minded-foc	Fitness Minded	10	0.01282051282051282
gs-music-streamer-foc	Music Streamer	2	0.002564102564102564
gs-movie-tv-streamer-foc	Movie/TV Streamer	4	0.005128205128205128
gs-online-shopper-foc	Online Shopper	15	0.019230769230769232
gs-pet-owner-foc	Pet Owner	10	0.01282051282051282
gs-college-student-foc	College Student	12	0.015384615384615385
gs-luxury-lifestyle-foc	Luxury Lifestyle	3	0.0038461538461538464
gs-looking-for-love-foc	Looking for Love	5	0.00641025641025641
