Date	Polygon	Observed Devices
2019-08-23	OTR Glandore	1
2019-08-24	OTR Glandore	1
2019-08-25	OTR Glandore	1
2019-08-26	OTR Glandore	1
2019-08-29	OTR Glandore	3
2019-08-30	OTR Glandore	2
2019-08-31	OTR Glandore	1
2019-09-02	OTR Glandore	1
2019-09-03	OTR Glandore	3
2019-09-04	OTR Glandore	2
2019-09-05	OTR Glandore	2
2019-09-06	OTR Glandore	1
2019-09-07	OTR Glandore	4
2019-09-08	OTR Glandore	5
2019-09-09	OTR Glandore	1
2019-09-10	OTR Glandore	1
2019-09-11	OTR Glandore	3
2019-09-12	OTR Glandore	5
2019-09-13	OTR Glandore	6
2019-09-14	OTR Glandore	4
2019-09-15	OTR Glandore	3
2019-09-16	OTR Glandore	2
2019-09-17	OTR Glandore	4
2019-09-18	OTR Glandore	2
2019-09-20	OTR Glandore	7
2019-09-21	OTR Glandore	3
2019-09-22	OTR Glandore	3
2019-09-23	OTR Glandore	3
2019-09-25	OTR Glandore	3
2019-09-26	OTR Glandore	2
2019-09-27	OTR Glandore	5
2019-09-28	OTR Glandore	5
2019-09-30	OTR Glandore	4
2019-10-01	OTR Glandore	7
2019-10-02	OTR Glandore	6
2019-10-03	OTR Glandore	7
2019-10-04	OTR Glandore	1
2019-10-05	OTR Glandore	2
2019-10-06	OTR Glandore	4
2019-10-07	OTR Glandore	2
2019-10-08	OTR Glandore	3
2019-10-09	OTR Glandore	6
2019-10-10	OTR Glandore	2
2019-10-11	OTR Glandore	4
2019-10-12	OTR Glandore	3
2019-10-13	OTR Glandore	3
2019-10-14	OTR Glandore	2
2019-10-16	OTR Glandore	1
2019-10-18	OTR Glandore	4
2019-10-20	OTR Glandore	1
2019-10-21	OTR Glandore	2
2019-10-22	OTR Glandore	2
2019-10-24	OTR Glandore	5
2019-10-26	OTR Glandore	1
2019-10-30	OTR Glandore	1
2019-10-31	OTR Glandore	1
2019-11-08	OTR Glandore	1
2019-11-10	OTR Glandore	1
2019-11-12	OTR Glandore	2
2019-11-13	OTR Glandore	1
2019-11-15	OTR Glandore	1
2019-11-16	OTR Glandore	1
2019-11-19	OTR Glandore	1
2019-11-20	OTR Glandore	1
2019-11-22	OTR Glandore	1
2019-11-26	OTR Glandore	1
2019-11-28	OTR Glandore	1
2019-12-03	OTR Glandore	1
2019-12-04	OTR Glandore	3
2019-12-05	OTR Glandore	2
2019-12-08	OTR Glandore	1
2019-12-09	OTR Glandore	1
2019-12-10	OTR Glandore	3
2019-12-11	OTR Glandore	3
2019-12-12	OTR Glandore	1
2019-12-15	OTR Glandore	2
2019-12-17	OTR Glandore	1
2019-12-18	OTR Glandore	1
2019-12-20	OTR Glandore	2
2019-12-22	OTR Glandore	1
2019-12-23	OTR Glandore	1
2019-12-24	OTR Glandore	1
2019-12-26	OTR Glandore	1
2019-12-30	OTR Glandore	1
2020-01-01	OTR Glandore	1
2020-01-08	OTR Glandore	1
2020-01-11	OTR Glandore	1
2020-01-12	OTR Glandore	1
2020-01-14	OTR Glandore	1
2020-01-16	OTR Glandore	1
2020-01-22	OTR Glandore	1
2020-01-27	OTR Glandore	2
2020-02-03	OTR Glandore	1
2020-02-04	OTR Glandore	1
2020-02-05	OTR Glandore	2
2020-02-07	OTR Glandore	1
2020-02-08	OTR Glandore	1
2020-02-14	OTR Glandore	1
2020-02-18	OTR Glandore	1
2020-02-27	OTR Glandore	1
2020-03-02	OTR Glandore	1
2020-03-03	OTR Glandore	1
2020-03-08	OTR Glandore	1
2020-03-10	OTR Glandore	1
