Audience Code	Audience Name	Count of Devices in the Audience	Percentage of Total Devices in the Audience
gs-do-it-yourselfer-foc	Do-it-yourselfer	26	0.009126009126009126
gs-hardcore-gamer-foc	Hardcore Gamer	7	0.002457002457002457
gs-expecting-parent-foc	Expecting Parent	21	0.007371007371007371
gs-celeb-obsessed-foc	Celeb-obsessed	37	0.012987012987012988
gs-parent-foc	Parent	30	0.01053001053001053
gs-makeup-addict-foc	Makeup Addict	21	0.007371007371007371
gs-fast-foodie-foc	Fast Foodie	29	0.010179010179010179
gs-outdoors-foc	Outdoors	38	0.013338013338013339
gs-casual-diner-foc	Casual Diner	32	0.011232011232011231
gs-coffee-lover-foc	Coffee Lover	28	0.009828009828009828
gs-fashionista-foc	Fashionista	35	0.012285012285012284
gs-bargain-hunter-foc	Bargain Hunter	26	0.009126009126009126
gs-sports-junkie-foc	Sports Junkie	40	0.01404001404001404
gs-organic-shopper-foc	Organic Shopper	36	0.012636012636012635
gs-business-traveler-foc	Business Travelers	31	0.01088101088101088
gs-fitness-minded-foc	Fitness Minded	27	0.009477009477009477
gs-music-streamer-foc	Music Streamer	18	0.006318006318006318
gs-movie-tv-streamer-foc	Movie/TV Streamer	23	0.008073008073008073
gs-online-shopper-foc	Online Shopper	52	0.018252018252018252
gs-pet-owner-foc	Pet Owner	49	0.0171990171990172
gs-college-student-foc	College Student	28	0.009828009828009828
gs-luxury-lifestyle-foc	Luxury Lifestyle	7	0.002457002457002457
gs-looking-for-love-foc	Looking for Love	32	0.011232011232011231
