Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
OTR Green acres	8c2e1c7d9cd9ca1f84c291fe9a7e86b39eb86c94	-34.88238253435664	138.63633653268738	AUS	South Australia	5087	40203103805	Port Adelaide Enfield (C)	0.8212346427905978	-34.882371534356636	138.63631153270887	AUS	South Australia	5087	40203103805	Port Adelaide Enfield (C)	0.8206341145224659
OTR Green acres	b0b959ca82c88281b3dcc7ec9ab3d61736316e75	-34.834242718587085	138.67847009630182	AUS	South Australia	5092	40205105234	Tea Tree Gully (C)	3.4084995395530027	-34.834242718587085	138.67845809630182	AUS	South Australia	5092	40205105234	Tea Tree Gully (C)	3.4080395014443696
OTR Green acres	751616b81b128eb1d4b6d9e2c84f89e7b27f15c4	-34.74686873662707	138.60636348560578	AUS	South Australia	5110	40204104849	Salisbury (C)	8.742808239555169	-34.92549273662707	138.59888740195112	AUS	South Australia	5000	40101100147	Adelaide (C)	4.396452093703033
OTR Green acres	e5c6f3367f53101ee39b78d6080d9a223dd92145	-34.908726792346265	138.59540896228702	AUS	South Australia	5006	40101100210	Adelaide (C)	3.574596449803641	-34.90871079234627	138.59540096228042	AUS	South Australia	5006	40101100210	Adelaide (C)	3.5740860498731397
OTR Green acres	067d58954cfb9af40100ee794f7a6007971040c1	-34.97802967739865	138.60851998974775	AUS	South Australia	5062	40303106925	Mitcham (C)	7.616974249945113	-34.978031677398654	138.60850698974113	AUS	South Australia	5062	40303106925	Mitcham (C)	7.617270615018172
OTR Green acres	b607a0d8b8c8a626eb41fcee0a6d54103adcd21e	-34.892601394662194	138.58544777538262	AUS	South Australia	5082	40106102123	Prospect (C)	3.3440517617781773	-34.91568839466219	138.568486722458	AUS	South Australia	5031	40403110803	West Torrens (C)	5.024940017730158
OTR Green acres	719d317f3aecc7b9f76c9072479323c5ecd01c88									-34.84709542905905	138.62938513524023	AUS	South Australia	5085	40203103716	Port Adelaide Enfield (C)	1.6950487252407924
OTR Green acres	968d8273a76566b066e1f3884daffde234411235	-34.8216911928711	138.69072971427522	AUS	South Australia	5092	40205105319	Tea Tree Gully (C)	4.519504604333298	-34.8216221928711	138.69079571430058	AUS	South Australia	5092	40205105319	Tea Tree Gully (C)	4.5255622877380155
OTR Green acres	a1e53c00fe46ab1404c5dcb7cb09c587a32db45f	-34.790874159211604	138.60925672417824	AUS	South Australia	5107	40204104320	Salisbury (C)	5.748406862806985	-34.79087315921161	138.6092497241779	AUS	South Australia	5107	40204104320	Salisbury (C)	5.748585711805508
OTR Green acres	1f86a22a083fb46719c4c48d8155a68aa4cafd72	-34.87122772198566	138.6457735488797	AUS	South Australia	5087	40203103810	Port Adelaide Enfield (C)	0.4483729296140681	-34.87119972198566	138.64576154898714	AUS	South Australia	5087	40203103810	Port Adelaide Enfield (C)	0.4475058997523471
