Location	Bucket	Type	Visitor Count	Percentage
OTR Green acres	Total visitors with CEL	CEL Distance	2778	
OTR Green acres	Median distance traveled from CEL	CEL Distance	3.734831886160272	
OTR Green acres	Lives within 1 mile of location	CEL Distance	386	13.89%
OTR Green acres	Lives between 1 and 2 miles	CEL Distance	447	16.09%
OTR Green acres	Lives between 2 and 3 miles	CEL Distance	345	12.42%
OTR Green acres	Lives between 3 and 5 miles	CEL Distance	480	17.28%
OTR Green acres	Lives between 5 and 10 miles	CEL Distance	672	24.19%
OTR Green acres	Lives between 10 and 25 miles	CEL Distance	283	10.19%
OTR Green acres	Lives between 25 and 50 miles	CEL Distance	34	1.22%
OTR Green acres	Lives between 50 and 100 miles	CEL Distance	25	0.90%
OTR Green acres	Lives >100 miles away	CEL Distance	106	3.82%
OTR Green acres	Total visitors with CDL	CDL Distance	2732	
OTR Green acres	Median distance traveled from CDL	CDL Distance	4.22020801360733	
OTR Green acres	Works within 1 mile of location	CDL Distance	331	12.12%
OTR Green acres	Works between 1 and 2 miles	CDL Distance	371	13.58%
OTR Green acres	Works between 2 and 3 miles	CDL Distance	332	12.15%
OTR Green acres	Works between 3 and 5 miles	CDL Distance	602	22.04%
OTR Green acres	Works between 5 and 10 miles	CDL Distance	675	24.71%
OTR Green acres	Works between 10 and 25 miles	CDL Distance	261	9.55%
OTR Green acres	Works between 25 and 50 miles	CDL Distance	33	1.21%
OTR Green acres	Works between 50 and 100 miles	CDL Distance	23	0.84%
OTR Green acres	Works >100 miles away	CDL Distance	104	3.81%
OTR Green acres	5086	Top CEL Zip Code	308	11.09%
OTR Green acres	5085	Top CEL Zip Code	215	7.74%
OTR Green acres	5087	Top CEL Zip Code	153	5.51%
OTR Green acres	5125	Top CEL Zip Code	97	3.49%
OTR Green acres	5092	Top CEL Zip Code	92	3.31%
OTR Green acres	5075	Top CEL Zip Code	77	2.77%
OTR Green acres	5098	Top CEL Zip Code	77	2.77%
OTR Green acres	5097	Top CEL Zip Code	67	2.41%
OTR Green acres	5082	Top CEL Zip Code	55	1.98%
OTR Green acres	5070	Top CEL Zip Code	53	1.91%
OTR Green acres	5076	Top CEL Zip Code	50	1.80%
OTR Green acres	5095	Top CEL Zip Code	49	1.76%
OTR Green acres	5083	Top CEL Zip Code	47	1.69%
OTR Green acres	5093	Top CEL Zip Code	47	1.69%
OTR Green acres	5108	Top CEL Zip Code	47	1.69%
OTR Green acres	5074	Top CEL Zip Code	45	1.62%
OTR Green acres	5090	Top CEL Zip Code	42	1.51%
OTR Green acres	5088	Top CEL Zip Code	38	1.37%
OTR Green acres	5114	Top CEL Zip Code	38	1.37%
OTR Green acres	5091	Top CEL Zip Code	37	1.33%
OTR Green acres	5086	Top CDL Zip Code	252	9.22%
OTR Green acres	5085	Top CDL Zip Code	172	6.30%
OTR Green acres	5087	Top CDL Zip Code	143	5.23%
OTR Green acres	5000	Top CDL Zip Code	130	4.76%
OTR Green acres	5092	Top CDL Zip Code	88	3.22%
OTR Green acres	5125	Top CDL Zip Code	85	3.11%
OTR Green acres	5075	Top CDL Zip Code	63	2.31%
OTR Green acres	5098	Top CDL Zip Code	59	2.16%
OTR Green acres	5070	Top CDL Zip Code	57	2.09%
OTR Green acres	5097	Top CDL Zip Code	49	1.79%
OTR Green acres	5095	Top CDL Zip Code	46	1.68%
OTR Green acres	5082	Top CDL Zip Code	45	1.65%
OTR Green acres	5083	Top CDL Zip Code	42	1.54%
OTR Green acres	5093	Top CDL Zip Code	41	1.50%
OTR Green acres	5088	Top CDL Zip Code	40	1.46%
OTR Green acres	5108	Top CDL Zip Code	39	1.43%
OTR Green acres	5074	Top CDL Zip Code	38	1.39%
OTR Green acres	5090	Top CDL Zip Code	37	1.35%
OTR Green acres	5076	Top CDL Zip Code	36	1.32%
OTR Green acres	5084	Top CDL Zip Code	36	1.32%
OTR Green acres	40203103758	Top CEL Census Block Group	52	1.87%
OTR Green acres	40203103825	Top CEL Census Block Group	26	0.94%
OTR Green acres	40203103811	Top CEL Census Block Group	22	0.79%
OTR Green acres	40203103818	Top CEL Census Block Group	21	0.76%
OTR Green acres	40203103714	Top CEL Census Block Group	19	0.68%
OTR Green acres	40203103817	Top CEL Census Block Group	17	0.61%
OTR Green acres	40203103730	Top CEL Census Block Group	15	0.54%
OTR Green acres	40203103816	Top CEL Census Block Group	15	0.54%
OTR Green acres	40203103835	Top CEL Census Block Group	15	0.54%
OTR Green acres	40203103753	Top CEL Census Block Group	14	0.50%
OTR Green acres	40203103810	Top CEL Census Block Group	13	0.47%
OTR Green acres	40203103828	Top CEL Census Block Group	13	0.47%
OTR Green acres	40203103833	Top CEL Census Block Group	13	0.47%
OTR Green acres	40203103718	Top CEL Census Block Group	12	0.43%
