Date	Polygon	Observed Devices
2019-08-22	OTR Green acres	2
2019-08-23	OTR Green acres	2
2019-08-25	OTR Green acres	1
2019-08-26	OTR Green acres	3
2019-08-27	OTR Green acres	2
2019-08-28	OTR Green acres	1
2019-08-29	OTR Green acres	1
2019-08-31	OTR Green acres	3
2019-09-02	OTR Green acres	2
2019-09-04	OTR Green acres	2
2019-09-05	OTR Green acres	3
2019-09-06	OTR Green acres	3
2019-09-07	OTR Green acres	1
2019-09-08	OTR Green acres	2
2019-09-09	OTR Green acres	3
2019-09-10	OTR Green acres	2
2019-09-11	OTR Green acres	16
2019-09-12	OTR Green acres	51
2019-09-13	OTR Green acres	30
2019-09-14	OTR Green acres	30
2019-09-15	OTR Green acres	30
2019-09-16	OTR Green acres	22
2019-09-17	OTR Green acres	22
2019-09-18	OTR Green acres	20
2019-09-19	OTR Green acres	29
2019-09-20	OTR Green acres	25
2019-09-21	OTR Green acres	19
2019-09-22	OTR Green acres	23
2019-09-23	OTR Green acres	17
2019-09-24	OTR Green acres	14
2019-09-25	OTR Green acres	14
2019-09-26	OTR Green acres	16
2019-09-27	OTR Green acres	18
2019-09-28	OTR Green acres	25
2019-09-29	OTR Green acres	32
2019-09-30	OTR Green acres	25
2019-10-01	OTR Green acres	17
2019-10-02	OTR Green acres	24
2019-10-03	OTR Green acres	19
2019-10-04	OTR Green acres	22
2019-10-05	OTR Green acres	18
2019-10-06	OTR Green acres	11
2019-10-07	OTR Green acres	30
2019-10-08	OTR Green acres	17
2019-10-09	OTR Green acres	17
2019-10-10	OTR Green acres	19
2019-10-11	OTR Green acres	12
2019-10-12	OTR Green acres	11
2019-10-13	OTR Green acres	12
2019-10-14	OTR Green acres	8
2019-10-15	OTR Green acres	6
2019-10-16	OTR Green acres	18
2019-10-17	OTR Green acres	13
2019-10-18	OTR Green acres	14
2019-10-19	OTR Green acres	15
2019-10-20	OTR Green acres	14
2019-10-21	OTR Green acres	18
2019-10-22	OTR Green acres	12
2019-10-23	OTR Green acres	19
2019-10-24	OTR Green acres	4
2019-10-25	OTR Green acres	17
2019-10-26	OTR Green acres	21
2019-10-27	OTR Green acres	15
2019-10-28	OTR Green acres	9
2019-10-29	OTR Green acres	12
2019-10-30	OTR Green acres	12
2019-10-31	OTR Green acres	28
2019-11-01	OTR Green acres	15
2019-11-02	OTR Green acres	17
2019-11-03	OTR Green acres	12
2019-11-04	OTR Green acres	9
2019-11-05	OTR Green acres	4
2019-11-06	OTR Green acres	17
2019-11-07	OTR Green acres	19
2019-11-08	OTR Green acres	7
2019-11-09	OTR Green acres	15
2019-11-10	OTR Green acres	12
2019-11-11	OTR Green acres	11
2019-11-12	OTR Green acres	20
2019-11-13	OTR Green acres	14
2019-11-14	OTR Green acres	12
2019-11-15	OTR Green acres	11
2019-11-16	OTR Green acres	9
2019-11-17	OTR Green acres	15
2019-11-18	OTR Green acres	8
2019-11-19	OTR Green acres	12
2019-11-20	OTR Green acres	6
2019-11-21	OTR Green acres	15
2019-11-22	OTR Green acres	15
2019-11-23	OTR Green acres	10
2019-11-24	OTR Green acres	17
2019-11-25	OTR Green acres	6
2019-11-26	OTR Green acres	20
2019-11-27	OTR Green acres	12
2019-11-28	OTR Green acres	20
2019-11-29	OTR Green acres	11
2019-11-30	OTR Green acres	6
2019-12-01	OTR Green acres	11
2019-12-02	OTR Green acres	15
2019-12-03	OTR Green acres	17
2019-12-04	OTR Green acres	15
2019-12-05	OTR Green acres	15
2019-12-06	OTR Green acres	17
