category_id	category_name	subsector	sector	study_visitors	control_visitors	visit_rate_study	visit_rate_control	visit_rate_study_sigma	visit_rate_control_sigma	visit_rate_ratio	visit_rate_ratio_sigma	num_visits_study	num_visits_control	num_visits_study_sigma	num_visits_control_sigma	num_visits_ratio	num_visits_ratio_sigma	visit_duration_study	visit_duration_control	visit_duration_study_sigma	visit_duration_control_sigma	visit_duration_ratio	visit_duration_ratio_sigma	affinity_ratio	affinity_ratio_sigma	visit_share_study	visit_share_control	visit_share_study_sigma	visit_share_control_sigma	visit_share_ratio	visit_share_ratio_sigma
9531	10 Fitness			0	1414	0.0000%	0.0080%	0.0000%	0.0000%	-100.00%	0.00%	0.000	3.151	0.000	0.000	-100.00%	0.00%	0.0	17.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0013	0.0000	0.0000	-100.00%	0.00%
9532	168 Market	Ethnic Grocer	Grocery Stores	0	771	0.0000%	0.0044%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.518	0.000	0.000	-100.00%	0.00%	0.0	17.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0003	0.0000	0.0000	-100.00%	0.00%
9533	24 Hour Fitness	Gym and Fitness Facilities	Fitness and Recreation Centers	0	116923	0.0000%	0.6651%	0.0000%	0.0000%	-100.00%	0.00%	0.000	3.210	0.000	0.000	-100.00%	0.00%	0.0	19.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.1057	0.0000	0.0000	-100.00%	0.00%
9534	54th Street Grill	Casual Dining	Eating Places	0	18831	0.0000%	0.1071%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.382	0.000	0.000	-100.00%	0.00%	0.0	18.2	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0073	0.0000	0.0000	-100.00%	0.00%
9535	76 Gas Station	Gas Stations	Auto and Gasoline Service Stations	0	316415	0.0000%	1.8000%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.742	0.000	0.000	-100.00%	0.00%	0.0	15.5	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.1553	0.0000	0.0000	-100.00%	0.00%
9536	7-Eleven	Convenience	Auto and Gasoline Service Stations	1	1508909	33.3333%	8.5835%	50.0000%	0.0000%	+288.34%	582.51%	3.000	2.247	1.500	0.000	+33.49%	66.75%	11.8	15.7	5.9	0.0	-25.03%	37.48%	+127.69%	197.18%	1.6304	0.9553	0.9934	0.0000	+70.67%	103.98%
9537	84 Lumber	Hardware/Home Improvement	Retail	0	20346	0.0000%	0.1157%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.814	0.000	0.000	-100.00%	0.00%	0.0	17.3	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0104	0.0000	0.0000	-100.00%	0.00%
9538	85 Degrees C Bakery Cafe	Bakery/Dessert	Eating Places	0	4738	0.0000%	0.0270%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.322	0.000	0.000	-100.00%	0.00%	0.0	15.0	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0018	0.0000	0.0000	-100.00%	0.00%
9539	99 Cents Only Store	Discount Stores	Retail	0	88082	0.0000%	0.5011%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.632	0.000	0.000	-100.00%	0.00%	0.0	16.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0405	0.0000	0.0000	-100.00%	0.00%
9540	99 Ranch Market	Ethnic Grocer	Grocery Stores	0	10757	0.0000%	0.0612%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.496	0.000	0.000	-100.00%	0.00%	0.0	16.5	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0045	0.0000	0.0000	-100.00%	0.00%
