subsector	sector	study_visitors	control_visitors	visit_rate_study	visit_rate_control	visit_rate_study_sigma	visit_rate_control_sigma	visit_rate_ratio	visit_rate_ratio_sigma	num_visits_study	num_visits_control	num_visits_study_sigma	num_visits_control_sigma	num_visits_ratio	num_visits_ratio_sigma	visit_duration_study	visit_duration_control	visit_duration_study_sigma	visit_duration_control_sigma	visit_duration_ratio	visit_duration_ratio_sigma	affinity_ratio	affinity_ratio_sigma	visit_share_study	visit_share_control	visit_share_study_sigma	visit_share_control_sigma	visit_share_ratio	visit_share_ratio_sigma
"Gifts, Novelty, Specality"	Retail	0	8199	0.0000%	0.0466%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.424	0.000	0.000	-100.00%	+0.00%	0.0	15.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0033	0.0000	0.0000	-100.00%	+0.00%
"Spa, Massage, Esthetics"	Salon/Spa	0	80134	0.0000%	0.4558%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.522	0.000	0.000	-100.00%	+0.00%	0.0	15.4	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0344	0.0000	0.0000	-100.00%	+0.00%
Accessories/Jewelry	Apparel	0	253506	0.0000%	1.4421%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.467	0.000	0.000	-100.00%	+0.00%	0.0	15.6	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1048	0.0000	0.0000	-100.00%	+0.00%
Accessories/Jewelry	Retail	0	57871	0.0000%	0.3292%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.411	0.000	0.000	-100.00%	+0.00%	0.0	15.1	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0230	0.0000	0.0000	-100.00%	+0.00%
Amusement	Childrens Activities	0	14384	0.0000%	0.0818%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.476	0.000	0.000	-100.00%	+0.00%	0.0	16.5	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0060	0.0000	0.0000	-100.00%	+0.00%
Amusement	Entertainment	1	749331	33.3333%	4.2626%	50.0000%	0.0000%	+681.99%	+1172.99%	1.000	1.612	0.500	0.000	-37.98%	+31.01%	10.0	19.7	5.0	0.0	-49.12%	+25.44%	+120.22%	+190.71%	0.5435	0.3404	3.3333	0.0000	+59.66%	+979.24%
Arts and Crafts	Retail	0	411733	0.0000%	2.3422%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.467	0.000	0.000	-100.00%	+0.00%	0.0	16.0	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1702	0.0000	0.0000	-100.00%	+0.00%
Auto Services	Auto and Gasoline Service Stations	0	3536187	0.0000%	20.1159%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.179	0.000	0.000	-100.00%	+0.00%	0.0	17.0	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	2.1703	0.0000	0.0000	-100.00%	+0.00%
Bakery/Dessert	Eating Places	0	1472057	0.0000%	8.3739%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.969	0.000	0.000	-100.00%	+0.00%	0.0	15.4	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.8164	0.0000	0.0000	-100.00%	+0.00%
Banks and Financial Services	Services	1	3068648	33.3333%	17.4562%	50.0000%	0.0000%	+90.95%	+286.43%	15.000	2.010	7.500	0.000	+646.21%	+373.10%	14.4	15.4	7.2	0.0	-6.72%	+46.64%	+277.48%	+326.91%	8.1522	1.7378	4.9669	0.0000	+369.11%	+285.81%
Big Box	Retail	1	8250517	33.3333%	46.9337%	50.0000%	0.0000%	-28.98%	+106.53%	7.000	2.973	3.500	0.000	+135.43%	+117.72%	19.3	18.4	9.6	0.0	+4.82%	+52.41%	+29.31%	+111.98%	3.8043	6.9109	2.3179	0.0000	-44.95%	+33.54%
Books	Retail	0	180107	0.0000%	1.0246%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.424	0.000	0.000	-100.00%	+0.00%	0.0	17.1	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0722	0.0000	0.0000	-100.00%	+0.00%
Bowling	Entertainment	0	109572	0.0000%	0.6233%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.626	0.000	0.000	-100.00%	+0.00%	0.0	21.7	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0502	0.0000	0.0000	-100.00%	+0.00%
Budget	Hotels	0	2187535	0.0000%	12.4440%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.486	0.000	0.000	-100.00%	+0.00%	0.0	36.8	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	1.5319	0.0000	0.0000	-100.00%	+0.00%
Casual Dining	Eating Places	3	6512390	100.0000%	37.0462%	50.0000%	0.0000%	+169.93%	+134.97%	1.333	2.352	1.000	0.000	-43.32%	+42.51%	11.8	18.1	6.7	0.0	-34.60%	+37.31%	+23.70%	+75.75%	2.1739	4.3156	3.3333	0.0000	-49.63%	+77.24%
Childrens	Retail	0	81815	0.0000%	0.4654%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.396	0.000	0.000	-100.00%	+0.00%	0.0	15.6	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0322	0.0000	0.0000	-100.00%	+0.00%
Clothing	Apparel	2	1021191	66.6667%	5.8091%	50.0000%	0.0000%	+1047.62%	+860.72%	2.500	1.815	1.500	0.000	+37.72%	+82.63%	17.0	15.8	11.0	0.0	+7.59%	+69.81%	+297.55%	+266.69%	2.7174	0.5222	10.0000	0.0000	+420.32%	+1914.79%
Clothing- Childrens	Apparel	1	164360	33.3333%	0.9350%	50.0000%	0.0000%	+3465.16%	+5347.74%	1.000	1.425	0.500	0.000	-29.81%	+35.09%	10.0	15.3	5.0	0.0	-34.62%	+32.69%	+400.23%	+433.21%	0.5435	0.0660	0.3311	0.0000	+723.81%	+501.93%
Clothing- Digital	Apparel	0	2307	0.0000%	0.0131%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.631	0.000	0.000	-100.00%	+0.00%	0.0	16.3	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0011	0.0000	0.0000	-100.00%	+0.00%
Clothing- Mens	Apparel	0	46108	0.0000%	0.2623%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.418	0.000	0.000	-100.00%	+0.00%	0.0	16.1	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0184	0.0000	0.0000	-100.00%	+0.00%
Clothing- Womens	Apparel	0	552058	0.0000%	3.1404%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.634	0.000	0.000	-100.00%	+0.00%	0.0	15.5	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.2541	0.0000	0.0000	-100.00%	+0.00%
Co-Op	Grocery Stores	0	18936	0.0000%	0.1077%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.807	0.000	0.000	-100.00%	+0.00%	0.0	16.5	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0096	0.0000	0.0000	-100.00%	+0.00%
Coffee/Tea	Eating Places	0	1592189	0.0000%	9.0573%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.889	0.000	0.000	-100.00%	+0.00%	0.0	15.8	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.8472	0.0000	0.0000	-100.00%	+0.00%
Convenience	Auto and Gasoline Service Stations	1	4916882	33.3333%	27.9700%	50.0000%	0.0000%	+19.18%	+178.76%	7.000	2.590	3.500	0.000	+170.32%	+135.16%	12.3	15.5	6.1	0.0	-20.84%	+39.58%	+79.49%	+155.44%	3.8043	3.5870	2.3179	0.0000	+6.06%	+64.62%
Convenience	Grocery Stores	1	650187	33.3333%	3.6986%	50.0000%	0.0000%	+801.23%	+1351.85%	2.000	2.399	1.000	0.000	-16.64%	+41.68%	32.0	16.0	16.0	0.0	+100.66%	+100.33%	+174.09%	+237.36%	1.0870	0.4395	0.6623	0.0000	+147.32%	+150.68%
Cosmetics and Beauty Supplies	Retail	0	245223	0.0000%	1.3950%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.421	0.000	0.000	-100.00%	+0.00%	0.0	15.6	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0982	0.0000	0.0000	-100.00%	+0.00%
Cosmetics and Beauty Supplies	Salon/Spa	0	7032	0.0000%	0.0400%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.510	0.000	0.000	-100.00%	+0.00%	0.0	17.5	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0030	0.0000	0.0000	-100.00%	+0.00%
Department Stores	Apparel	1	1595289	33.3333%	9.0749%	50.0000%	0.0000%	+267.31%	+550.97%	1.000	1.756	0.500	0.000	-43.04%	+28.48%	27.0	17.1	13.5	0.0	+57.83%	+78.92%	+44.64%	+125.26%	0.5435	0.7891	2.7778	0.0000	-31.13%	+352.03%
Discount Stores	Apparel	1	842354	33.3333%	4.7918%	50.0000%	0.0000%	+595.63%	+1043.45%	1.000	1.650	0.500	0.000	-39.41%	+30.30%	10.1	16.7	5.0	0.0	-39.68%	+30.16%	+105.31%	+177.80%	0.5435	0.3916	0.3311	0.0000	+38.77%	+84.55%
Discount Stores	Retail	1	2905931	33.3333%	16.5306%	50.0000%	0.0000%	+101.65%	+302.47%	8.000	2.043	4.000	0.000	+291.56%	+195.78%	14.6	16.3	7.3	0.0	-10.12%	+44.94%	+180.99%	+243.35%	4.3478	1.6726	2.6490	0.0000	+159.94%	+158.37%
Drug Stores	Retail	2	4289856	66.6667%	24.4032%	50.0000%	0.0000%	+173.19%	+204.89%	2.500	2.015	1.500	0.000	+24.06%	+74.44%	12.2	15.6	6.8	0.0	-21.76%	+43.79%	+84.10%	+123.50%	2.7174	2.4354	5.5556	0.0000	+11.58%	+228.11%
Economy	Automotive Dealers	0	319521	0.0000%	1.8176%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.573	0.000	0.000	-100.00%	+0.00%	0.0	17.7	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1416	0.0000	0.0000	-100.00%	+0.00%
Economy	Hotels	0	3073526	0.0000%	17.4840%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.600	0.000	0.000	-100.00%	+0.00%	0.0	33.9	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	2.2510	0.0000	0.0000	-100.00%	+0.00%
Education	Childrens Activities	0	173037	0.0000%	0.9843%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.906	0.000	0.000	-100.00%	+0.00%	0.0	16.8	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0929	0.0000	0.0000	-100.00%	+0.00%
Electronics	Retail	0	701696	0.0000%	3.9916%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.506	0.000	0.000	-100.00%	+0.00%	0.0	16.7	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.2978	0.0000	0.0000	-100.00%	+0.00%
Ethnic Grocer	Grocery Stores	0	252254	0.0000%	1.4350%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.939	0.000	0.000	-100.00%	+0.00%	0.0	17.2	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1378	0.0000	0.0000	-100.00%	+0.00%
Eyewear	Retail	0	106622	0.0000%	0.6065%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.487	0.000	0.000	-100.00%	+0.00%	0.0	16.6	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0447	0.0000	0.0000	-100.00%	+0.00%
Fast Casual	Eating Places	1	2062637	33.3333%	11.7335%	50.0000%	0.0000%	+184.09%	+426.13%	1.000	1.706	0.500	0.000	-41.37%	+29.31%	10.0	15.6	5.0	0.0	-35.86%	+32.07%	+29.06%	+111.77%	0.5435	0.9912	2.7778	0.0000	-45.17%	+280.25%
Fine Dining	Eating Places	0	115966	0.0000%	0.6597%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.477	0.000	0.000	-100.00%	+0.00%	0.0	18.1	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0482	0.0000	0.0000	-100.00%	+0.00%
Footwear	Apparel	1	594233	33.3333%	3.3803%	50.0000%	0.0000%	+886.09%	+1479.14%	1.000	1.590	0.500	0.000	-37.13%	+31.44%	10.0	15.9	5.0	0.0	-37.10%	+31.45%	+149.00%	+215.64%	0.5435	0.2663	2.7778	0.0000	+104.11%	+1043.24%
Footwear	Retail	0	508	0.0000%	0.0029%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.463	0.000	0.000	-100.00%	+0.00%	0.0	16.0	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0002	0.0000	0.0000	-100.00%	+0.00%
Furnishings Rental	Retail	0	171725	0.0000%	0.9769%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.547	0.000	0.000	-100.00%	+0.00%	0.0	18.0	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0748	0.0000	0.0000	-100.00%	+0.00%
Furniture	Retail	0	1317916	0.0000%	7.4971%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.817	0.000	0.000	-100.00%	+0.00%	0.0	16.9	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.6746	0.0000	0.0000	-100.00%	+0.00%
Gas Stations	Auto and Gasoline Service Stations	1	8802698	33.3333%	50.0748%	50.0000%	0.0000%	-33.43%	+99.85%	37.000	4.686	18.500	0.000	+689.56%	+394.78%	15.3	17.7	7.7	0.0	-13.16%	+43.42%	+129.26%	+198.54%	20.1087	11.6213	12.2517	0.0000	+73.03%	+105.42%
Grocery	Grocery Stores	1	6153717	33.3333%	35.0059%	50.0000%	0.0000%	-4.78%	+142.83%	4.000	2.642	2.000	0.000	+51.38%	+75.69%	19.2	16.9	9.6	0.0	+13.81%	+56.90%	+20.06%	+103.98%	2.1739	4.5810	1.3245	0.0000	-52.54%	+28.91%
Gym and Fitness Facilities	Fitness and Recreation Centers	0	1287808	0.0000%	7.3258%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	2.915	0.000	0.000	-100.00%	+0.00%	0.0	19.9	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	1.0574	0.0000	0.0000	-100.00%	+0.00%
Hair	Salon/Spa	0	315532	0.0000%	1.7949%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.436	0.000	0.000	-100.00%	+0.00%	0.0	15.5	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.1277	0.0000	0.0000	-100.00%	+0.00%
Hardware/Home Improvement	Retail	1	4514083	33.3333%	25.6787%	50.0000%	0.0000%	+29.81%	+194.71%	9.000	2.254	4.500	0.000	+299.23%	+199.62%	12.9	16.9	6.4	0.0	-24.07%	+37.96%	+127.65%	+197.15%	4.8913	2.8669	2.9801	0.0000	+70.61%	+103.95%
