Date	Polygon	Observed Devices
2019-09-01	Klemzig SA Competitor	19
2019-09-02	Klemzig SA Competitor	18
2019-09-03	Klemzig SA Competitor	53
2019-09-04	Klemzig SA Competitor	48
2019-09-05	Klemzig SA Competitor	60
2019-09-06	Klemzig SA Competitor	51
2019-09-07	Klemzig SA Competitor	48
2019-09-08	Klemzig SA Competitor	48
2019-09-09	Klemzig SA Competitor	63
2019-09-10	Klemzig SA Competitor	49
2019-09-11	Klemzig SA Competitor	69
2019-09-12	Klemzig SA Competitor	72
2019-09-13	Klemzig SA Competitor	71
2019-09-14	Klemzig SA Competitor	70
2019-09-15	Klemzig SA Competitor	66
2019-09-16	Klemzig SA Competitor	72
2019-09-17	Klemzig SA Competitor	68
2019-09-18	Klemzig SA Competitor	76
2019-09-19	Klemzig SA Competitor	61
2019-09-20	Klemzig SA Competitor	51
2019-09-21	Klemzig SA Competitor	53
2019-09-22	Klemzig SA Competitor	56
2019-09-23	Klemzig SA Competitor	57
2019-09-24	Klemzig SA Competitor	60
2019-09-25	Klemzig SA Competitor	63
2019-09-26	Klemzig SA Competitor	74
2019-09-27	Klemzig SA Competitor	73
2019-09-28	Klemzig SA Competitor	67
2019-09-29	Klemzig SA Competitor	63
2019-09-30	Klemzig SA Competitor	59
2019-10-01	Klemzig SA Competitor	58
2019-10-02	Klemzig SA Competitor	61
2019-10-03	Klemzig SA Competitor	71
2019-10-04	Klemzig SA Competitor	53
2019-10-05	Klemzig SA Competitor	65
2019-10-06	Klemzig SA Competitor	46
2019-10-07	Klemzig SA Competitor	39
2019-10-08	Klemzig SA Competitor	47
2019-10-09	Klemzig SA Competitor	53
2019-10-10	Klemzig SA Competitor	58
2019-10-11	Klemzig SA Competitor	75
2019-10-12	Klemzig SA Competitor	61
2019-10-13	Klemzig SA Competitor	44
2019-10-14	Klemzig SA Competitor	41
2019-10-15	Klemzig SA Competitor	38
2019-10-16	Klemzig SA Competitor	55
2019-10-17	Klemzig SA Competitor	58
2019-10-18	Klemzig SA Competitor	59
2019-10-19	Klemzig SA Competitor	52
2019-10-20	Klemzig SA Competitor	45
2019-10-21	Klemzig SA Competitor	48
2019-10-22	Klemzig SA Competitor	57
2019-10-23	Klemzig SA Competitor	47
2019-10-24	Klemzig SA Competitor	34
2019-10-25	Klemzig SA Competitor	55
2019-10-26	Klemzig SA Competitor	64
2019-10-27	Klemzig SA Competitor	63
2019-10-28	Klemzig SA Competitor	60
2019-10-29	Klemzig SA Competitor	67
2019-10-30	Klemzig SA Competitor	52
2019-10-31	Klemzig SA Competitor	43
2019-11-01	Klemzig SA Competitor	39
2019-11-02	Klemzig SA Competitor	54
2019-11-03	Klemzig SA Competitor	40
2019-11-04	Klemzig SA Competitor	48
2019-11-05	Klemzig SA Competitor	49
2019-11-06	Klemzig SA Competitor	54
2019-11-07	Klemzig SA Competitor	56
2019-11-08	Klemzig SA Competitor	46
2019-11-09	Klemzig SA Competitor	52
2019-11-10	Klemzig SA Competitor	49
2019-11-11	Klemzig SA Competitor	48
2019-11-12	Klemzig SA Competitor	49
2019-11-13	Klemzig SA Competitor	42
2019-11-14	Klemzig SA Competitor	55
2019-11-15	Klemzig SA Competitor	56
2019-11-16	Klemzig SA Competitor	48
2019-11-17	Klemzig SA Competitor	45
2019-11-18	Klemzig SA Competitor	48
2019-11-19	Klemzig SA Competitor	38
2019-11-20	Klemzig SA Competitor	33
2019-11-21	Klemzig SA Competitor	42
2019-11-22	Klemzig SA Competitor	63
2019-11-23	Klemzig SA Competitor	46
2019-11-24	Klemzig SA Competitor	56
2019-11-25	Klemzig SA Competitor	42
2019-11-26	Klemzig SA Competitor	46
2019-11-27	Klemzig SA Competitor	41
2019-11-28	Klemzig SA Competitor	45
2019-11-29	Klemzig SA Competitor	58
2019-11-30	Klemzig SA Competitor	41
2019-12-01	Klemzig SA Competitor	56
2019-12-02	Klemzig SA Competitor	51
2019-12-03	Klemzig SA Competitor	46
2019-12-04	Klemzig SA Competitor	52
2019-12-05	Klemzig SA Competitor	55
2019-12-06	Klemzig SA Competitor	49
2019-12-07	Klemzig SA Competitor	58
2019-12-08	Klemzig SA Competitor	44
2019-12-09	Klemzig SA Competitor	50
2019-12-10	Klemzig SA Competitor	48
2019-12-11	Klemzig SA Competitor	54
2019-12-12	Klemzig SA Competitor	58
2019-12-13	Klemzig SA Competitor	54
2019-12-14	Klemzig SA Competitor	56
2019-12-15	Klemzig SA Competitor	53
2019-12-16	Klemzig SA Competitor	52
2019-12-17	Klemzig SA Competitor	35
2019-12-18	Klemzig SA Competitor	51
2019-12-19	Klemzig SA Competitor	43
2019-12-20	Klemzig SA Competitor	53
2019-12-21	Klemzig SA Competitor	54
2019-12-22	Klemzig SA Competitor	54
2019-12-23	Klemzig SA Competitor	43
2019-12-24	Klemzig SA Competitor	49
2019-12-25	Klemzig SA Competitor	44
2019-12-26	Klemzig SA Competitor	45
2019-12-27	Klemzig SA Competitor	48
2019-12-28	Klemzig SA Competitor	42
2019-12-29	Klemzig SA Competitor	42
2019-12-30	Klemzig SA Competitor	41
2019-12-31	Klemzig SA Competitor	45
2020-01-01	Klemzig SA Competitor	28
2020-01-02	Klemzig SA Competitor	41
2020-01-03	Klemzig SA Competitor	44
2020-01-04	Klemzig SA Competitor	43
2020-01-05	Klemzig SA Competitor	49
2020-01-06	Klemzig SA Competitor	31
2020-01-07	Klemzig SA Competitor	30
2020-01-08	Klemzig SA Competitor	47
2020-01-09	Klemzig SA Competitor	42
2020-01-10	Klemzig SA Competitor	43
2020-01-11	Klemzig SA Competitor	50
2020-01-12	Klemzig SA Competitor	39
2020-01-13	Klemzig SA Competitor	58
2020-01-14	Klemzig SA Competitor	44
2020-01-15	Klemzig SA Competitor	52
2020-01-16	Klemzig SA Competitor	70
2020-01-17	Klemzig SA Competitor	50
2020-01-18	Klemzig SA Competitor	49
2020-01-19	Klemzig SA Competitor	47
2020-01-20	Klemzig SA Competitor	40
2020-01-21	Klemzig SA Competitor	67
2020-01-22	Klemzig SA Competitor	62
2020-01-23	Klemzig SA Competitor	52
2020-01-24	Klemzig SA Competitor	60
2020-01-25	Klemzig SA Competitor	53
2020-01-26	Klemzig SA Competitor	48
2020-01-27	Klemzig SA Competitor	32
2020-01-28	Klemzig SA Competitor	43
2020-01-29	Klemzig SA Competitor	67
2020-01-30	Klemzig SA Competitor	62
2020-01-31	Klemzig SA Competitor	71
2020-02-01	Klemzig SA Competitor	53
2020-02-02	Klemzig SA Competitor	53
2020-02-03	Klemzig SA Competitor	57
2020-02-04	Klemzig SA Competitor	71
2020-02-05	Klemzig SA Competitor	45
2020-02-06	Klemzig SA Competitor	50
2020-02-07	Klemzig SA Competitor	65
2020-02-08	Klemzig SA Competitor	42
2020-02-09	Klemzig SA Competitor	50
2020-02-10	Klemzig SA Competitor	53
2020-02-11	Klemzig SA Competitor	56
2020-02-12	Klemzig SA Competitor	68
2020-02-13	Klemzig SA Competitor	52
2020-02-14	Klemzig SA Competitor	59
2020-02-15	Klemzig SA Competitor	59
2020-02-16	Klemzig SA Competitor	58
2020-02-17	Klemzig SA Competitor	60
2020-02-18	Klemzig SA Competitor	53
2020-02-19	Klemzig SA Competitor	57
2020-02-20	Klemzig SA Competitor	74
2020-02-21	Klemzig SA Competitor	48
2020-02-22	Klemzig SA Competitor	53
2020-02-23	Klemzig SA Competitor	48
2020-02-24	Klemzig SA Competitor	48
2020-02-25	Klemzig SA Competitor	42
2020-02-26	Klemzig SA Competitor	54
2020-02-27	Klemzig SA Competitor	48
2020-02-28	Klemzig SA Competitor	76
