Date	Polygon	Observed Devices
2019-08-31	Glandore OTR	1
2019-09-02	Glandore OTR	2
2019-09-03	Glandore OTR	4
2019-09-04	Glandore OTR	3
2019-09-05	Glandore OTR	4
2019-09-06	Glandore OTR	3
2019-09-07	Glandore OTR	11
2019-09-08	Glandore OTR	6
2019-09-09	Glandore OTR	2
2019-09-10	Glandore OTR	1
2019-09-11	Glandore OTR	4
2019-09-12	Glandore OTR	5
2019-09-13	Glandore OTR	6
2019-09-14	Glandore OTR	6
2019-09-15	Glandore OTR	7
2019-09-16	Glandore OTR	2
2019-09-17	Glandore OTR	8
2019-09-18	Glandore OTR	6
2019-09-19	Glandore OTR	1
2019-09-20	Glandore OTR	7
2019-09-21	Glandore OTR	4
2019-09-22	Glandore OTR	5
2019-09-23	Glandore OTR	4
2019-09-24	Glandore OTR	1
2019-09-25	Glandore OTR	4
2019-09-26	Glandore OTR	4
2019-09-27	Glandore OTR	6
2019-09-28	Glandore OTR	6
2019-09-29	Glandore OTR	2
2019-09-30	Glandore OTR	7
2019-10-01	Glandore OTR	8
2019-10-02	Glandore OTR	10
2019-10-03	Glandore OTR	8
2019-10-04	Glandore OTR	1
2019-10-05	Glandore OTR	3
2019-10-06	Glandore OTR	6
2019-10-07	Glandore OTR	3
2019-10-08	Glandore OTR	3
2019-10-09	Glandore OTR	10
2019-10-10	Glandore OTR	2
2019-10-11	Glandore OTR	5
2019-10-12	Glandore OTR	3
2019-10-13	Glandore OTR	6
2019-10-14	Glandore OTR	2
2019-10-15	Glandore OTR	1
2019-10-16	Glandore OTR	1
2019-10-17	Glandore OTR	1
2019-10-18	Glandore OTR	5
2019-10-19	Glandore OTR	1
2019-10-20	Glandore OTR	3
2019-10-21	Glandore OTR	3
2019-10-22	Glandore OTR	2
2019-10-23	Glandore OTR	1
2019-10-24	Glandore OTR	6
2019-10-26	Glandore OTR	2
2019-10-29	Glandore OTR	2
2019-10-30	Glandore OTR	2
2019-10-31	Glandore OTR	1
2019-11-01	Glandore OTR	1
2019-11-02	Glandore OTR	4
2019-11-04	Glandore OTR	1
2019-11-06	Glandore OTR	2
2019-11-07	Glandore OTR	1
2019-11-08	Glandore OTR	1
2019-11-09	Glandore OTR	4
2019-11-10	Glandore OTR	2
2019-11-11	Glandore OTR	1
2019-11-12	Glandore OTR	2
2019-11-13	Glandore OTR	4
2019-11-14	Glandore OTR	2
2019-11-15	Glandore OTR	1
2019-11-16	Glandore OTR	1
2019-11-19	Glandore OTR	2
2019-11-20	Glandore OTR	2
2019-11-22	Glandore OTR	1
2019-11-23	Glandore OTR	1
2019-11-24	Glandore OTR	1
2019-11-26	Glandore OTR	1
2019-11-27	Glandore OTR	1
2019-11-28	Glandore OTR	2
2019-12-01	Glandore OTR	1
2019-12-02	Glandore OTR	1
2019-12-03	Glandore OTR	2
2019-12-04	Glandore OTR	7
2019-12-05	Glandore OTR	4
2019-12-08	Glandore OTR	1
2019-12-09	Glandore OTR	2
2019-12-10	Glandore OTR	4
2019-12-11	Glandore OTR	3
2019-12-12	Glandore OTR	1
2019-12-14	Glandore OTR	1
2019-12-15	Glandore OTR	2
2019-12-16	Glandore OTR	1
2019-12-17	Glandore OTR	1
2019-12-18	Glandore OTR	2
2019-12-19	Glandore OTR	1
2019-12-20	Glandore OTR	3
2019-12-21	Glandore OTR	3
2019-12-22	Glandore OTR	2
2019-12-23	Glandore OTR	1
2019-12-24	Glandore OTR	1
2019-12-25	Glandore OTR	1
2019-12-26	Glandore OTR	2
2019-12-30	Glandore OTR	1
2020-01-01	Glandore OTR	1
2020-01-02	Glandore OTR	1
2020-01-04	Glandore OTR	1
2020-01-05	Glandore OTR	1
2020-01-07	Glandore OTR	1
2020-01-08	Glandore OTR	1
2020-01-09	Glandore OTR	1
2020-01-10	Glandore OTR	1
2020-01-11	Glandore OTR	3
2020-01-12	Glandore OTR	1
2020-01-14	Glandore OTR	1
2020-01-15	Glandore OTR	1
2020-01-16	Glandore OTR	2
2020-01-18	Glandore OTR	1
2020-01-22	Glandore OTR	1
2020-01-23	Glandore OTR	1
2020-01-25	Glandore OTR	3
2020-01-26	Glandore OTR	1
2020-01-27	Glandore OTR	2
2020-01-28	Glandore OTR	1
2020-01-29	Glandore OTR	1
2020-01-30	Glandore OTR	2
2020-01-31	Glandore OTR	2
2020-02-03	Glandore OTR	1
2020-02-04	Glandore OTR	2
2020-02-05	Glandore OTR	5
2020-02-06	Glandore OTR	1
2020-02-07	Glandore OTR	3
2020-02-08	Glandore OTR	2
2020-02-11	Glandore OTR	2
2020-02-12	Glandore OTR	1
2020-02-13	Glandore OTR	2
2020-02-14	Glandore OTR	3
2020-02-15	Glandore OTR	1
2020-02-17	Glandore OTR	4
2020-02-18	Glandore OTR	2
2020-02-19	Glandore OTR	3
2020-02-22	Glandore OTR	1
2020-02-23	Glandore OTR	1
2020-02-24	Glandore OTR	1
2020-02-26	Glandore OTR	2
2020-02-27	Glandore OTR	1
2020-02-28	Glandore OTR	1
2020-02-29	Glandore OTR	3
2020-03-01	Glandore OTR	1
2020-03-02	Glandore OTR	2
2020-03-03	Glandore OTR	2
2020-03-04	Glandore OTR	1
2020-03-05	Glandore OTR	1
2020-03-07	Glandore OTR	1
2020-03-08	Glandore OTR	1
2020-03-09	Glandore OTR	1
2020-03-10	Glandore OTR	1
2020-03-11	Glandore OTR	1
2020-03-12	Glandore OTR	4
2020-03-14	Glandore OTR	4
2020-03-16	Glandore OTR	1
2020-03-18	Glandore OTR	1
2020-03-19	Glandore OTR	3
2020-03-20	Glandore OTR	1
2020-03-24	Glandore OTR	1
2020-03-26	Glandore OTR	1
2020-03-27	Glandore OTR	3
2020-03-28	Glandore OTR	1
2020-03-31	Glandore OTR	2
2020-04-02	Glandore OTR	1
2020-04-07	Glandore OTR	1
2020-04-09	Glandore OTR	3
2020-04-11	Glandore OTR	2
2020-04-14	Glandore OTR	1
2020-04-15	Glandore OTR	1
2020-04-16	Glandore OTR	2
2020-04-21	Glandore OTR	1
2020-04-23	Glandore OTR	2
2020-04-26	Glandore OTR	1
2020-04-27	Glandore OTR	1
2020-04-28	Glandore OTR	1
2020-04-29	Glandore OTR	1
2020-05-01	Glandore OTR	1
2020-05-05	Glandore OTR	1
2020-05-06	Glandore OTR	1
2020-05-07	Glandore OTR	1
2020-05-08	Glandore OTR	3
2020-05-09	Glandore OTR	1
2020-05-11	Glandore OTR	2
2020-05-12	Glandore OTR	2
2020-05-13	Glandore OTR	4
2020-05-18	Glandore OTR	2
2020-05-19	Glandore OTR	2
2020-05-20	Glandore OTR	4
2020-05-21	Glandore OTR	2
2020-05-23	Glandore OTR	1
2020-05-24	Glandore OTR	3
2020-05-26	Glandore OTR	3
2020-05-27	Glandore OTR	12
2020-05-28	Glandore OTR	18
2020-05-29	Glandore OTR	11
2020-05-30	Glandore OTR	13
2020-05-31	Glandore OTR	11
2020-06-01	Glandore OTR	19
2020-06-02	Glandore OTR	14
2020-06-03	Glandore OTR	12
2020-06-04	Glandore OTR	15
2020-06-05	Glandore OTR	24
2020-06-06	Glandore OTR	16
2020-06-07	Glandore OTR	10
2020-06-08	Glandore OTR	17
2020-06-09	Glandore OTR	10
2020-06-10	Glandore OTR	11
2020-06-11	Glandore OTR	18
2020-06-12	Glandore OTR	27
2020-06-13	Glandore OTR	27
2020-06-14	Glandore OTR	26
2020-06-15	Glandore OTR	14
2020-06-16	Glandore OTR	21
2020-06-17	Glandore OTR	17
2020-06-18	Glandore OTR	10
2020-06-19	Glandore OTR	18
2020-06-20	Glandore OTR	16
2020-06-21	Glandore OTR	2
2020-06-22	Glandore OTR	14
2020-06-23	Glandore OTR	15
2020-06-24	Glandore OTR	23
2020-06-25	Glandore OTR	19
2020-06-26	Glandore OTR	15
2020-06-27	Glandore OTR	20
2020-06-28	Glandore OTR	9
2020-06-29	Glandore OTR	13
2020-06-30	Glandore OTR	15
2020-07-01	Glandore OTR	9
2020-07-02	Glandore OTR	15
2020-07-03	Glandore OTR	8
2020-07-04	Glandore OTR	20
2020-07-05	Glandore OTR	18
2020-07-06	Glandore OTR	11
2020-07-07	Glandore OTR	20
2020-07-08	Glandore OTR	49
2020-07-09	Glandore OTR	9
2020-07-10	Glandore OTR	21
2020-07-11	Glandore OTR	20
2020-07-12	Glandore OTR	19
2020-07-13	Glandore OTR	15
2020-07-14	Glandore OTR	10
2020-07-15	Glandore OTR	13
2020-07-16	Glandore OTR	9
2020-07-17	Glandore OTR	24
2020-07-18	Glandore OTR	21
2020-07-19	Glandore OTR	15
2020-07-20	Glandore OTR	11
2020-07-21	Glandore OTR	12
2020-07-22	Glandore OTR	16
2020-07-23	Glandore OTR	9
2020-07-24	Glandore OTR	15
2020-07-25	Glandore OTR	15
2020-07-26	Glandore OTR	21
