Date	Polygon	Observed Devices
2019-08-31	Green Acres OTR	3
2019-09-02	Green Acres OTR	4
2019-09-03	Green Acres OTR	2
2019-09-04	Green Acres OTR	1
2019-09-05	Green Acres OTR	3
2019-09-06	Green Acres OTR	4
2019-09-08	Green Acres OTR	3
2019-09-09	Green Acres OTR	4
2019-09-10	Green Acres OTR	6
2019-09-11	Green Acres OTR	15
2019-09-12	Green Acres OTR	50
2019-09-13	Green Acres OTR	33
2019-09-14	Green Acres OTR	31
2019-09-15	Green Acres OTR	33
2019-09-16	Green Acres OTR	24
2019-09-17	Green Acres OTR	21
2019-09-18	Green Acres OTR	17
2019-09-19	Green Acres OTR	27
2019-09-20	Green Acres OTR	27
2019-09-21	Green Acres OTR	24
2019-09-22	Green Acres OTR	20
2019-09-23	Green Acres OTR	15
2019-09-24	Green Acres OTR	14
2019-09-25	Green Acres OTR	17
2019-09-26	Green Acres OTR	16
2019-09-27	Green Acres OTR	18
2019-09-28	Green Acres OTR	26
2019-09-29	Green Acres OTR	36
2019-09-30	Green Acres OTR	29
2019-10-01	Green Acres OTR	19
2019-10-02	Green Acres OTR	26
2019-10-03	Green Acres OTR	29
2019-10-04	Green Acres OTR	21
2019-10-05	Green Acres OTR	20
2019-10-06	Green Acres OTR	12
2019-10-07	Green Acres OTR	31
2019-10-08	Green Acres OTR	16
2019-10-09	Green Acres OTR	23
2019-10-10	Green Acres OTR	19
2019-10-11	Green Acres OTR	14
2019-10-12	Green Acres OTR	13
2019-10-13	Green Acres OTR	16
2019-10-14	Green Acres OTR	10
2019-10-15	Green Acres OTR	7
2019-10-16	Green Acres OTR	19
2019-10-17	Green Acres OTR	13
2019-10-18	Green Acres OTR	13
2019-10-19	Green Acres OTR	15
2019-10-20	Green Acres OTR	17
2019-10-21	Green Acres OTR	19
2019-10-22	Green Acres OTR	12
2019-10-23	Green Acres OTR	21
2019-10-24	Green Acres OTR	6
2019-10-25	Green Acres OTR	19
2019-10-26	Green Acres OTR	20
2019-10-27	Green Acres OTR	17
2019-10-28	Green Acres OTR	10
2019-10-29	Green Acres OTR	11
2019-10-30	Green Acres OTR	9
2019-10-31	Green Acres OTR	24
2019-11-01	Green Acres OTR	17
2019-11-02	Green Acres OTR	19
2019-11-03	Green Acres OTR	15
2019-11-04	Green Acres OTR	13
2019-11-05	Green Acres OTR	9
2019-11-06	Green Acres OTR	18
2019-11-07	Green Acres OTR	18
2019-11-08	Green Acres OTR	8
2019-11-09	Green Acres OTR	16
2019-11-10	Green Acres OTR	12
2019-11-11	Green Acres OTR	10
2019-11-12	Green Acres OTR	18
2019-11-13	Green Acres OTR	11
2019-11-14	Green Acres OTR	13
2019-11-15	Green Acres OTR	9
2019-11-16	Green Acres OTR	8
2019-11-17	Green Acres OTR	14
2019-11-18	Green Acres OTR	6
2019-11-19	Green Acres OTR	12
2019-11-20	Green Acres OTR	5
2019-11-21	Green Acres OTR	11
2019-11-22	Green Acres OTR	12
2019-11-23	Green Acres OTR	14
2019-11-24	Green Acres OTR	15
2019-11-25	Green Acres OTR	7
2019-11-26	Green Acres OTR	16
2019-11-27	Green Acres OTR	13
2019-11-28	Green Acres OTR	17
2019-11-29	Green Acres OTR	10
2019-11-30	Green Acres OTR	9
2019-12-01	Green Acres OTR	12
2019-12-02	Green Acres OTR	16
2019-12-03	Green Acres OTR	14
2019-12-04	Green Acres OTR	15
2019-12-05	Green Acres OTR	14
2019-12-06	Green Acres OTR	15
