Location	Bucket	Type	Visitor Count	Percentage
OTR Prospect	Total visitors with CEL	CEL Distance	1468	
OTR Prospect	Median distance traveled from CEL	CEL Distance	4.022723607504075	
OTR Prospect	Lives within 1 mile of location	CEL Distance	271	18.46%
OTR Prospect	Lives between 1 and 2 miles	CEL Distance	182	12.40%
OTR Prospect	Lives between 2 and 3 miles	CEL Distance	142	9.67%
OTR Prospect	Lives between 3 and 5 miles	CEL Distance	254	17.30%
OTR Prospect	Lives between 5 and 10 miles	CEL Distance	353	24.05%
OTR Prospect	Lives between 10 and 25 miles	CEL Distance	194	13.22%
OTR Prospect	Lives between 25 and 50 miles	CEL Distance	25	1.70%
OTR Prospect	Lives between 50 and 100 miles	CEL Distance	14	0.95%
OTR Prospect	Lives >100 miles away	CEL Distance	33	2.25%
OTR Prospect	Total visitors with CDL	CDL Distance	1456	
OTR Prospect	Median distance traveled from CDL	CDL Distance	3.6895022677487956	
OTR Prospect	Works within 1 mile of location	CDL Distance	227	15.59%
OTR Prospect	Works between 1 and 2 miles	CDL Distance	175	12.02%
OTR Prospect	Works between 2 and 3 miles	CDL Distance	200	13.74%
OTR Prospect	Works between 3 and 5 miles	CDL Distance	306	21.02%
OTR Prospect	Works between 5 and 10 miles	CDL Distance	310	21.29%
OTR Prospect	Works between 10 and 25 miles	CDL Distance	164	11.26%
OTR Prospect	Works between 25 and 50 miles	CDL Distance	22	1.51%
OTR Prospect	Works between 50 and 100 miles	CDL Distance	17	1.17%
OTR Prospect	Works >100 miles away	CDL Distance	35	2.40%
OTR Prospect	5082	Top CEL Zip Code	285	19.41%
OTR Prospect	5084	Top CEL Zip Code	53	3.61%
OTR Prospect	5085	Top CEL Zip Code	50	3.41%
OTR Prospect	5108	Top CEL Zip Code	43	2.93%
OTR Prospect	5083	Top CEL Zip Code	40	2.72%
OTR Prospect	5008	Top CEL Zip Code	30	2.04%
OTR Prospect	5086	Top CEL Zip Code	29	1.98%
OTR Prospect	5095	Top CEL Zip Code	28	1.91%
OTR Prospect	5081	Top CEL Zip Code	25	1.70%
OTR Prospect	5006	Top CEL Zip Code	24	1.63%
OTR Prospect	5114	Top CEL Zip Code	23	1.57%
OTR Prospect	5012	Top CEL Zip Code	21	1.43%
OTR Prospect	5023	Top CEL Zip Code	20	1.36%
OTR Prospect	5074	Top CEL Zip Code	19	1.29%
OTR Prospect	5109	Top CEL Zip Code	19	1.29%
OTR Prospect	5000	Top CEL Zip Code	18	1.23%
OTR Prospect	5032	Top CEL Zip Code	18	1.23%
OTR Prospect	5024	Top CEL Zip Code	17	1.16%
OTR Prospect	5038	Top CEL Zip Code	17	1.16%
OTR Prospect	5159	Top CEL Zip Code	17	1.16%
OTR Prospect	5082	Top CDL Zip Code	238	16.35%
OTR Prospect	5000	Top CDL Zip Code	85	5.84%
OTR Prospect	5084	Top CDL Zip Code	52	3.57%
OTR Prospect	5085	Top CDL Zip Code	42	2.88%
OTR Prospect	5108	Top CDL Zip Code	34	2.34%
OTR Prospect	5008	Top CDL Zip Code	30	2.06%
OTR Prospect	5083	Top CDL Zip Code	30	2.06%
OTR Prospect	5006	Top CDL Zip Code	29	1.99%
OTR Prospect	5095	Top CDL Zip Code	28	1.92%
OTR Prospect	5012	Top CDL Zip Code	23	1.58%
OTR Prospect	5086	Top CDL Zip Code	23	1.58%
OTR Prospect	5023	Top CDL Zip Code	21	1.44%
OTR Prospect	5007	Top CDL Zip Code	20	1.37%
OTR Prospect	5114	Top CDL Zip Code	20	1.37%
OTR Prospect	5013	Top CDL Zip Code	18	1.24%
OTR Prospect	5031	Top CDL Zip Code	18	1.24%
OTR Prospect	5065	Top CDL Zip Code	18	1.24%
OTR Prospect	5010	Top CDL Zip Code	17	1.17%
