Location	Bucket	Type	Visitor Count	Percentage
OTR Seaton	Total visitors with CEL	CEL Distance	1303	
OTR Seaton	Median distance traveled from CEL	CEL Distance	3.656209517486443	
OTR Seaton	Lives within 1 mile of location	CEL Distance	247	18.96%
OTR Seaton	Lives between 1 and 2 miles	CEL Distance	218	16.73%
OTR Seaton	Lives between 2 and 3 miles	CEL Distance	130	9.98%
OTR Seaton	Lives between 3 and 5 miles	CEL Distance	140	10.74%
OTR Seaton	Lives between 5 and 10 miles	CEL Distance	205	15.73%
OTR Seaton	Lives between 10 and 25 miles	CEL Distance	259	19.88%
OTR Seaton	Lives between 25 and 50 miles	CEL Distance	31	2.38%
OTR Seaton	Lives between 50 and 100 miles	CEL Distance	10	0.77%
OTR Seaton	Lives >100 miles away	CEL Distance	63	4.83%
OTR Seaton	Total visitors with CDL	CDL Distance	1283	
OTR Seaton	Median distance traveled from CDL	CDL Distance	4.322468081437201	
OTR Seaton	Works within 1 mile of location	CDL Distance	195	15.20%
OTR Seaton	Works between 1 and 2 miles	CDL Distance	208	16.21%
OTR Seaton	Works between 2 and 3 miles	CDL Distance	125	9.74%
OTR Seaton	Works between 3 and 5 miles	CDL Distance	169	13.17%
OTR Seaton	Works between 5 and 10 miles	CDL Distance	271	21.12%
OTR Seaton	Works between 10 and 25 miles	CDL Distance	223	17.38%
OTR Seaton	Works between 25 and 50 miles	CDL Distance	25	1.95%
OTR Seaton	Works between 50 and 100 miles	CDL Distance	10	0.78%
OTR Seaton	Works >100 miles away	CDL Distance	57	4.44%
OTR Seaton	5023	Top CEL Zip Code	199	15.27%
OTR Seaton	5022	Top CEL Zip Code	117	8.98%
OTR Seaton	5024	Top CEL Zip Code	75	5.76%
OTR Seaton	5014	Top CEL Zip Code	52	3.99%
OTR Seaton	5025	Top CEL Zip Code	46	3.53%
OTR Seaton	5011	Top CEL Zip Code	37	2.84%
OTR Seaton	5108	Top CEL Zip Code	32	2.46%
OTR Seaton	5032	Top CEL Zip Code	31	2.38%
OTR Seaton	5013	Top CEL Zip Code	26	2.00%
OTR Seaton	5158	Top CEL Zip Code	23	1.77%
OTR Seaton	5159	Top CEL Zip Code	20	1.53%
OTR Seaton	5162	Top CEL Zip Code	17	1.30%
OTR Seaton	5043	Top CEL Zip Code	16	1.23%
OTR Seaton	5019	Top CEL Zip Code	15	1.15%
OTR Seaton	5045	Top CEL Zip Code	15	1.15%
OTR Seaton	5008	Top CEL Zip Code	14	1.07%
OTR Seaton	5016	Top CEL Zip Code	14	1.07%
OTR Seaton	5095	Top CEL Zip Code	14	1.07%
OTR Seaton	5114	Top CEL Zip Code	14	1.07%
OTR Seaton	5009	Top CEL Zip Code	12	0.92%
OTR Seaton	5023	Top CDL Zip Code	175	13.64%
OTR Seaton	5022	Top CDL Zip Code	101	7.87%
OTR Seaton	5024	Top CDL Zip Code	56	4.36%
OTR Seaton	5014	Top CDL Zip Code	54	4.21%
OTR Seaton	5000	Top CDL Zip Code	38	2.96%
OTR Seaton	5011	Top CDL Zip Code	36	2.81%
OTR Seaton	5013	Top CDL Zip Code	36	2.81%
OTR Seaton	5025	Top CDL Zip Code	33	2.57%
OTR Seaton	5032	Top CDL Zip Code	26	2.03%
OTR Seaton	5108	Top CDL Zip Code	22	1.71%
OTR Seaton	5095	Top CDL Zip Code	21	1.64%
OTR Seaton	5158	Top CDL Zip Code	18	1.40%
OTR Seaton	5009	Top CDL Zip Code	17	1.33%
OTR Seaton	5012	Top CDL Zip Code	17	1.33%
OTR Seaton	5016	Top CDL Zip Code	17	1.33%
OTR Seaton	5017	Top CDL Zip Code	15	1.17%
OTR Seaton	5021	Top CDL Zip Code	15	1.17%
OTR Seaton	5033	Top CDL Zip Code	15	1.17%
OTR Seaton	5037	Top CDL Zip Code	15	1.17%
OTR Seaton	5162	Top CDL Zip Code	14	1.09%
OTR Seaton	40401109521	Top CEL Census Block Group	18	1.38%
OTR Seaton	40401109525	Top CEL Census Block Group	17	1.30%
OTR Seaton	40401109520	Top CEL Census Block Group	14	1.07%
OTR Seaton	40401109537	Top CEL Census Block Group	14	1.07%
OTR Seaton	40401109519	Top CEL Census Block Group	12	0.92%
OTR Seaton	40401109516	Top CEL Census Block Group	11	0.84%
OTR Seaton	40401109524	Top CEL Census Block Group	11	0.84%
OTR Seaton	40401109209	Top CEL Census Block Group	10	0.77%
OTR Seaton	40401109502	Top CEL Census Block Group	9	0.69%
OTR Seaton	40401109522	Top CEL Census Block Group	9	0.69%
OTR Seaton	40401109129	Top CEL Census Block Group	8	0.61%
OTR Seaton	40401109106	Top CEL Census Block Group	7	0.54%
OTR Seaton	40401109221	Top CEL Census Block Group	7	0.54%
OTR Seaton	40401109511	Top CEL Census Block Group	7	0.54%
OTR Seaton	40401109523	Top CEL Census Block Group	7	0.54%
OTR Seaton	40401109016	Top CEL Census Block Group	6	0.46%
OTR Seaton	40401109019	Top CEL Census Block Group	6	0.46%
OTR Seaton	40401109101	Top CEL Census Block Group	6	0.46%
OTR Seaton	40401109126	Top CEL Census Block Group	6	0.46%
OTR Seaton	40401109406	Top CEL Census Block Group	6	0.46%
OTR Seaton	40401109520	Top CDL Census Block Group	15	1.17%
OTR Seaton	40401109537	Top CDL Census Block Group	13	1.01%
OTR Seaton	40401109521	Top CDL Census Block Group	12	0.94%
OTR Seaton	40101100141	Top CDL Census Block Group	9	0.70%
OTR Seaton	40101100147	Top CDL Census Block Group	9	0.70%
OTR Seaton	40204117207	Top CDL Census Block Group	9	0.70%
OTR Seaton	40401109209	Top CDL Census Block Group	9	0.70%
OTR Seaton	40401109516	Top CDL Census Block Group	9	0.70%
OTR Seaton	40401109519	Top CDL Census Block Group	9	0.70%
OTR Seaton	40401109524	Top CDL Census Block Group	8	0.62%
