Location	Bucket	Type	Visitor Count	Percentage
OTR Seaton	Total visitors with CEL	CEL Distance	1303	
OTR Seaton	Median distance traveled from CEL	CEL Distance	3.656209517486443	
OTR Seaton	Lives within 1 mile of location	CEL Distance	247	18.96%
OTR Seaton	Lives between 1 and 2 miles	CEL Distance	218	16.73%
OTR Seaton	Lives between 2 and 3 miles	CEL Distance	130	9.98%
OTR Seaton	Lives between 3 and 5 miles	CEL Distance	140	10.74%
OTR Seaton	Lives between 5 and 10 miles	CEL Distance	205	15.73%
OTR Seaton	Lives between 10 and 25 miles	CEL Distance	259	19.88%
OTR Seaton	Lives between 25 and 50 miles	CEL Distance	31	2.38%
OTR Seaton	Lives between 50 and 100 miles	CEL Distance	10	0.77%
OTR Seaton	Lives >100 miles away	CEL Distance	63	4.83%
OTR Seaton	Total visitors with CDL	CDL Distance	1283	
OTR Seaton	Median distance traveled from CDL	CDL Distance	4.322468081437201	
OTR Seaton	Works within 1 mile of location	CDL Distance	195	15.20%
OTR Seaton	Works between 1 and 2 miles	CDL Distance	208	16.21%
OTR Seaton	Works between 2 and 3 miles	CDL Distance	125	9.74%
OTR Seaton	Works between 3 and 5 miles	CDL Distance	169	13.17%
OTR Seaton	Works between 5 and 10 miles	CDL Distance	271	21.12%
OTR Seaton	Works between 10 and 25 miles	CDL Distance	223	17.38%
OTR Seaton	Works between 25 and 50 miles	CDL Distance	25	1.95%
OTR Seaton	Works between 50 and 100 miles	CDL Distance	10	0.78%
OTR Seaton	Works >100 miles away	CDL Distance	57	4.44%
OTR Seaton	5023	Top CEL Postal2	199	15.27%
OTR Seaton	5022	Top CEL Postal2	117	8.98%
OTR Seaton	5024	Top CEL Postal2	75	5.76%
OTR Seaton	5014	Top CEL Postal2	52	3.99%
OTR Seaton	5025	Top CEL Postal2	46	3.53%
OTR Seaton	5011	Top CEL Postal2	37	2.84%
OTR Seaton	5108	Top CEL Postal2	32	2.46%
OTR Seaton	5032	Top CEL Postal2	31	2.38%
OTR Seaton	5013	Top CEL Postal2	26	2.00%
OTR Seaton	5158	Top CEL Postal2	23	1.77%
OTR Seaton	5159	Top CEL Postal2	20	1.53%
OTR Seaton	5162	Top CEL Postal2	17	1.30%
OTR Seaton	5043	Top CEL Postal2	16	1.23%
OTR Seaton	5019	Top CEL Postal2	15	1.15%
OTR Seaton	5045	Top CEL Postal2	15	1.15%
OTR Seaton	5008	Top CEL Postal2	14	1.07%
OTR Seaton	5016	Top CEL Postal2	14	1.07%
OTR Seaton	5095	Top CEL Postal2	14	1.07%
OTR Seaton	5114	Top CEL Postal2	14	1.07%
OTR Seaton	5009	Top CEL Postal2	12	0.92%
OTR Seaton	5023	Top CDL Postal2	175	13.64%
OTR Seaton	5022	Top CDL Postal2	101	7.87%
OTR Seaton	5024	Top CDL Postal2	56	4.36%
OTR Seaton	5014	Top CDL Postal2	54	4.21%
OTR Seaton	5000	Top CDL Postal2	38	2.96%
OTR Seaton	5011	Top CDL Postal2	36	2.81%
OTR Seaton	5013	Top CDL Postal2	36	2.81%
OTR Seaton	5025	Top CDL Postal2	33	2.57%
OTR Seaton	5032	Top CDL Postal2	26	2.03%
OTR Seaton	5108	Top CDL Postal2	22	1.71%
OTR Seaton	5095	Top CDL Postal2	21	1.64%
OTR Seaton	5158	Top CDL Postal2	18	1.40%
OTR Seaton	5009	Top CDL Postal2	17	1.33%
OTR Seaton	5012	Top CDL Postal2	17	1.33%
OTR Seaton	5016	Top CDL Postal2	17	1.33%
OTR Seaton	5017	Top CDL Postal2	15	1.17%
OTR Seaton	5021	Top CDL Postal2	15	1.17%
OTR Seaton	5033	Top CDL Postal2	15	1.17%
OTR Seaton	5037	Top CDL Postal2	15	1.17%
OTR Seaton	5162	Top CDL Postal2	14	1.09%
OTR Seaton	20850	Top CEL Postal1	1	0.08%
OTR Seaton	33071	Top CEL Postal1	1	0.08%
OTR Seaton	98335	Top CEL Postal1	1	0.08%
OTR Seaton	20850	Top CDL Postal1	1	0.08%
OTR Seaton	33071	Top CDL Postal1	1	0.08%
OTR Seaton	98335	Top CDL Postal1	1	0.08%
OTR Seaton	South Australia	Top CEL Province	1260	96.70%
OTR Seaton	New South Wales	Top CEL Province	11	0.84%
OTR Seaton	Victoria	Top CEL Province	10	0.77%
OTR Seaton	Queensland	Top CEL Province	6	0.46%
OTR Seaton	Western Australia	Top CEL Province	6	0.46%
OTR Seaton	Northern Territory	Top CEL Province	2	0.15%
OTR Seaton	Dubai Sector IX	Top CEL Province	1	0.08%
OTR Seaton	FL	Top CEL Province	1	0.08%
OTR Seaton	MD	Top CEL Province	1	0.08%
OTR Seaton	Tasmania	Top CEL Province	1	0.08%
OTR Seaton	WA	Top CEL Province	1	0.08%
OTR Seaton	South Australia	Top CDL Province	1245	97.04%
OTR Seaton	Victoria	Top CDL Province	10	0.78%
OTR Seaton	New South Wales	Top CDL Province	9	0.70%
OTR Seaton	Queensland	Top CDL Province	7	0.55%
OTR Seaton	Western Australia	Top CDL Province	4	0.31%
OTR Seaton	Northern Territory	Top CDL Province	2	0.16%
OTR Seaton	FL	Top CDL Province	1	0.08%
OTR Seaton	MD	Top CDL Province	1	0.08%
OTR Seaton	Tasmania	Top CDL Province	1	0.08%
OTR Seaton	WA	Top CDL Province	1	0.08%
OTR Seaton	Seaton - Grange	Top CEL Admin	224	17.19%
OTR Seaton	Henley Beach	Top CEL Admin	101	7.75%
OTR Seaton	Flinders Park	Top CEL Admin	82	6.29%
OTR Seaton	Royal Park - Hendon - Albert Park	Top CEL Admin	34	2.61%
OTR Seaton	Beverley	Top CEL Admin	32	2.46%
OTR Seaton	Lockleys	Top CEL Admin	32	2.46%
OTR Seaton	Port Adelaide	Top CEL Admin	32	2.46%
OTR Seaton	West Lakes	Top CEL Admin	32	2.46%
