Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
OTR Seaton	83cdeb817d4bffac5eeba1716456d09a27e0a532	-34.17162001111425	142.18664245984172	AUS	New South Wales	2739	10902117808	Wentworth A	215.2692112999067	-34.17162101111425	142.1866384598417	AUS	New South Wales	2739	10902117808	Wentworth A	215.2689723385791
OTR Seaton	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.87441928355955	138.51600616011632	AUS	South Australia	5014	40401109408	Charles Sturt C	1.908893550360751	-34.87443628355955	138.51615316006587	AUS	South Australia	5014	40401109408	Charles Sturt C	1.9082552246479787
OTR Seaton	d6cc8b25b710173bfa36bc19d8be93d744df091a	-34.82794775017425	138.63200602338685	AUS	South Australia	5095	40204117210	Salisbury C	8.43363290822308								
OTR Seaton	5bffb715d2dd7dd8327bd952fb07d5cc864e2650	-34.94220901873939	138.50765718296572	AUS	South Australia	5024	40403110907	Charles Sturt C	2.806418644852702	-34.94222201873939	138.50764018303786	AUS	South Australia	5024	40403110907	Charles Sturt C	2.807432808439179
OTR Seaton	9c9ce0d5a1fe6a43943313be8ac0c4a886f63606	-34.84240785667966	138.5333068808269	AUS	South Australia	5013	40402110122	Port Adelaide Enfield C	4.2638448546277825	-34.93224185667965	138.5670639113245	AUS	South Australia	5033	40403110817	West Torrens C	3.670392476863109
OTR Seaton	865ee560782ba341151e734ddc0db6d12cc8812b	-35.022088930304704	138.5194880753873	AUS	South Australia	5048	40301105616	Holdfast Bay C	8.315181465329179	-35.0220929303047	138.51948207536967	AUS	South Australia	5048	40301105616	Holdfast Bay C	8.315445048106469
OTR Seaton	92401ca53183d566686663f7e002c18cea5b3b17	-35.019843132259226	138.55262248283196	AUS	South Australia	5047	40302106110	Marion C	8.443840897426645	-35.01984713225922	138.55262748283542	AUS	South Australia	5047	40302106110	Marion C	8.44418171123197
OTR Seaton	abe867bf0e42ccdec563e06db556b949f4257323	-34.74674787908891	138.6063382929501	AUS	South Australia	5110	40204104849	Salisbury C	11.950201312190947	-34.74687387908891	138.6062612929521	AUS	South Australia	5110	40204104849	Salisbury C	11.940449341617594
OTR Seaton	40b57289bab8ddee3ad8eff466f67098923bd080	-34.9856900984118	138.54134939837903	AUS	South Australia	5043	40302106214	Marion C	5.996628486460501	-34.9889850984118	138.52693638752774	AUS	South Australia	5044	40302106219	Marion C	6.064440202404778
OTR Seaton	b9f5b4dd8bd484f93581135ae47a8dfb6bf6d01b	-34.773262038874556	138.6174165360845	AUS	South Australia	5108	40204104627	Salisbury C	10.666611696923308	-34.77318403887456	138.61738053632217	AUS	South Australia	5108	40204104627	Salisbury C	10.669991317249703
OTR Seaton	d9b1c5ac3609ac79b7bf4349b96cbd57052821d7	-34.87619230233145	138.50631173473667	AUS	South Australia	5014	40401109403	Charles Sturt C	1.834126145834139	-34.87625630233145	138.5062917345348	AUS	South Australia	5014	40401109403	Charles Sturt C	1.830091967666821
OTR Seaton	903b5f2c0201d08149071b64905f4d12217f349e	-34.95693368134302	138.6084463980228	AUS	South Australia	5061	40107102433	Unley C	6.572151174175873	-34.87252968134302	138.60157360007105	AUS	South Australia	5082	40106102107	Prospect C	5.373917671172217
OTR Seaton	11f88b818f3b918e8a6561db3bc5bb97a764f6cd	-34.92878662276238	138.50231623701671	AUS	South Australia	5022	40401109233	Charles Sturt C	1.9687058996124995	-34.92878962276238	138.5023282370279	AUS	South Australia	5022	40401109233	Charles Sturt C	1.968674020093724
OTR Seaton	2f055ba54d355ce9dd18c0fe0cad8593726f8675	-34.845394997865675	138.5075956062798	AUS	South Australia	5015	40402110127	Port Adelaide Enfield C	3.929288342355546	-34.84539399786568	138.50759460628086	AUS	South Australia	5015	40402110127	Port Adelaide Enfield C	3.929362408858621
OTR Seaton	0a2796f660790994252b74d908c39da80eec2dc3	-34.97135706349046	138.5286438565321	AUS	South Australia	5040	40403110711	West Torrens C	4.87209008008693	-34.97135406349046	138.52862485655052	AUS	South Australia	5040	40403110711	West Torrens C	4.87170113381361
OTR Seaton	c100a1344b4785b2c4d358191d7f125022f905a7	-34.920312754210876	138.513943652289	AUS	South Australia	5024	40401109220	Charles Sturt C	1.2692602195984775	-34.920315754210876	138.5139376522918	AUS	South Australia	5024	40401109220	Charles Sturt C	1.269467438375202
OTR Seaton	15064a56e1b347a5cc1067a98099d84c9394ff0f	-34.97309929942715	138.5408312056766	AUS	South Australia	5038	40403110755	West Torrens C	5.151713113928971	-34.97283829942715	138.5406822061252	AUS	South Australia	5038	40403110755	West Torrens C	5.131968562840485
OTR Seaton	b1bb5ee6cfcf11ae695c16dc5a2738fbe1527425	-34.93575210500958	138.49225594004358						2.6405535550004466	-34.94683010500958	138.50301697813254	AUS	South Australia	5024	40403110914	Charles Sturt C	3.1645007935687772
OTR Seaton	25fe36332827e568315fd4c96b2bce84d2bf21a1	-34.85975172387288	138.55838119700599	AUS	South Australia	5010	40402110243	Port Adelaide Enfield C	3.8587276088913223	-34.859736723872885	138.55837419701743	AUS	South Australia	5010	40402110243	Port Adelaide Enfield C	3.8592532857907287
OTR Seaton	18c34b37e8a0d110e7a2ed6f10ed8c9a2933b1ba	-34.93149867839131	138.5387801948726	AUS	South Australia	5032	40403110605	West Torrens C	2.4823066781335967	-34.9314806783913	138.53879219490636	AUS	South Australia	5032	40403110605	West Torrens C	2.481668966483779
OTR Seaton	de8ef92fc4a5697243003638806676831fb81371	-34.890014558135945	138.50007916219914	AUS	South Australia	5022	40401109502	Charles Sturt C	1.1400879857412756	-34.889989558135944	138.50009916224593	AUS	South Australia	5022	40401109502	Charles Sturt C	1.140561870641435
OTR Seaton	c2aee2b6fd0a7bdac83d3d7ebab119d5088d05ab	-34.88892711613798	138.5659538235747	AUS	South Australia	5008	40401109329	Charles Sturt C	3.086636946228698	-34.88891211613797	138.5659608236196	AUS	South Australia	5008	40401109329	Charles Sturt C	3.0873202478488984
OTR Seaton	eae7903a1587fd03979a7fd2e3624fb57f5e7d79	-34.88909539071391	138.52401518317103	AUS	South Australia	5011	40401109009	Charles Sturt C	1.0583755955647214	-34.88909339071391	138.52399618316895	AUS	South Australia	5011	40401109009	Charles Sturt C	1.0579091529753613
