Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
OTR Unley	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.87442628355954	138.51600616009554	AUS	South Australia	5014	40401109408	Charles Sturt C	6.7302439828263525	-34.87443628355955	138.51615316006587	AUS	South Australia	5014	40401109408	Charles Sturt C	6.7238427596770585
OTR Unley	e36f6f68a42714660bf71c3f6a0a9e3e63839699	-34.80245400760451	138.60718666453	AUS	South Australia	5095	40204117125	Salisbury C	9.729729768562779	-34.80247000760451	138.60720466449752	AUS	South Australia	5095	40204117125	Salisbury C	9.728665762515783
OTR Unley	9dd7652f9cbdc4a4baf3fc312a35a0ae584964c5	-34.95715201002044	138.60268680135502	AUS	South Australia	5061	40107102305	Unley C	0.9892331592364585								
OTR Unley	d137258bb4f417c6d8a2d2baefc2d7b2dc25fa39	-34.92041696762694	138.53147875093362	AUS	South Australia	5032	40403110626	West Torrens C	4.197425796169225	-34.92041396762694	138.53147075093074	AUS	South Australia	5032	40403110626	West Torrens C	4.19792417066925
OTR Unley	5d17890541f7e9a03919f79f57ca8ae6ef85f683	-34.957290277336305	138.59077594035998	AUS	South Australia	5034	40107102309	Unley C	1.1231562247294635	-34.957591277336306	138.590998940121	AUS	South Australia	5034	40107102309	Unley C	1.1356731599317194
OTR Unley	eea37bfe338caa9a119557c96d32eadf61a6cf72	-34.524508764435865	138.74071973930037	AUS	South Australia	5371	40201102502	Light RegC	30.029452170909966	-34.524513764435866	138.74072573930067	AUS	South Australia	5371	40201102502	Light RegC	30.029209456653074
OTR Unley	32e2d44f37e1b2a5e55eafbf4b5e47944a1d5847	-34.95160671490417	138.61544922381515	AUS	South Australia	5061	40107102413	Unley C	1.0507045597936053	-34.95162171490417	138.61545222380093	AUS	South Australia	5061	40107102413	Unley C	1.0514328664389287
OTR Unley	9fd63ae79e18c040f7bdf0efa7806e103d3cfce7	-34.666425849829814	138.66547739051217	AUS	South Australia	5114	40202102902	Playford C	19.486924618479993	-34.66643184982981	138.66547539048662	AUS	South Australia	5114	40202102902	Playford C	19.48649553537429
OTR Unley	795fc2fd27c06af11fd7135cadccd3270ee5b344	-35.27111448007699	138.46455411038227	AUS	South Australia	5173	40304107219	Onkaparinga C	23.958463796426493	-35.27113448007699	138.464562110384	AUS	South Australia	5173	40304107219	Onkaparinga C	23.95962901304515
OTR Unley	ea34b2f6584ed088832c7eb785c9feea37332591	-34.94535621946437	138.61159802857338	AUS	South Australia	5063	40107102452	Unley C	0.6676118081709893	-34.97037521946437	138.517085066137	AUS	South Australia	5045	40301105747	Holdfast Bay C	5.0771215568001375
