Location	Bucket	Type	Visitor Count	Percentage
OTR Unley	Total visitors with CEL	CEL Distance	1979	
OTR Unley	Median distance traveled from CEL	CEL Distance	3.6088422448464224	
OTR Unley	Lives within 1 mile of location	CEL Distance	284	14.35%
OTR Unley	Lives between 1 and 2 miles	CEL Distance	298	15.06%
OTR Unley	Lives between 2 and 3 miles	CEL Distance	271	13.69%
OTR Unley	Lives between 3 and 5 miles	CEL Distance	340	17.18%
OTR Unley	Lives between 5 and 10 miles	CEL Distance	394	19.91%
OTR Unley	Lives between 10 and 25 miles	CEL Distance	249	12.58%
OTR Unley	Lives between 25 and 50 miles	CEL Distance	36	1.82%
OTR Unley	Lives between 50 and 100 miles	CEL Distance	11	0.56%
OTR Unley	Lives >100 miles away	CEL Distance	96	4.85%
OTR Unley	Total visitors with CDL	CDL Distance	1931	
OTR Unley	Median distance traveled from CDL	CDL Distance	3.2197767101586603	
OTR Unley	Works within 1 mile of location	CDL Distance	285	14.76%
OTR Unley	Works between 1 and 2 miles	CDL Distance	379	19.63%
OTR Unley	Works between 2 and 3 miles	CDL Distance	247	12.79%
OTR Unley	Works between 3 and 5 miles	CDL Distance	303	15.69%
OTR Unley	Works between 5 and 10 miles	CDL Distance	363	18.80%
OTR Unley	Works between 10 and 25 miles	CDL Distance	207	10.72%
OTR Unley	Works between 25 and 50 miles	CDL Distance	30	1.55%
OTR Unley	Works between 50 and 100 miles	CDL Distance	12	0.62%
OTR Unley	Works >100 miles away	CDL Distance	105	5.44%
OTR Unley	5061	Top CEL Zip Code	236	11.93%
OTR Unley	5034	Top CEL Zip Code	136	6.87%
OTR Unley	5062	Top CEL Zip Code	117	5.91%
OTR Unley	5041	Top CEL Zip Code	91	4.60%
OTR Unley	5063	Top CEL Zip Code	76	3.84%
OTR Unley	5000	Top CEL Zip Code	54	2.73%
OTR Unley	5064	Top CEL Zip Code	47	2.37%
OTR Unley	5159	Top CEL Zip Code	41	2.07%
OTR Unley	5038	Top CEL Zip Code	35	1.77%
OTR Unley	5066	Top CEL Zip Code	33	1.67%
OTR Unley	5045	Top CEL Zip Code	31	1.57%
OTR Unley	5065	Top CEL Zip Code	28	1.41%
OTR Unley	5051	Top CEL Zip Code	26	1.31%
OTR Unley	5067	Top CEL Zip Code	23	1.16%
OTR Unley	5068	Top CEL Zip Code	22	1.11%
OTR Unley	5158	Top CEL Zip Code	22	1.11%
OTR Unley	5035	Top CEL Zip Code	21	1.06%
OTR Unley	5037	Top CEL Zip Code	21	1.06%
OTR Unley	5162	Top CEL Zip Code	20	1.01%
OTR Unley	5023	Top CEL Zip Code	19	0.96%
OTR Unley	5000	Top CDL Zip Code	197	10.20%
OTR Unley	5061	Top CDL Zip Code	189	9.79%
OTR Unley	5034	Top CDL Zip Code	119	6.16%
OTR Unley	5062	Top CDL Zip Code	89	4.61%
OTR Unley	5063	Top CDL Zip Code	73	3.78%
OTR Unley	5041	Top CDL Zip Code	64	3.31%
OTR Unley	5064	Top CDL Zip Code	47	2.43%
OTR Unley	5067	Top CDL Zip Code	35	1.81%
OTR Unley	5159	Top CDL Zip Code	30	1.55%
OTR Unley	5038	Top CDL Zip Code	29	1.50%
OTR Unley	5065	Top CDL Zip Code	28	1.45%
OTR Unley	5066	Top CDL Zip Code	27	1.40%
OTR Unley	5035	Top CDL Zip Code	22	1.14%
OTR Unley	5007	Top CDL Zip Code	20	1.04%
OTR Unley	5045	Top CDL Zip Code	20	1.04%
OTR Unley	5037	Top CDL Zip Code	19	0.98%
OTR Unley	5068	Top CDL Zip Code	18	0.93%
OTR Unley	5031	Top CDL Zip Code	17	0.88%
OTR Unley	5042	Top CDL Zip Code	17	0.88%
OTR Unley	5070	Top CDL Zip Code	17	0.88%
OTR Unley	40107102310	Top CEL Census Block Group	22	1.11%
OTR Unley	40107102325	Top CEL Census Block Group	20	1.01%
OTR Unley	40107102406	Top CEL Census Block Group	20	1.01%
OTR Unley	40107102303	Top CEL Census Block Group	19	0.96%
OTR Unley	40107102429	Top CEL Census Block Group	19	0.96%
OTR Unley	40107102407	Top CEL Census Block Group	18	0.91%
OTR Unley	40107102304	Top CEL Census Block Group	15	0.76%
OTR Unley	40107102305	Top CEL Census Block Group	15	0.76%
OTR Unley	40107102401	Top CEL Census Block Group	15	0.76%
OTR Unley	40107102324	Top CEL Census Block Group	14	0.71%
OTR Unley	40107102408	Top CEL Census Block Group	12	0.61%
OTR Unley	40303106830	Top CEL Census Block Group	12	0.61%
OTR Unley	40107102302	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102309	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102326	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102413	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102341	Top CEL Census Block Group	10	0.51%
OTR Unley	40107102434	Top CEL Census Block Group	10	0.51%
OTR Unley	40107102436	Top CEL Census Block Group	10	0.51%
OTR Unley	40107102301	Top CEL Census Block Group	9	0.45%
OTR Unley	40101100141	Top CDL Census Block Group	48	2.49%
OTR Unley	40101100147	Top CDL Census Block Group	29	1.50%
OTR Unley	40107102429	Top CDL Census Block Group	28	1.45%
OTR Unley	40107102324	Top CDL Census Block Group	17	0.88%
OTR Unley	40107102305	Top CDL Census Block Group	15	0.78%
OTR Unley	40107102310	Top CDL Census Block Group	15	0.78%
OTR Unley	40107102304	Top CDL Census Block Group	14	0.73%
OTR Unley	40107102406	Top CDL Census Block Group	14	0.73%
OTR Unley	40107102407	Top CDL Census Block Group	14	0.73%
OTR Unley	40107102325	Top CDL Census Block Group	12	0.62%
OTR Unley	40103101207	Top CDL Census Block Group	11	0.57%
OTR Unley	40107102303	Top CDL Census Block Group	11	0.57%
OTR Unley	40107102315	Top CDL Census Block Group	11	0.57%
OTR Unley	40107102401	Top CDL Census Block Group	11	0.57%
OTR Unley	40101100134	Top CDL Census Block Group	10	0.52%
OTR Unley	40101100113	Top CDL Census Block Group	9	0.47%
OTR Unley	40101100148	Top CDL Census Block Group	9	0.47%
OTR Unley	40107102341	Top CDL Census Block Group	9	0.47%
OTR Unley	40107102453	Top CDL Census Block Group	9	0.47%
OTR Unley	40303106830	Top CDL Census Block Group	9	0.47%
OTR Unley	Unley C	Top CEL Metro	472	23.85%
OTR Unley	Mitcham C	Top CEL Metro	282	14.25%
OTR Unley	Burnside C	Top CEL Metro	127	6.42%
OTR Unley	Onkaparinga C	Top CEL Metro	120	6.06%
OTR Unley	Charles Sturt C	Top CEL Metro	96	4.85%
OTR Unley	Marion C	Top CEL Metro	96	4.85%
OTR Unley	West Torrens C	Top CEL Metro	91	4.60%
OTR Unley	Port Adelaide Enfield C	Top CEL Metro	80	4.04%
OTR Unley	Adelaide C	Top CEL Metro	64	3.23%
OTR Unley	Salisbury C	Top CEL Metro	52	2.63%
OTR Unley	Tea Tree Gully C	Top CEL Metro	52	2.63%
OTR Unley	Holdfast Bay C	Top CEL Metro	49	2.48%
OTR Unley	Playford C	Top CEL Metro	49	2.48%
OTR Unley	Norwood Payneham St Peters C	Top CEL Metro	46	2.32%
OTR Unley	Adelaide Hills DC	Top CEL Metro	44	2.22%
OTR Unley	Campbelltown C SA	Top CEL Metro	42	2.12%
OTR Unley	Mount Barker DC	Top CEL Metro	31	1.57%
OTR Unley	Prospect C	Top CEL Metro	26	1.31%
OTR Unley	Walkerville M	Top CEL Metro	15	0.76%
OTR Unley	Murray Bridge RC	Top CEL Metro	8	0.40%
OTR Unley	Unley C	Top CDL Metro	400	20.71%
OTR Unley	Adelaide C	Top CDL Metro	212	10.98%
OTR Unley	Mitcham C	Top CDL Metro	208	10.77%
OTR Unley	Burnside C	Top CDL Metro	118	6.11%
OTR Unley	Charles Sturt C	Top CDL Metro	103	5.33%
OTR Unley	West Torrens C	Top CDL Metro	103	5.33%
OTR Unley	Port Adelaide Enfield C	Top CDL Metro	97	5.02%
OTR Unley	Onkaparinga C	Top CDL Metro	94	4.87%
OTR Unley	Marion C	Top CDL Metro	77	3.99%
OTR Unley	Salisbury C	Top CDL Metro	65	3.37%
OTR Unley	Norwood Payneham St Peters C	Top CDL Metro	61	3.16%
OTR Unley	Playford C	Top CDL Metro	40	2.07%
OTR Unley	Tea Tree Gully C	Top CDL Metro	40	2.07%
OTR Unley	Campbelltown C SA	Top CDL Metro	38	1.97%
OTR Unley	Holdfast Bay C	Top CDL Metro	37	1.92%
OTR Unley	Adelaide Hills DC	Top CDL Metro	35	1.81%
OTR Unley	Prospect C	Top CDL Metro	20	1.04%
OTR Unley	Mount Barker DC	Top CDL Metro	19	0.98%
OTR Unley	Walkerville M	Top CDL Metro	13	0.67%
OTR Unley	Alexandrina DC	Top CDL Metro	8	0.41%
OTR Unley	South Australia	Top CEL State	1909	96.46%
OTR Unley	Victoria	Top CEL State	27	1.36%
OTR Unley	New South Wales	Top CEL State	19	0.96%
OTR Unley	Queensland	Top CEL State	12	0.61%
OTR Unley	Northern Territory	Top CEL State	2	0.10%
OTR Unley	Alberta	Top CEL State	1	0.05%
OTR Unley	Australian Capital Territory	Top CEL State	1	0.05%
OTR Unley	Ontario	Top CEL State	1	0.05%
OTR Unley	TX	Top CEL State	1	0.05%
OTR Unley	Western Australia	Top CEL State	1	0.05%
OTR Unley	South Australia	Top CDL State	1858	96.22%
OTR Unley	Victoria	Top CDL State	26	1.35%
OTR Unley	New South Wales	Top CDL State	18	0.93%
OTR Unley	Queensland	Top CDL State	15	0.78%
OTR Unley	Australian Capital Territory	Top CDL State	2	0.10%
OTR Unley	Northern Territory	Top CDL State	2	0.10%
OTR Unley	Alberta	Top CDL State	1	0.05%
OTR Unley	Ontario	Top CDL State	1	0.05%
OTR Unley	TX	Top CDL State	1	0.05%
OTR Unley	Western Australia	Top CDL State	1	0.05%
OTR Unley	AUS	Top CEL Country	1971	99.60%
OTR Unley	CAN	Top CEL Country	2	0.10%
OTR Unley	GBR	Top CEL Country	1	0.05%
OTR Unley	HKG	Top CEL Country	1	0.05%
OTR Unley	IRL	Top CEL Country	1	0.05%
OTR Unley	IRN	Top CEL Country	1	0.05%
OTR Unley	KOR	Top CEL Country	1	0.05%
OTR Unley	USA	Top CEL Country	1	0.05%
OTR Unley	AUS	Top CDL Country	1922	99.53%
OTR Unley	CAN	Top CDL Country	2	0.10%
OTR Unley	COL	Top CDL Country	1	0.05%
OTR Unley	GBR	Top CDL Country	1	0.05%
OTR Unley	HKG	Top CDL Country	1	0.05%
OTR Unley	IRL	Top CDL Country	1	0.05%
OTR Unley	IRN	Top CDL Country	1	0.05%
OTR Unley	KOR	Top CDL Country	1	0.05%
OTR Unley	USA	Top CDL Country	1	0.05%
