Location	Bucket	Type	Visitor Count	Percentage
OTR Unley	Total visitors with CEL	CEL Distance	1979	
OTR Unley	Median distance traveled from CEL	CEL Distance	3.6088422448464224	
OTR Unley	Lives within 1 mile of location	CEL Distance	284	14.35%
OTR Unley	Lives between 1 and 2 miles	CEL Distance	298	15.06%
OTR Unley	Lives between 2 and 3 miles	CEL Distance	271	13.69%
OTR Unley	Lives between 3 and 5 miles	CEL Distance	340	17.18%
OTR Unley	Lives between 5 and 10 miles	CEL Distance	394	19.91%
OTR Unley	Lives between 10 and 25 miles	CEL Distance	249	12.58%
OTR Unley	Lives between 25 and 50 miles	CEL Distance	36	1.82%
OTR Unley	Lives between 50 and 100 miles	CEL Distance	11	0.56%
OTR Unley	Lives >100 miles away	CEL Distance	96	4.85%
OTR Unley	Total visitors with CDL	CDL Distance	1931	
OTR Unley	Median distance traveled from CDL	CDL Distance	3.2197767101586603	
OTR Unley	Works within 1 mile of location	CDL Distance	285	14.76%
OTR Unley	Works between 1 and 2 miles	CDL Distance	379	19.63%
OTR Unley	Works between 2 and 3 miles	CDL Distance	247	12.79%
OTR Unley	Works between 3 and 5 miles	CDL Distance	303	15.69%
OTR Unley	Works between 5 and 10 miles	CDL Distance	363	18.80%
OTR Unley	Works between 10 and 25 miles	CDL Distance	207	10.72%
OTR Unley	Works between 25 and 50 miles	CDL Distance	30	1.55%
OTR Unley	Works between 50 and 100 miles	CDL Distance	12	0.62%
OTR Unley	Works >100 miles away	CDL Distance	105	5.44%
OTR Unley	5061	Top CEL Postal2	236	11.93%
OTR Unley	5034	Top CEL Postal2	136	6.87%
OTR Unley	5062	Top CEL Postal2	117	5.91%
OTR Unley	5041	Top CEL Postal2	91	4.60%
OTR Unley	5063	Top CEL Postal2	76	3.84%
OTR Unley	5000	Top CEL Postal2	54	2.73%
OTR Unley	5064	Top CEL Postal2	47	2.37%
OTR Unley	5159	Top CEL Postal2	41	2.07%
OTR Unley	5038	Top CEL Postal2	35	1.77%
OTR Unley	5066	Top CEL Postal2	33	1.67%
OTR Unley	5045	Top CEL Postal2	31	1.57%
OTR Unley	5065	Top CEL Postal2	28	1.41%
OTR Unley	5051	Top CEL Postal2	26	1.31%
OTR Unley	5067	Top CEL Postal2	23	1.16%
OTR Unley	5068	Top CEL Postal2	22	1.11%
OTR Unley	5158	Top CEL Postal2	22	1.11%
OTR Unley	5035	Top CEL Postal2	21	1.06%
OTR Unley	5037	Top CEL Postal2	21	1.06%
OTR Unley	5162	Top CEL Postal2	20	1.01%
OTR Unley	5023	Top CEL Postal2	19	0.96%
OTR Unley	5000	Top CDL Postal2	197	10.20%
OTR Unley	5061	Top CDL Postal2	189	9.79%
OTR Unley	5034	Top CDL Postal2	119	6.16%
OTR Unley	5062	Top CDL Postal2	89	4.61%
OTR Unley	5063	Top CDL Postal2	73	3.78%
OTR Unley	5041	Top CDL Postal2	64	3.31%
OTR Unley	5064	Top CDL Postal2	47	2.43%
OTR Unley	5067	Top CDL Postal2	35	1.81%
OTR Unley	5159	Top CDL Postal2	30	1.55%
OTR Unley	5038	Top CDL Postal2	29	1.50%
OTR Unley	5065	Top CDL Postal2	28	1.45%
OTR Unley	5066	Top CDL Postal2	27	1.40%
OTR Unley	5035	Top CDL Postal2	22	1.14%
OTR Unley	5007	Top CDL Postal2	20	1.04%
OTR Unley	5045	Top CDL Postal2	20	1.04%
OTR Unley	5037	Top CDL Postal2	19	0.98%
OTR Unley	5068	Top CDL Postal2	18	0.93%
OTR Unley	5031	Top CDL Postal2	17	0.88%
OTR Unley	5042	Top CDL Postal2	17	0.88%
OTR Unley	5070	Top CDL Postal2	17	0.88%
OTR Unley	78702	Top CEL Postal1	1	0.05%
OTR Unley	M4X	Top CEL Postal1	1	0.05%
OTR Unley	T5G	Top CEL Postal1	1	0.05%
OTR Unley	78702	Top CDL Postal1	1	0.05%
OTR Unley	M4X	Top CDL Postal1	1	0.05%
OTR Unley	T5G	Top CDL Postal1	1	0.05%
OTR Unley	South Australia	Top CEL Province	1909	96.46%
OTR Unley	Victoria	Top CEL Province	27	1.36%
OTR Unley	New South Wales	Top CEL Province	19	0.96%
OTR Unley	Queensland	Top CEL Province	12	0.61%
OTR Unley	Northern Territory	Top CEL Province	2	0.10%
OTR Unley	Alberta	Top CEL Province	1	0.05%
OTR Unley	Australian Capital Territory	Top CEL Province	1	0.05%
OTR Unley	Isfahan	Top CEL Province	1	0.05%
OTR Unley	Ontario	Top CEL Province	1	0.05%
OTR Unley	TX	Top CEL Province	1	0.05%
OTR Unley	Western Australia	Top CEL Province	1	0.05%
OTR Unley	South Australia	Top CDL Province	1858	96.22%
OTR Unley	Victoria	Top CDL Province	26	1.35%
OTR Unley	New South Wales	Top CDL Province	18	0.93%
OTR Unley	Queensland	Top CDL Province	15	0.78%
OTR Unley	Australian Capital Territory	Top CDL Province	2	0.10%
OTR Unley	Northern Territory	Top CDL Province	2	0.10%
OTR Unley	Alberta	Top CDL Province	1	0.05%
OTR Unley	Isfahan	Top CDL Province	1	0.05%
OTR Unley	Ontario	Top CDL Province	1	0.05%
OTR Unley	TX	Top CDL Province	1	0.05%
OTR Unley	Western Australia	Top CDL Province	1	0.05%
OTR Unley	Unley - Parkside	Top CEL Admin	241	12.18%
OTR Unley	Goodwood - Millswood	Top CEL Admin	233	11.77%
OTR Unley	Mitcham (SA)	Top CEL Admin	125	6.32%
OTR Unley	Colonel Light Gardens	Top CEL Admin	88	4.45%
OTR Unley	Plympton	Top CEL Admin	55	2.78%
OTR Unley	Adelaide	Top CEL Admin	54	2.73%
OTR Unley	Burnside - Wattle Park	Top CEL Admin	46	2.32%
OTR Unley	Toorak Gardens	Top CEL Admin	46	2.32%
OTR Unley	Glenside - Beaumont	Top CEL Admin	35	1.77%
OTR Unley	Glenelg (SA)	Top CEL Admin	33	1.67%
OTR Unley	Aldgate - Stirling	Top CEL Admin	27	1.36%
OTR Unley	Edwardstown	Top CEL Admin	25	1.26%
OTR Unley	Blackwood	Top CEL Admin	22	1.11%
OTR Unley	Enfield - Blair Athol	Top CEL Admin	21	1.06%
OTR Unley	Panorama	Top CEL Admin	21	1.06%
OTR Unley	Hindmarsh - Brompton	Top CEL Admin	19	0.96%
OTR Unley	Mount Barker	Top CEL Admin	19	0.96%
OTR Unley	Lockleys	Top CEL Admin	18	0.91%
OTR Unley	Paradise - Newton	Top CEL Admin	18	0.91%
OTR Unley	St Peters - Marden	Top CEL Admin	18	0.91%
OTR Unley	Unley - Parkside	Top CDL Admin	206	10.67%
OTR Unley	Goodwood - Millswood	Top CDL Admin	197	10.20%
OTR Unley	Adelaide	Top CDL Admin	194	10.05%
OTR Unley	Mitcham (SA)	Top CDL Admin	96	4.97%
OTR Unley	Colonel Light Gardens	Top CDL Admin	62	3.21%
OTR Unley	Plympton	Top CDL Admin	54	2.80%
OTR Unley	Toorak Gardens	Top CDL Admin	45	2.33%
OTR Unley	Burnside - Wattle Park	Top CDL Admin	42	2.18%
OTR Unley	Glenside - Beaumont	Top CDL Admin	32	1.66%
OTR Unley	The Parks	Top CDL Admin	30	1.55%
OTR Unley	Richmond (SA)	Top CDL Admin	28	1.45%
OTR Unley	Hindmarsh - Brompton	Top CDL Admin	27	1.40%
OTR Unley	Norwood (SA)	Top CDL Admin	26	1.35%
OTR Unley	Enfield - Blair Athol	Top CDL Admin	25	1.29%
OTR Unley	Glenelg (SA)	Top CDL Admin	23	1.19%
OTR Unley	Woodville - Cheltenham	Top CDL Admin	23	1.19%
OTR Unley	Edwardstown	Top CDL Admin	22	1.14%
OTR Unley	Aldgate - Stirling	Top CDL Admin	20	1.04%
OTR Unley	St Peters - Marden	Top CDL Admin	20	1.04%
OTR Unley	Rostrevor - Magill	Top CDL Admin	18	0.93%
OTR Unley	Unley C	Top CEL Municipality	472	23.85%
OTR Unley	Mitcham C	Top CEL Municipality	282	14.25%
OTR Unley	Burnside C	Top CEL Municipality	127	6.42%
OTR Unley	Onkaparinga C	Top CEL Municipality	120	6.06%
OTR Unley	Charles Sturt C	Top CEL Municipality	96	4.85%
OTR Unley	Marion C	Top CEL Municipality	96	4.85%
OTR Unley	West Torrens C	Top CEL Municipality	91	4.60%
OTR Unley	Port Adelaide Enfield C	Top CEL Municipality	80	4.04%
OTR Unley	Adelaide C	Top CEL Municipality	64	3.23%
OTR Unley	Salisbury C	Top CEL Municipality	52	2.63%
OTR Unley	Tea Tree Gully C	Top CEL Municipality	52	2.63%
OTR Unley	Holdfast Bay C	Top CEL Municipality	49	2.48%
OTR Unley	Playford C	Top CEL Municipality	49	2.48%
OTR Unley	Norwood Payneham St Peters C	Top CEL Municipality	46	2.32%
OTR Unley	Adelaide Hills DC	Top CEL Municipality	44	2.22%
OTR Unley	Campbelltown C SA	Top CEL Municipality	42	2.12%
OTR Unley	Mount Barker DC	Top CEL Municipality	31	1.57%
OTR Unley	Prospect C	Top CEL Municipality	26	1.31%
OTR Unley	Walkerville M	Top CEL Municipality	15	0.76%
OTR Unley	Murray Bridge RC	Top CEL Municipality	8	0.40%
OTR Unley	Unley C	Top CDL Municipality	400	20.71%
OTR Unley	Adelaide C	Top CDL Municipality	212	10.98%
OTR Unley	Mitcham C	Top CDL Municipality	208	10.77%
OTR Unley	Burnside C	Top CDL Municipality	118	6.11%
OTR Unley	Charles Sturt C	Top CDL Municipality	103	5.33%
OTR Unley	West Torrens C	Top CDL Municipality	103	5.33%
OTR Unley	Port Adelaide Enfield C	Top CDL Municipality	97	5.02%
OTR Unley	Onkaparinga C	Top CDL Municipality	94	4.87%
OTR Unley	Marion C	Top CDL Municipality	77	3.99%
OTR Unley	Salisbury C	Top CDL Municipality	65	3.37%
OTR Unley	Norwood Payneham St Peters C	Top CDL Municipality	61	3.16%
OTR Unley	Playford C	Top CDL Municipality	40	2.07%
OTR Unley	Tea Tree Gully C	Top CDL Municipality	40	2.07%
OTR Unley	Campbelltown C SA	Top CDL Municipality	38	1.97%
OTR Unley	Holdfast Bay C	Top CDL Municipality	37	1.92%
OTR Unley	Adelaide Hills DC	Top CDL Municipality	35	1.81%
OTR Unley	Prospect C	Top CDL Municipality	20	1.04%
OTR Unley	Mount Barker DC	Top CDL Municipality	19	0.98%
OTR Unley	Walkerville M	Top CDL Municipality	13	0.67%
OTR Unley	Alexandrina DC	Top CDL Municipality	8	0.41%
OTR Unley	068005013	Top CEL Micro	1	0.05%
OTR Unley	E01019962	Top CEL Micro	1	0.05%
OTR Unley	Edmonton	Top CEL Micro	1	0.05%
OTR Unley	P13	Top CEL Micro	1	0.05%
OTR Unley	Toronto	Top CEL Micro	1	0.05%
OTR Unley	068005013	Top CDL Micro	1	0.05%
OTR Unley	E01019962	Top CDL Micro	1	0.05%
OTR Unley	Edmonton	Top CDL Micro	1	0.05%
OTR Unley	P13	Top CDL Micro	1	0.05%
OTR Unley	Toronto	Top CDL Micro	1	0.05%
OTR Unley	40107102310	Top CEL Census Block Group	22	1.11%
OTR Unley	40107102325	Top CEL Census Block Group	20	1.01%
OTR Unley	40107102406	Top CEL Census Block Group	20	1.01%
OTR Unley	40107102303	Top CEL Census Block Group	19	0.96%
OTR Unley	40107102429	Top CEL Census Block Group	19	0.96%
OTR Unley	40107102407	Top CEL Census Block Group	18	0.91%
OTR Unley	40107102304	Top CEL Census Block Group	15	0.76%
OTR Unley	40107102305	Top CEL Census Block Group	15	0.76%
OTR Unley	40107102401	Top CEL Census Block Group	15	0.76%
OTR Unley	40107102324	Top CEL Census Block Group	14	0.71%
OTR Unley	40107102408	Top CEL Census Block Group	12	0.61%
OTR Unley	40303106830	Top CEL Census Block Group	12	0.61%
OTR Unley	40107102302	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102309	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102326	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102413	Top CEL Census Block Group	11	0.56%
OTR Unley	40107102341	Top CEL Census Block Group	10	0.51%
OTR Unley	40107102434	Top CEL Census Block Group	10	0.51%
OTR Unley	40107102436	Top CEL Census Block Group	10	0.51%
OTR Unley	40107102301	Top CEL Census Block Group	9	0.45%
OTR Unley	40101100141	Top CDL Census Block Group	48	2.49%
OTR Unley	40101100147	Top CDL Census Block Group	29	1.50%
OTR Unley	40107102429	Top CDL Census Block Group	28	1.45%
OTR Unley	40107102324	Top CDL Census Block Group	17	0.88%
OTR Unley	40107102305	Top CDL Census Block Group	15	0.78%
OTR Unley	40107102310	Top CDL Census Block Group	15	0.78%
OTR Unley	40107102304	Top CDL Census Block Group	14	0.73%
OTR Unley	40107102406	Top CDL Census Block Group	14	0.73%
OTR Unley	40107102407	Top CDL Census Block Group	14	0.73%
OTR Unley	40107102325	Top CDL Census Block Group	12	0.62%
OTR Unley	40103101207	Top CDL Census Block Group	11	0.57%
OTR Unley	40107102303	Top CDL Census Block Group	11	0.57%
OTR Unley	40107102315	Top CDL Census Block Group	11	0.57%
OTR Unley	40107102401	Top CDL Census Block Group	11	0.57%
OTR Unley	40101100134	Top CDL Census Block Group	10	0.52%
