Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
OTR Wayville	b25b1a936e657c82349bb54ba55bbae745540065	-35.003503292956196	138.58133563455885	AUS	South Australia	5042	40303107018	Mitcham C	3.9680408656490758	-35.003520292956196	138.58133863456854	AUS	South Australia	5042	40303107018	Mitcham C	3.969187144137129
OTR Wayville	c559346567d4f547be472526d01c4f98131644b0	-35.034719116431134	138.91405224548808	AUS	South Australia	5252	40102100908	Mount Barker DC	19.354586629934236	-34.931113116431135	138.59664341462766	AUS	South Australia	5000	40101100116	Adelaide C	1.1353771280909797
OTR Wayville	e068ff3db6a2f809627c2aac804a0365ae0796ac	-33.89108472702758	138.38139868771816	AUS	South Australia	5462	40502111903	Wakefield DC	73.97150559781271	-33.832920727027584	138.6110637682818	AUS	South Australia	5453	40502111604	Clare and Gilbert Valleys DC	77.04127390352727
OTR Wayville	4a3c2266ae5bf1c8d4d12cfa9d19624f5f7c019c	-34.991625420626924	138.60281142251085	AUS	South Australia	5062	40303106929	Mitcham C	3.2014235956820274	-34.97784242062692	138.59152042664803	AUS	South Australia	5041	40303106810	Mitcham C	2.165211933243692
OTR Wayville	e3e11a1d3024378a46c21606dee644c0bb72c626	-34.90496379988484	138.60990925354895	AUS	South Australia	5006	40101100205	Adelaide C	3.093471517332876	-34.89669579988484	138.54631724869142	AUS	South Australia	5009	40401109002	Charles Sturt C	4.243845059167479
OTR Wayville	5132f77c185ae10f660ca75b5face9b35e37518f	-34.98386566236531	138.61730342243507	AUS	South Australia	5062	40303106937	Mitcham C	3.0114655983643455	-34.91405066236531	138.57581866126839	AUS	South Australia	5031	40403110802	West Torrens C	2.3867965421346184
OTR Wayville	7db789e5966624494b4e64a936aed382d23dc25d	-34.95141869856415	138.63145632482235	AUS	South Australia	5063	40107102419	Unley C	2.379906204632478	-34.955635698564144	138.5900053246333	AUS	South Australia	5034	40107102309	Unley C	0.627234800192233
OTR Wayville	8437ace968420d3834d64c07d0038ae83085ba3a	-35.13801327148517	138.54465617703357	AUS	South Australia	5163	40304107813	Onkaparinga C	13.487993218639273	-35.13800527148517	138.5446281770586	AUS	South Australia	5163	40304107813	Onkaparinga C	13.48775127760909
OTR Wayville	86dcdaa24f759c1cc22dfc5cee1a5aae13e5f782	-34.9496921469546	138.60199561358925	AUS	South Australia	5061	40107102406	Unley C	0.7190580866953741	-34.9496891469546	138.6020076135901	AUS	South Australia	5061	40107102406	Unley C	0.7196447698330428
OTR Wayville	63eebaf94a78a1194daa770ce70a006cb8e816aa	-35.082393751763206	138.55803839578567	AUS	South Australia	5159	40304108016	Onkaparinga C	9.566963736874182	-35.082385751763205	138.55804539579995	AUS	South Australia	5159	40304108016	Onkaparinga C	9.566345512190853
OTR Wayville	ec0449f98a4eed3ea88e4393a09eaa27c83db4bd	-34.95208866842923	138.57696816967274	AUS	South Australia	5035	40107102337	Unley C	0.8266372594140341	-34.95212366842922	138.5769931697838	AUS	South Australia	5035	40107102337	Unley C	0.8265030881070351
OTR Wayville	5d17890541f7e9a03919f79f57ca8ae6ef85f683	-34.957290277336305	138.59077594035998	AUS	South Australia	5034	40107102309	Unley C	0.7433175118685088	-34.957591277336306	138.590998940121	AUS	South Australia	5034	40107102309	Unley C	0.7650188756344523
OTR Wayville	359743664fa316796664b03adec39452e3058eec	-35.0187091330781	138.54623165724806	AUS	South Australia	5047	40302106402	Marion C	5.570021038900363	-35.0186951330781	138.54620965719093	AUS	South Australia	5047	40302106402	Marion C	5.569707760787872
OTR Wayville	36190aa7f79b83fe2303a68d95be2790b80ba7fd	-34.95268122809411	138.6298705005955	AUS	South Australia	5063	40107102419	Unley C	2.305320113735316	-34.95267522809411	138.62987450057358	AUS	South Australia	5063	40107102419	Unley C	2.3054670511640967
