Location	Bucket	Type	Visitor Count	Percentage
OTR Wayville	Total visitors with CEL	CEL Distance	2773	
OTR Wayville	Median distance traveled from CEL	CEL Distance	4.881529348196833	
OTR Wayville	Lives within 1 mile of location	CEL Distance	278	10.03%
OTR Wayville	Lives between 1 and 2 miles	CEL Distance	355	12.80%
OTR Wayville	Lives between 2 and 3 miles	CEL Distance	339	12.23%
OTR Wayville	Lives between 3 and 5 miles	CEL Distance	452	16.30%
OTR Wayville	Lives between 5 and 10 miles	CEL Distance	636	22.94%
OTR Wayville	Lives between 10 and 25 miles	CEL Distance	491	17.71%
OTR Wayville	Lives between 25 and 50 miles	CEL Distance	75	2.70%
OTR Wayville	Lives between 50 and 100 miles	CEL Distance	11	0.40%
OTR Wayville	Lives >100 miles away	CEL Distance	136	4.90%
OTR Wayville	Total visitors with CDL	CDL Distance	2692	
OTR Wayville	Median distance traveled from CDL	CDL Distance	4.0847908001183795	
OTR Wayville	Works within 1 mile of location	CDL Distance	314	11.66%
OTR Wayville	Works between 1 and 2 miles	CDL Distance	474	17.61%
OTR Wayville	Works between 2 and 3 miles	CDL Distance	325	12.07%
OTR Wayville	Works between 3 and 5 miles	CDL Distance	402	14.93%
OTR Wayville	Works between 5 and 10 miles	CDL Distance	578	21.47%
OTR Wayville	Works between 10 and 25 miles	CDL Distance	389	14.45%
OTR Wayville	Works between 25 and 50 miles	CDL Distance	64	2.38%
OTR Wayville	Works between 50 and 100 miles	CDL Distance	12	0.45%
OTR Wayville	Works >100 miles away	CDL Distance	134	4.98%
OTR Wayville	5034	Top CEL Zip Code	210	7.57%
OTR Wayville	5041	Top CEL Zip Code	159	5.73%
OTR Wayville	5062	Top CEL Zip Code	110	3.97%
OTR Wayville	5159	Top CEL Zip Code	109	3.93%
OTR Wayville	5061	Top CEL Zip Code	99	3.57%
OTR Wayville	5035	Top CEL Zip Code	96	3.46%
OTR Wayville	5158	Top CEL Zip Code	66	2.38%
OTR Wayville	5000	Top CEL Zip Code	61	2.20%
OTR Wayville	5162	Top CEL Zip Code	61	2.20%
OTR Wayville	5039	Top CEL Zip Code	55	1.98%
OTR Wayville	5037	Top CEL Zip Code	52	1.88%
OTR Wayville	5042	Top CEL Zip Code	51	1.84%
OTR Wayville	5051	Top CEL Zip Code	47	1.69%
OTR Wayville	5063	Top CEL Zip Code	45	1.62%
