Location	Bucket	Type	Visitor Count	Percentage
OTR Woodville South	Total visitors with CEL	CEL Distance	1005	
OTR Woodville South	Median distance traveled from CEL	CEL Distance	2.3138232058446366	
OTR Woodville South	Lives within 1 mile of location	CEL Distance	227	22.59%
OTR Woodville South	Lives between 1 and 2 miles	CEL Distance	206	20.50%
OTR Woodville South	Lives between 2 and 3 miles	CEL Distance	164	16.32%
OTR Woodville South	Lives between 3 and 5 miles	CEL Distance	104	10.35%
OTR Woodville South	Lives between 5 and 10 miles	CEL Distance	147	14.63%
OTR Woodville South	Lives between 10 and 25 miles	CEL Distance	116	11.54%
OTR Woodville South	Lives between 25 and 50 miles	CEL Distance	9	0.90%
OTR Woodville South	Lives between 50 and 100 miles	CEL Distance	6	0.60%
OTR Woodville South	Lives >100 miles away	CEL Distance	26	2.59%
OTR Woodville South	Total visitors with CDL	CDL Distance	1000	
OTR Woodville South	Median distance traveled from CDL	CDL Distance	2.620458638305127	
OTR Woodville South	Works within 1 mile of location	CDL Distance	195	19.50%
OTR Woodville South	Works between 1 and 2 miles	CDL Distance	189	18.90%
OTR Woodville South	Works between 2 and 3 miles	CDL Distance	162	16.20%
OTR Woodville South	Works between 3 and 5 miles	CDL Distance	137	13.70%
OTR Woodville South	Works between 5 and 10 miles	CDL Distance	168	16.80%
OTR Woodville South	Works between 10 and 25 miles	CDL Distance	112	11.20%
OTR Woodville South	Works between 25 and 50 miles	CDL Distance	8	0.80%
OTR Woodville South	Works between 50 and 100 miles	CDL Distance	6	0.60%
OTR Woodville South	Works >100 miles away	CDL Distance	23	2.30%
OTR Woodville South	5011	Top CEL Zip Code	184	18.31%
OTR Woodville South	5023	Top CEL Zip Code	119	11.84%
OTR Woodville South	5025	Top CEL Zip Code	55	5.47%
OTR Woodville South	5022	Top CEL Zip Code	44	4.38%
OTR Woodville South	5024	Top CEL Zip Code	37	3.68%
OTR Woodville South	5013	Top CEL Zip Code	32	3.18%
OTR Woodville South	5032	Top CEL Zip Code	32	3.18%
OTR Woodville South	5014	Top CEL Zip Code	31	3.08%
OTR Woodville South	5008	Top CEL Zip Code	30	2.99%
OTR Woodville South	5012	Top CEL Zip Code	26	2.59%
OTR Woodville South	5021	Top CEL Zip Code	14	1.39%
OTR Woodville South	5010	Top CEL Zip Code	12	1.19%
OTR Woodville South	5108	Top CEL Zip Code	12	1.19%
OTR Woodville South	5114	Top CEL Zip Code	12	1.19%
OTR Woodville South	5016	Top CEL Zip Code	11	1.09%
OTR Woodville South	5018	Top CEL Zip Code	11	1.09%
OTR Woodville South	5082	Top CEL Zip Code	11	1.09%
OTR Woodville South	5158	Top CEL Zip Code	11	1.09%
OTR Woodville South	5007	Top CEL Zip Code	10	1.00%
OTR Woodville South	5037	Top CEL Zip Code	10	1.00%
OTR Woodville South	5011	Top CDL Zip Code	149	14.90%
OTR Woodville South	5023	Top CDL Zip Code	109	10.90%
OTR Woodville South	5025	Top CDL Zip Code	52	5.20%
OTR Woodville South	5022	Top CDL Zip Code	39	3.90%
OTR Woodville South	5013	Top CDL Zip Code	34	3.40%
OTR Woodville South	5000	Top CDL Zip Code	32	3.20%
OTR Woodville South	5014	Top CDL Zip Code	32	3.20%
OTR Woodville South	5024	Top CDL Zip Code	32	3.20%
OTR Woodville South	5032	Top CDL Zip Code	27	2.70%
OTR Woodville South	5008	Top CDL Zip Code	25	2.50%
OTR Woodville South	5012	Top CDL Zip Code	21	2.10%
OTR Woodville South	5010	Top CDL Zip Code	16	1.60%
OTR Woodville South	5021	Top CDL Zip Code	15	1.50%
OTR Woodville South	5031	Top CDL Zip Code	14	1.40%
OTR Woodville South	5082	Top CDL Zip Code	13	1.30%
OTR Woodville South	5108	Top CDL Zip Code	12	1.20%
OTR Woodville South	5009	Top CDL Zip Code	11	1.10%
OTR Woodville South	5016	Top CDL Zip Code	11	1.10%
OTR Woodville South	5085	Top CDL Zip Code	11	1.10%
OTR Woodville South	5114	Top CDL Zip Code	11	1.10%
OTR Woodville South	40401109013	Top CEL Census Block Group	22	2.19%
OTR Woodville South	40401109010	Top CEL Census Block Group	17	1.69%
OTR Woodville South	40401109739	Top CEL Census Block Group	17	1.69%
OTR Woodville South	40401109007	Top CEL Census Block Group	14	1.39%
OTR Woodville South	40401109126	Top CEL Census Block Group	14	1.39%
OTR Woodville South	40401109019	Top CEL Census Block Group	13	1.29%
OTR Woodville South	40401109006	Top CEL Census Block Group	10	1.00%
OTR Woodville South	40401109008	Top CEL Census Block Group	10	1.00%
OTR Woodville South	40401109003	Top CEL Census Block Group	9	0.90%
OTR Woodville South	40401109119	Top CEL Census Block Group	9	0.90%
OTR Woodville South	40401109129	Top CEL Census Block Group	9	0.90%
OTR Woodville South	40401109009	Top CEL Census Block Group	8	0.80%
OTR Woodville South	40401109121	Top CEL Census Block Group	8	0.80%
OTR Woodville South	40401109014	Top CEL Census Block Group	7	0.70%
OTR Woodville South	40401109101	Top CEL Census Block Group	7	0.70%
OTR Woodville South	40401109629	Top CEL Census Block Group	7	0.70%
OTR Woodville South	40401109730	Top CEL Census Block Group	7	0.70%
OTR Woodville South	40401109004	Top CEL Census Block Group	6	0.60%
OTR Woodville South	40401109012	Top CEL Census Block Group	6	0.60%
OTR Woodville South	40401109112	Top CEL Census Block Group	6	0.60%
OTR Woodville South	40401109007	Top CDL Census Block Group	17	1.70%
OTR Woodville South	40401109013	Top CDL Census Block Group	15	1.50%
OTR Woodville South	40401109126	Top CDL Census Block Group	12	1.20%
OTR Woodville South	40401109010	Top CDL Census Block Group	10	1.00%
OTR Woodville South	40401109018	Top CDL Census Block Group	10	1.00%
OTR Woodville South	40401109119	Top CDL Census Block Group	10	1.00%
OTR Woodville South	40401109739	Top CDL Census Block Group	10	1.00%
OTR Woodville South	40101100141	Top CDL Census Block Group	9	0.90%
OTR Woodville South	40401109008	Top CDL Census Block Group	9	0.90%
OTR Woodville South	40401109019	Top CDL Census Block Group	9	0.90%
OTR Woodville South	40401109121	Top CDL Census Block Group	9	0.90%
OTR Woodville South	40401109006	Top CDL Census Block Group	8	0.80%
OTR Woodville South	40401109117	Top CDL Census Block Group	8	0.80%
OTR Woodville South	40401109129	Top CDL Census Block Group	8	0.80%
OTR Woodville South	40401109004	Top CDL Census Block Group	7	0.70%
OTR Woodville South	40401109127	Top CDL Census Block Group	7	0.70%
OTR Woodville South	40401109003	Top CDL Census Block Group	6	0.60%
OTR Woodville South	40401109009	Top CDL Census Block Group	6	0.60%
OTR Woodville South	40401109014	Top CDL Census Block Group	6	0.60%
OTR Woodville South	40401109101	Top CDL Census Block Group	6	0.60%
OTR Woodville South	Charles Sturt C	Top CEL Metro	531	52.84%
OTR Woodville South	Port Adelaide Enfield C	Top CEL Metro	129	12.84%
OTR Woodville South	West Torrens C	Top CEL Metro	75	7.46%
OTR Woodville South	Salisbury C	Top CEL Metro	47	4.68%
OTR Woodville South	Onkaparinga C	Top CEL Metro	33	3.28%
OTR Woodville South	Playford C	Top CEL Metro	29	2.89%
OTR Woodville South	Marion C	Top CEL Metro	28	2.79%
OTR Woodville South	Tea Tree Gully C	Top CEL Metro	14	1.39%
OTR Woodville South	Mitcham C	Top CEL Metro	13	1.29%
OTR Woodville South	Campbelltown C SA	Top CEL Metro	12	1.19%
OTR Woodville South	Holdfast Bay C	Top CEL Metro	12	1.19%
OTR Woodville South	Prospect C	Top CEL Metro	12	1.19%
OTR Woodville South	Norwood Payneham St Peters C	Top CEL Metro	8	0.80%
OTR Woodville South	Gawler T	Top CEL Metro	7	0.70%
OTR Woodville South	Unley C	Top CEL Metro	6	0.60%
OTR Woodville South	Adelaide C	Top CEL Metro	4	0.40%
OTR Woodville South	Mid Murray DC	Top CEL Metro	4	0.40%
OTR Woodville South	Mount Barker DC	Top CEL Metro	3	0.30%
OTR Woodville South	Alexandrina DC	Top CEL Metro	2	0.20%
OTR Woodville South	Burnside C	Top CEL Metro	2	0.20%
OTR Woodville South	Charles Sturt C	Top CDL Metro	477	47.70%
OTR Woodville South	Port Adelaide Enfield C	Top CDL Metro	133	13.30%
OTR Woodville South	West Torrens C	Top CDL Metro	79	7.90%
OTR Woodville South	Salisbury C	Top CDL Metro	42	4.20%
OTR Woodville South	Adelaide C	Top CDL Metro	37	3.70%
OTR Woodville South	Onkaparinga C	Top CDL Metro	31	3.10%
OTR Woodville South	Marion C	Top CDL Metro	30	3.00%
