Location	Bucket	Type	Visitor Count	Percentage
OTR Woodville South	Total visitors with CEL	CEL Distance	1005	
OTR Woodville South	Median distance traveled from CEL	CEL Distance	2.3138232058446366	
OTR Woodville South	Lives within 1 mile of location	CEL Distance	227	22.59%
OTR Woodville South	Lives between 1 and 2 miles	CEL Distance	206	20.50%
OTR Woodville South	Lives between 2 and 3 miles	CEL Distance	164	16.32%
OTR Woodville South	Lives between 3 and 5 miles	CEL Distance	104	10.35%
OTR Woodville South	Lives between 5 and 10 miles	CEL Distance	147	14.63%
OTR Woodville South	Lives between 10 and 25 miles	CEL Distance	116	11.54%
OTR Woodville South	Lives between 25 and 50 miles	CEL Distance	9	0.90%
OTR Woodville South	Lives between 50 and 100 miles	CEL Distance	6	0.60%
OTR Woodville South	Lives >100 miles away	CEL Distance	26	2.59%
OTR Woodville South	Total visitors with CDL	CDL Distance	1000	
OTR Woodville South	Median distance traveled from CDL	CDL Distance	2.620458638305127	
OTR Woodville South	Works within 1 mile of location	CDL Distance	195	19.50%
OTR Woodville South	Works between 1 and 2 miles	CDL Distance	189	18.90%
OTR Woodville South	Works between 2 and 3 miles	CDL Distance	162	16.20%
OTR Woodville South	Works between 3 and 5 miles	CDL Distance	137	13.70%
OTR Woodville South	Works between 5 and 10 miles	CDL Distance	168	16.80%
OTR Woodville South	Works between 10 and 25 miles	CDL Distance	112	11.20%
OTR Woodville South	Works between 25 and 50 miles	CDL Distance	8	0.80%
OTR Woodville South	Works between 50 and 100 miles	CDL Distance	6	0.60%
OTR Woodville South	Works >100 miles away	CDL Distance	23	2.30%
OTR Woodville South	5011	Top CEL Postal2	184	18.31%
OTR Woodville South	5023	Top CEL Postal2	119	11.84%
OTR Woodville South	5025	Top CEL Postal2	55	5.47%
OTR Woodville South	5022	Top CEL Postal2	44	4.38%
OTR Woodville South	5024	Top CEL Postal2	37	3.68%
OTR Woodville South	5013	Top CEL Postal2	32	3.18%
OTR Woodville South	5032	Top CEL Postal2	32	3.18%
OTR Woodville South	5014	Top CEL Postal2	31	3.08%
OTR Woodville South	5008	Top CEL Postal2	30	2.99%
OTR Woodville South	5012	Top CEL Postal2	26	2.59%
OTR Woodville South	5021	Top CEL Postal2	14	1.39%
OTR Woodville South	5010	Top CEL Postal2	12	1.19%
OTR Woodville South	5108	Top CEL Postal2	12	1.19%
OTR Woodville South	5114	Top CEL Postal2	12	1.19%
OTR Woodville South	5016	Top CEL Postal2	11	1.09%
OTR Woodville South	5018	Top CEL Postal2	11	1.09%
OTR Woodville South	5082	Top CEL Postal2	11	1.09%
OTR Woodville South	5158	Top CEL Postal2	11	1.09%
OTR Woodville South	5007	Top CEL Postal2	10	1.00%
OTR Woodville South	5037	Top CEL Postal2	10	1.00%
OTR Woodville South	5011	Top CDL Postal2	149	14.90%
OTR Woodville South	5023	Top CDL Postal2	109	10.90%
OTR Woodville South	5025	Top CDL Postal2	52	5.20%
OTR Woodville South	5022	Top CDL Postal2	39	3.90%
OTR Woodville South	5013	Top CDL Postal2	34	3.40%
OTR Woodville South	5000	Top CDL Postal2	32	3.20%
OTR Woodville South	5014	Top CDL Postal2	32	3.20%
OTR Woodville South	5024	Top CDL Postal2	32	3.20%
OTR Woodville South	5032	Top CDL Postal2	27	2.70%
OTR Woodville South	5008	Top CDL Postal2	25	2.50%
OTR Woodville South	5012	Top CDL Postal2	21	2.10%
OTR Woodville South	5010	Top CDL Postal2	16	1.60%
OTR Woodville South	5021	Top CDL Postal2	15	1.50%
OTR Woodville South	5031	Top CDL Postal2	14	1.40%
OTR Woodville South	5082	Top CDL Postal2	13	1.30%
OTR Woodville South	5108	Top CDL Postal2	12	1.20%
OTR Woodville South	5009	Top CDL Postal2	11	1.10%
OTR Woodville South	5016	Top CDL Postal2	11	1.10%
OTR Woodville South	5085	Top CDL Postal2	11	1.10%
OTR Woodville South	5114	Top CDL Postal2	11	1.10%
OTR Woodville South	South Australia	Top CEL Province	991	98.61%
OTR Woodville South	New South Wales	Top CEL Province	5	0.50%
OTR Woodville South	Queensland	Top CEL Province	4	0.40%
OTR Woodville South	Northern Territory	Top CEL Province	2	0.20%
OTR Woodville South	Victoria	Top CEL Province	1	0.10%
OTR Woodville South	Western Australia	Top CEL Province	1	0.10%
OTR Woodville South	South Australia	Top CDL Province	988	98.80%
OTR Woodville South	New South Wales	Top CDL Province	4	0.40%
OTR Woodville South	Queensland	Top CDL Province	4	0.40%
OTR Woodville South	Victoria	Top CDL Province	2	0.20%
OTR Woodville South	Northern Territory	Top CDL Province	1	0.10%
OTR Woodville South	Western Australia	Top CDL Province	1	0.10%
OTR Woodville South	Beverley	Top CEL Admin	139	13.83%
OTR Woodville South	Flinders Park	Top CEL Admin	128	12.74%
OTR Woodville South	Woodville - Cheltenham	Top CEL Admin	69	6.87%
OTR Woodville South	Seaton - Grange	Top CEL Admin	64	6.37%
OTR Woodville South	Henley Beach	Top CEL Admin	49	4.88%
OTR Woodville South	The Parks	Top CEL Admin	39	3.88%
OTR Woodville South	Port Adelaide	Top CEL Admin	37	3.68%
OTR Woodville South	Hindmarsh - Brompton	Top CEL Admin	34	3.38%
OTR Woodville South	Lockleys	Top CEL Admin	32	3.18%
OTR Woodville South	West Lakes	Top CEL Admin	28	2.79%
OTR Woodville South	North Haven	Top CEL Admin	22	2.19%
OTR Woodville South	Plympton	Top CEL Admin	19	1.89%
OTR Woodville South	Royal Park - Hendon - Albert Park	Top CEL Admin	16	1.59%
OTR Woodville South	Richmond (SA)	Top CEL Admin	14	1.39%
OTR Woodville South	Prospect	Top CEL Admin	11	1.09%
OTR Woodville South	Enfield - Blair Athol	Top CEL Admin	10	1.00%
OTR Woodville South	Largs Bay - Semaphore	Top CEL Admin	9	0.90%
OTR Woodville South	Morphettville	Top CEL Admin	9	0.90%
OTR Woodville South	Craigmore - Blakeview	Top CEL Admin	8	0.80%
OTR Woodville South	Salisbury	Top CEL Admin	8	0.80%
OTR Woodville South	Beverley	Top CDL Admin	120	12.00%
OTR Woodville South	Flinders Park	Top CDL Admin	120	12.00%
OTR Woodville South	Woodville - Cheltenham	Top CDL Admin	60	6.00%
OTR Woodville South	Seaton - Grange	Top CDL Admin	56	5.60%
OTR Woodville South	Henley Beach	Top CDL Admin	43	4.30%
OTR Woodville South	Port Adelaide	Top CDL Admin	39	3.90%
OTR Woodville South	The Parks	Top CDL Admin	39	3.90%
OTR Woodville South	Adelaide	Top CDL Admin	32	3.20%
OTR Woodville South	Hindmarsh - Brompton	Top CDL Admin	31	3.10%
OTR Woodville South	Lockleys	Top CDL Admin	27	2.70%
OTR Woodville South	West Lakes	Top CDL Admin	24	2.40%
OTR Woodville South	Richmond (SA)	Top CDL Admin	22	2.20%
OTR Woodville South	Plympton	Top CDL Admin	20	2.00%
OTR Woodville South	North Haven	Top CDL Admin	18	1.80%
OTR Woodville South	Royal Park - Hendon - Albert Park	Top CDL Admin	18	1.80%
OTR Woodville South	Enfield - Blair Athol	Top CDL Admin	12	1.20%
OTR Woodville South	Prospect	Top CDL Admin	12	1.20%
OTR Woodville South	Salisbury	Top CDL Admin	11	1.10%
OTR Woodville South	Largs Bay - Semaphore	Top CDL Admin	10	1.00%
OTR Woodville South	Norwood (SA)	Top CDL Admin	9	0.90%
OTR Woodville South	Charles Sturt C	Top CEL Municipality	531	52.84%
OTR Woodville South	Port Adelaide Enfield C	Top CEL Municipality	129	12.84%
OTR Woodville South	West Torrens C	Top CEL Municipality	75	7.46%
OTR Woodville South	Salisbury C	Top CEL Municipality	47	4.68%
OTR Woodville South	Onkaparinga C	Top CEL Municipality	33	3.28%
OTR Woodville South	Playford C	Top CEL Municipality	29	2.89%
OTR Woodville South	Marion C	Top CEL Municipality	28	2.79%
OTR Woodville South	Tea Tree Gully C	Top CEL Municipality	14	1.39%
OTR Woodville South	Mitcham C	Top CEL Municipality	13	1.29%
OTR Woodville South	Campbelltown C SA	Top CEL Municipality	12	1.19%
OTR Woodville South	Holdfast Bay C	Top CEL Municipality	12	1.19%
OTR Woodville South	Prospect C	Top CEL Municipality	12	1.19%
OTR Woodville South	Norwood Payneham St Peters C	Top CEL Municipality	8	0.80%
OTR Woodville South	Gawler T	Top CEL Municipality	7	0.70%
OTR Woodville South	Unley C	Top CEL Municipality	6	0.60%
OTR Woodville South	Adelaide C	Top CEL Municipality	4	0.40%
