Date	Polygon	Observed Devices
2019-10-28	User Drawn Polygon	11
2019-10-29	User Drawn Polygon	13
2019-10-30	User Drawn Polygon	11
2019-10-31	User Drawn Polygon	3
2019-11-01	User Drawn Polygon	10
2019-11-02	User Drawn Polygon	13
2019-11-03	User Drawn Polygon	3
2019-11-04	User Drawn Polygon	9
2019-11-05	User Drawn Polygon	13
2019-11-06	User Drawn Polygon	9
2019-11-07	User Drawn Polygon	12
2019-11-08	User Drawn Polygon	10
2019-11-09	User Drawn Polygon	15
2019-11-10	User Drawn Polygon	11
2019-11-11	User Drawn Polygon	10
2019-11-12	User Drawn Polygon	16
2019-11-13	User Drawn Polygon	16
2019-11-14	User Drawn Polygon	14
2019-11-15	User Drawn Polygon	12
2019-11-16	User Drawn Polygon	21
2019-11-17	User Drawn Polygon	19
2019-11-18	User Drawn Polygon	14
2019-11-19	User Drawn Polygon	6
2019-11-20	User Drawn Polygon	10
2019-11-21	User Drawn Polygon	20
2019-11-22	User Drawn Polygon	13
2019-11-23	User Drawn Polygon	20
2019-11-24	User Drawn Polygon	17
2019-11-25	User Drawn Polygon	16
2019-11-26	User Drawn Polygon	15
2019-11-27	User Drawn Polygon	19
2019-11-28	User Drawn Polygon	22
2019-11-29	User Drawn Polygon	19
2019-11-30	User Drawn Polygon	19
2019-12-01	User Drawn Polygon	17
2019-12-02	User Drawn Polygon	15
2019-12-03	User Drawn Polygon	16
2019-12-04	User Drawn Polygon	15
2019-12-05	User Drawn Polygon	18
2019-12-06	User Drawn Polygon	11
2019-12-07	User Drawn Polygon	11
2019-12-08	User Drawn Polygon	9
2019-12-09	User Drawn Polygon	9
2019-12-10	User Drawn Polygon	16
2019-12-11	User Drawn Polygon	11
2019-12-12	User Drawn Polygon	9
2019-12-13	User Drawn Polygon	19
2019-12-14	User Drawn Polygon	14
2019-12-15	User Drawn Polygon	13
2019-12-16	User Drawn Polygon	16
2019-12-17	User Drawn Polygon	10
2019-12-18	User Drawn Polygon	19
2019-12-19	User Drawn Polygon	16
2019-12-20	User Drawn Polygon	15
2019-12-21	User Drawn Polygon	22
2019-12-22	User Drawn Polygon	18
2019-12-23	User Drawn Polygon	19
2019-12-24	User Drawn Polygon	11
2019-12-25	User Drawn Polygon	15
2019-12-26	User Drawn Polygon	12
2019-12-27	User Drawn Polygon	7
2019-12-28	User Drawn Polygon	11
2019-12-29	User Drawn Polygon	11
2019-12-30	User Drawn Polygon	13
2019-12-31	User Drawn Polygon	9
2020-01-01	User Drawn Polygon	10
2020-01-02	User Drawn Polygon	11
2020-01-03	User Drawn Polygon	6
2020-01-04	User Drawn Polygon	13
2020-01-05	User Drawn Polygon	12
2020-01-06	User Drawn Polygon	17
2020-01-07	User Drawn Polygon	11
2020-01-08	User Drawn Polygon	6
2020-01-09	User Drawn Polygon	8
2020-01-10	User Drawn Polygon	6
2020-01-11	User Drawn Polygon	11
2020-01-12	User Drawn Polygon	13
2020-01-13	User Drawn Polygon	15
2020-01-14	User Drawn Polygon	13
2020-01-15	User Drawn Polygon	13
2020-01-16	User Drawn Polygon	12
2020-01-17	User Drawn Polygon	9
2020-01-18	User Drawn Polygon	14
2020-01-19	User Drawn Polygon	12
2020-01-20	User Drawn Polygon	11
2020-01-21	User Drawn Polygon	16
