Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
User Drawn Polygon	325a864d147842e6a9e08e5b1bc4482e324dbf6e	-34.86069972441035	138.52882645589986	AUS	40401109704		Charles Sturt C	Woodville - Cheltenham	South Australia		5013			1.1557872491519672	-34.863363724410355	138.5240384589917	AUS	40401109716		Charles Sturt C	Woodville - Cheltenham	South Australia		5014			1.0109005856630129
User Drawn Polygon	c76e4c50b75ca9e10e0cd1920e79fba372a6abba	-34.883667195460745	138.5269393428811	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			0.4478961413229525	-34.94238019546075	138.58379329948283	AUS	40107102315		Unley C	Goodwood - Millswood	South Australia		5034			5.465364219218841
User Drawn Polygon	98aab834e6df700ec406691bfe206e7e48184cc9	-34.92373962291407	138.52972057471675	AUS	40403110627		West Torrens C	Lockleys	South Australia		5032			3.205042091456452	-34.95854262291407	138.62566458599733	AUS	40107102442		Unley C	Unley - Parkside	South Australia		5063			7.847133317686407
User Drawn Polygon	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.87441928355955	138.51600616011632	AUS	40401109408		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.7638217991619332	-34.87443628355955	138.51615316006587	AUS	40401109408		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.755473880388047
User Drawn Polygon	331e32b1b7ae68c5265a5a204702e67f743ee941	-34.85333583939343	138.51794056419556	AUS	40402110123		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			1.77877339767026	-34.83972183939343	138.5275055437563	AUS	40402110122		Port Adelaide Enfield C	Port Adelaide	South Australia		5013			2.60813000183929
User Drawn Polygon	faa4d8c29116737fec6d93842953af3191421c4a	-34.882951255076264	138.49028210036187	AUS	40401109605		Charles Sturt C	West Lakes	South Australia		5021			2.228187656000911	-34.90537125507626	138.49607508100965	AUS	40401109537		Charles Sturt C	Seaton - Grange	South Australia		5022			2.687568851142867
User Drawn Polygon	e36f6f68a42714660bf71c3f6a0a9e3e63839699	-34.80245800760451	138.60719566452187	AUS	40204117125		Salisbury C	Mawson Lakes - Globe Derby Park	South Australia		5095			6.826689728173521	-34.80247000760451	138.60720466449752	AUS	40204117125		Salisbury C	Mawson Lakes - Globe Derby Park	South Australia		5095			6.826391634927151
User Drawn Polygon	ea569f9c95782b2eef317665ac17e5bbd16e0d11	-34.87579465555042	138.50655211597942	AUS	40401109403		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			1.2766721318194487	-34.87577865555043	138.50659111602747	AUS	40401109403		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			1.2745650423036874
User Drawn Polygon	5b9095d7ddbcf8501e0a2bc262ec00a7ef6c6d35	-34.85975386772224	138.5186364039289	AUS	40402110117		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			1.354549958946972	-34.859746867722244	138.5186204038903	AUS	40402110117		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			1.3553795259013917
User Drawn Polygon	3192259c49686424460db38953cd549e24a8cfb7	-34.891398304818175	138.5642103272745	AUS	40401109336		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			2.221747882688448	-34.89139630481817	138.5642113272739	AUS	40401109336		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			2.2217387314599204
