Location	Bucket	Type	Visitor Count	Percentage
User Drawn Polygon	Total visitors with CEL	CEL Distance	2763	
User Drawn Polygon	Median distance traveled from CEL	CEL Distance	3.4897431264807346	
User Drawn Polygon	Lives within 1 mile of location	CEL Distance	339	12.27%
User Drawn Polygon	Lives between 1 and 2 miles	CEL Distance	521	18.86%
User Drawn Polygon	Lives between 2 and 3 miles	CEL Distance	380	13.75%
User Drawn Polygon	Lives between 3 and 5 miles	CEL Distance	403	14.59%
User Drawn Polygon	Lives between 5 and 10 miles	CEL Distance	578	20.92%
User Drawn Polygon	Lives between 10 and 25 miles	CEL Distance	350	12.67%
User Drawn Polygon	Lives between 25 and 50 miles	CEL Distance	55	1.99%
User Drawn Polygon	Lives between 50 and 100 miles	CEL Distance	16	0.58%
User Drawn Polygon	Lives >100 miles away	CEL Distance	121	4.38%
User Drawn Polygon	Total visitors with CDL	CDL Distance	2735	
User Drawn Polygon	Median distance traveled from CDL	CDL Distance	3.817764098360004	
User Drawn Polygon	Works within 1 mile of location	CDL Distance	318	11.63%
User Drawn Polygon	Works between 1 and 2 miles	CDL Distance	456	16.67%
User Drawn Polygon	Works between 2 and 3 miles	CDL Distance	378	13.82%
User Drawn Polygon	Works between 3 and 5 miles	CDL Distance	411	15.03%
User Drawn Polygon	Works between 5 and 10 miles	CDL Distance	686	25.08%
User Drawn Polygon	Works between 10 and 25 miles	CDL Distance	296	10.82%
User Drawn Polygon	Works between 25 and 50 miles	CDL Distance	45	1.65%
User Drawn Polygon	Works between 50 and 100 miles	CDL Distance	18	0.66%
User Drawn Polygon	Works >100 miles away	CDL Distance	127	4.64%
User Drawn Polygon	5011	Top CEL Postal2	242	8.76%
User Drawn Polygon	5023	Top CEL Postal2	226	8.18%
User Drawn Polygon	5014	Top CEL Postal2	210	7.60%
User Drawn Polygon	5019	Top CEL Postal2	85	3.08%
User Drawn Polygon	5013	Top CEL Postal2	84	3.04%
User Drawn Polygon	5016	Top CEL Postal2	83	3.00%
User Drawn Polygon	5021	Top CEL Postal2	83	3.00%
User Drawn Polygon	5022	Top CEL Postal2	83	3.00%
User Drawn Polygon	5008	Top CEL Postal2	67	2.42%
User Drawn Polygon	5018	Top CEL Postal2	59	2.14%
User Drawn Polygon	5015	Top CEL Postal2	54	1.95%
User Drawn Polygon	5012	Top CEL Postal2	53	1.92%
User Drawn Polygon	5025	Top CEL Postal2	45	1.63%
User Drawn Polygon	5007	Top CEL Postal2	44	1.59%
User Drawn Polygon	5032	Top CEL Postal2	43	1.56%
User Drawn Polygon	5017	Top CEL Postal2	41	1.48%
