Location	Bucket	Type	Visitor Count	Percentage
United Queenstown	Total visitors with CEL	CEL Distance	1777	
United Queenstown	Median distance traveled from CEL	CEL Distance	3.586078878340248	
United Queenstown	Lives within 1 mile of location	CEL Distance	235	13.22%
United Queenstown	Lives between 1 and 2 miles	CEL Distance	280	15.76%
United Queenstown	Lives between 2 and 3 miles	CEL Distance	267	15.03%
United Queenstown	Lives between 3 and 5 miles	CEL Distance	284	15.98%
United Queenstown	Lives between 5 and 10 miles	CEL Distance	347	19.53%
United Queenstown	Lives between 10 and 25 miles	CEL Distance	230	12.94%
United Queenstown	Lives between 25 and 50 miles	CEL Distance	50	2.81%
United Queenstown	Lives between 50 and 100 miles	CEL Distance	15	0.84%
United Queenstown	Lives >100 miles away	CEL Distance	69	3.88%
United Queenstown	Total visitors with CDL	CDL Distance	1750	
United Queenstown	Median distance traveled from CDL	CDL Distance	4.011433650933617	
United Queenstown	Works within 1 mile of location	CDL Distance	213	12.17%
United Queenstown	Works between 1 and 2 miles	CDL Distance	249	14.23%
United Queenstown	Works between 2 and 3 miles	CDL Distance	231	13.20%
United Queenstown	Works between 3 and 5 miles	CDL Distance	283	16.17%
United Queenstown	Works between 5 and 10 miles	CDL Distance	429	24.51%
United Queenstown	Works between 10 and 25 miles	CDL Distance	214	12.23%
United Queenstown	Works between 25 and 50 miles	CDL Distance	50	2.86%
United Queenstown	Works between 50 and 100 miles	CDL Distance	14	0.80%
United Queenstown	Works >100 miles away	CDL Distance	67	3.83%
United Queenstown	5014	Top CEL Zip Code	216	12.16%
United Queenstown	5011	Top CEL Zip Code	110	6.19%
United Queenstown	5019	Top CEL Zip Code	99	5.57%
United Queenstown	5016	Top CEL Zip Code	98	5.51%
United Queenstown	5023	Top CEL Zip Code	80	4.50%
United Queenstown	5018	Top CEL Zip Code	79	4.45%
United Queenstown	5015	Top CEL Zip Code	61	3.43%
United Queenstown	5021	Top CEL Zip Code	52	2.93%
United Queenstown	5017	Top CEL Zip Code	39	2.19%
United Queenstown	5022	Top CEL Zip Code	39	2.19%
United Queenstown	5013	Top CEL Zip Code	38	2.14%
United Queenstown	5025	Top CEL Zip Code	34	1.91%
United Queenstown	5008	Top CEL Zip Code	29	1.63%
United Queenstown	5024	Top CEL Zip Code	28	1.58%
United Queenstown	5009	Top CEL Zip Code	25	1.41%
United Queenstown	5020	Top CEL Zip Code	24	1.35%
United Queenstown	5012	Top CEL Zip Code	22	1.24%
United Queenstown	5032	Top CEL Zip Code	21	1.18%
United Queenstown	5007	Top CEL Zip Code	19	1.07%
United Queenstown	5114	Top CEL Zip Code	17	0.96%
United Queenstown	5014	Top CDL Zip Code	192	10.97%
United Queenstown	5011	Top CDL Zip Code	92	5.26%
United Queenstown	5019	Top CDL Zip Code	81	4.63%
United Queenstown	5000	Top CDL Zip Code	77	4.40%
United Queenstown	5016	Top CDL Zip Code	77	4.40%
United Queenstown	5023	Top CDL Zip Code	67	3.83%
United Queenstown	5015	Top CDL Zip Code	64	3.66%
United Queenstown	5018	Top CDL Zip Code	60	3.43%
United Queenstown	5013	Top CDL Zip Code	47	2.69%
United Queenstown	5017	Top CDL Zip Code	47	2.69%
United Queenstown	5022	Top CDL Zip Code	43	2.46%
United Queenstown	5021	Top CDL Zip Code	41	2.34%
United Queenstown	5025	Top CDL Zip Code	31	1.77%
United Queenstown	5007	Top CDL Zip Code	27	1.54%
United Queenstown	5009	Top CDL Zip Code	26	1.49%
United Queenstown	5024	Top CDL Zip Code	26	1.49%
United Queenstown	5008	Top CDL Zip Code	25	1.43%
United Queenstown	5031	Top CDL Zip Code	22	1.26%
United Queenstown	5032	Top CDL Zip Code	19	1.09%
United Queenstown	5095	Top CDL Zip Code	19	1.09%
United Queenstown	40401109739	Top CEL Census Block Group	18	1.01%
United Queenstown	40401109412	Top CEL Census Block Group	16	0.90%
United Queenstown	40401109407	Top CEL Census Block Group	15	0.84%
United Queenstown	40402110114	Top CEL Census Block Group	15	0.84%
United Queenstown	40401109411	Top CEL Census Block Group	14	0.79%
United Queenstown	40401109403	Top CEL Census Block Group	13	0.73%
United Queenstown	40401109408	Top CEL Census Block Group	13	0.73%
United Queenstown	40402110027	Top CEL Census Block Group	13	0.73%
United Queenstown	40401109401	Top CEL Census Block Group	12	0.68%
United Queenstown	40401109404	Top CEL Census Block Group	12	0.68%
United Queenstown	40401109629	Top CEL Census Block Group	12	0.68%
United Queenstown	40402110033	Top CEL Census Block Group	12	0.68%
United Queenstown	40402109919	Top CEL Census Block Group	11	0.62%
United Queenstown	40402110112	Top CEL Census Block Group	11	0.62%
United Queenstown	40401109119	Top CEL Census Block Group	10	0.56%
United Queenstown	40401109713	Top CEL Census Block Group	10	0.56%
