Date	Polygon	Observed Devices
2019-09-22	United Queenstown	5
2019-09-23	United Queenstown	8
2019-09-24	United Queenstown	17
2019-09-25	United Queenstown	10
2019-09-26	United Queenstown	12
2019-09-27	United Queenstown	7
2019-09-28	United Queenstown	5
2019-09-29	United Queenstown	7
2019-09-30	United Queenstown	6
2019-10-01	United Queenstown	2
2019-10-02	United Queenstown	5
2019-10-03	United Queenstown	14
2019-10-04	United Queenstown	9
2019-10-05	United Queenstown	13
2019-10-06	United Queenstown	4
2019-10-07	United Queenstown	9
2019-10-08	United Queenstown	7
2019-10-09	United Queenstown	6
2019-10-10	United Queenstown	7
2019-10-11	United Queenstown	15
2019-10-12	United Queenstown	15
2019-10-13	United Queenstown	4
2019-10-14	United Queenstown	5
2019-10-15	United Queenstown	3
2019-10-16	United Queenstown	5
2019-10-17	United Queenstown	7
2019-10-18	United Queenstown	4
2019-10-19	United Queenstown	6
2019-10-20	United Queenstown	11
2019-10-21	United Queenstown	7
2019-10-22	United Queenstown	10
2019-10-23	United Queenstown	6
2019-10-24	United Queenstown	5
2019-10-25	United Queenstown	6
2019-10-26	United Queenstown	6
2019-10-27	United Queenstown	6
2019-10-28	United Queenstown	11
2019-10-29	United Queenstown	12
2019-10-30	United Queenstown	12
2019-10-31	United Queenstown	3
2019-11-01	United Queenstown	6
2019-11-02	United Queenstown	11
2019-11-03	United Queenstown	5
2019-11-04	United Queenstown	4
2019-11-05	United Queenstown	7
2019-11-06	United Queenstown	9
2019-11-07	United Queenstown	10
2019-11-08	United Queenstown	7
2019-11-09	United Queenstown	2
2019-11-10	United Queenstown	3
2019-11-11	United Queenstown	9
2019-11-12	United Queenstown	12
2019-11-13	United Queenstown	9
2019-11-14	United Queenstown	9
2019-11-15	United Queenstown	13
2019-11-16	United Queenstown	7
2019-11-17	United Queenstown	4
2019-11-18	United Queenstown	12
2019-11-19	United Queenstown	7
2019-11-20	United Queenstown	7
2019-11-21	United Queenstown	6
2019-11-22	United Queenstown	9
2019-11-23	United Queenstown	6
2019-11-24	United Queenstown	6
2019-11-25	United Queenstown	11
2019-11-26	United Queenstown	5
2019-11-27	United Queenstown	5
2019-11-28	United Queenstown	9
2019-11-29	United Queenstown	13
2019-11-30	United Queenstown	19
2019-12-01	United Queenstown	8
2019-12-02	United Queenstown	8
2019-12-03	United Queenstown	9
2019-12-04	United Queenstown	11
2019-12-05	United Queenstown	11
2019-12-06	United Queenstown	12
2019-12-07	United Queenstown	13
2019-12-08	United Queenstown	4
2019-12-09	United Queenstown	9
2019-12-10	United Queenstown	13
2019-12-11	United Queenstown	10
2019-12-12	United Queenstown	10
2019-12-13	United Queenstown	10
2019-12-14	United Queenstown	8
2019-12-15	United Queenstown	12
2019-12-16	United Queenstown	15
2019-12-17	United Queenstown	7
2019-12-18	United Queenstown	7
2019-12-19	United Queenstown	9
2019-12-20	United Queenstown	5
2019-12-21	United Queenstown	6
2019-12-22	United Queenstown	9
2019-12-23	United Queenstown	8
2019-12-24	United Queenstown	8
2019-12-25	United Queenstown	4
2019-12-26	United Queenstown	10
2019-12-27	United Queenstown	4
2019-12-28	United Queenstown	4
2019-12-29	United Queenstown	6
2019-12-30	United Queenstown	7
2019-12-31	United Queenstown	5
2020-01-01	United Queenstown	5
2020-01-02	United Queenstown	8
2020-01-03	United Queenstown	7
2020-01-04	United Queenstown	13
2020-01-05	United Queenstown	5
2020-01-06	United Queenstown	13
2020-01-07	United Queenstown	7
2020-01-08	United Queenstown	2
2020-01-09	United Queenstown	8
2020-01-10	United Queenstown	13
2020-01-11	United Queenstown	9
2020-01-12	United Queenstown	11
2020-01-13	United Queenstown	7
2020-01-14	United Queenstown	6
2020-01-15	United Queenstown	3
2020-01-16	United Queenstown	7
2020-01-17	United Queenstown	10
2020-01-18	United Queenstown	9
2020-01-19	United Queenstown	9
2020-01-20	United Queenstown	8
2020-01-21	United Queenstown	10
2020-01-22	United Queenstown	11
2020-01-23	United Queenstown	1
2020-01-24	United Queenstown	2
2020-01-25	United Queenstown	5
2020-01-26	United Queenstown	3
2020-01-27	United Queenstown	5
2020-01-28	United Queenstown	11
2020-01-29	United Queenstown	10
2020-01-30	United Queenstown	6
2020-01-31	United Queenstown	11
2020-02-01	United Queenstown	4
2020-02-02	United Queenstown	3
2020-02-03	United Queenstown	6
2020-02-04	United Queenstown	6
2020-02-05	United Queenstown	6
2020-02-06	United Queenstown	6
2020-02-07	United Queenstown	20
2020-02-08	United Queenstown	11
2020-02-09	United Queenstown	9
2020-02-10	United Queenstown	7
2020-02-11	United Queenstown	7
2020-02-12	United Queenstown	11
2020-02-13	United Queenstown	12
2020-02-14	United Queenstown	10
2020-02-15	United Queenstown	10
2020-02-16	United Queenstown	6
2020-02-17	United Queenstown	6
2020-02-18	United Queenstown	9
2020-02-19	United Queenstown	6
2020-02-20	United Queenstown	4
2020-02-21	United Queenstown	24
2020-02-22	United Queenstown	9
2020-02-23	United Queenstown	4
2020-02-24	United Queenstown	8
2020-02-25	United Queenstown	5
2020-02-26	United Queenstown	9
2020-02-27	United Queenstown	10
2020-02-28	United Queenstown	10
2020-02-29	United Queenstown	12
2020-03-01	United Queenstown	12
2020-03-02	United Queenstown	7
2020-03-03	United Queenstown	2
2020-03-04	United Queenstown	12
2020-03-05	United Queenstown	12
2020-03-06	United Queenstown	7
2020-03-07	United Queenstown	11
2020-03-08	United Queenstown	11
2020-03-09	United Queenstown	3
2020-03-10	United Queenstown	6
2020-03-11	United Queenstown	8
2020-03-12	United Queenstown	10
2020-03-13	United Queenstown	8
2020-03-14	United Queenstown	18
2020-03-15	United Queenstown	7
2020-03-16	United Queenstown	5
2020-03-17	United Queenstown	5
2020-03-18	United Queenstown	10
2020-03-19	United Queenstown	11
2020-03-20	United Queenstown	15
2020-03-21	United Queenstown	13
2020-03-22	United Queenstown	6
2020-03-23	United Queenstown	10
2020-03-24	United Queenstown	6
2020-03-25	United Queenstown	4
2020-03-26	United Queenstown	10
2020-03-27	United Queenstown	9
2020-03-28	United Queenstown	10
2020-03-29	United Queenstown	7
2020-03-30	United Queenstown	6
2020-03-31	United Queenstown	4
2020-04-01	United Queenstown	2
2020-04-02	United Queenstown	7
2020-04-03	United Queenstown	11
2020-04-04	United Queenstown	4
2020-04-05	United Queenstown	2
2020-04-06	United Queenstown	2
2020-04-07	United Queenstown	7
2020-04-08	United Queenstown	5
2020-04-09	United Queenstown	3
2020-04-10	United Queenstown	5
2020-04-11	United Queenstown	10
2020-04-12	United Queenstown	6
2020-04-13	United Queenstown	7
2020-04-14	United Queenstown	3
2020-04-15	United Queenstown	13
2020-04-16	United Queenstown	10
2020-04-17	United Queenstown	12
2020-04-18	United Queenstown	3
2020-04-19	United Queenstown	5
2020-04-20	United Queenstown	3
2020-04-21	United Queenstown	3
2020-04-22	United Queenstown	11
2020-04-23	United Queenstown	13
2020-04-24	United Queenstown	11
2020-04-25	United Queenstown	7
2020-04-26	United Queenstown	6
2020-04-27	United Queenstown	6
2020-04-28	United Queenstown	11
2020-04-29	United Queenstown	13
2020-04-30	United Queenstown	13
2020-05-01	United Queenstown	4
2020-05-02	United Queenstown	4
2020-05-03	United Queenstown	2
2020-05-04	United Queenstown	7
2020-05-05	United Queenstown	4
2020-05-06	United Queenstown	7
2020-05-07	United Queenstown	23
2020-05-08	United Queenstown	14
2020-05-09	United Queenstown	16
2020-05-10	United Queenstown	10
2020-05-11	United Queenstown	6
2020-05-12	United Queenstown	7
2020-05-13	United Queenstown	11
2020-05-14	United Queenstown	17
2020-05-15	United Queenstown	12
2020-05-16	United Queenstown	16
2020-05-17	United Queenstown	15
2020-05-18	United Queenstown	8
2020-05-19	United Queenstown	9
2020-05-20	United Queenstown	7
2020-05-21	United Queenstown	11
2020-05-22	United Queenstown	9
2020-05-23	United Queenstown	5
2020-05-24	United Queenstown	12
2020-05-25	United Queenstown	7
2020-05-26	United Queenstown	16
2020-05-27	United Queenstown	23
2020-05-28	United Queenstown	11
2020-05-29	United Queenstown	14
2020-05-30	United Queenstown	20
2020-05-31	United Queenstown	14
2020-06-01	United Queenstown	8
2020-06-02	United Queenstown	7
2020-06-03	United Queenstown	14
2020-06-04	United Queenstown	9
2020-06-05	United Queenstown	12
2020-06-06	United Queenstown	11
2020-06-07	United Queenstown	21
2020-06-08	United Queenstown	17
2020-06-09	United Queenstown	16
2020-06-10	United Queenstown	19
2020-06-11	United Queenstown	4
2020-06-12	United Queenstown	12
2020-06-13	United Queenstown	10
2020-06-14	United Queenstown	1
2020-06-15	United Queenstown	9
2020-06-16	United Queenstown	1
2020-06-17	United Queenstown	6
2020-06-18	United Queenstown	8
2020-06-19	United Queenstown	12
2020-06-20	United Queenstown	12
2020-06-21	United Queenstown	8
2020-06-22	United Queenstown	10
2020-06-23	United Queenstown	9
2020-06-24	United Queenstown	4
2020-06-25	United Queenstown	6
2020-06-26	United Queenstown	13
2020-06-27	United Queenstown	8
2020-06-28	United Queenstown	7
2020-06-29	United Queenstown	5
2020-06-30	United Queenstown	5
2020-07-01	United Queenstown	5
2020-07-02	United Queenstown	11
2020-07-03	United Queenstown	2
2020-07-04	United Queenstown	8
2020-07-05	United Queenstown	5
2020-07-06	United Queenstown	11
2020-07-07	United Queenstown	12
2020-07-08	United Queenstown	6
2020-07-09	United Queenstown	5
2020-07-10	United Queenstown	6
2020-07-11	United Queenstown	4
2020-07-12	United Queenstown	4
2020-07-13	United Queenstown	3
2020-07-14	United Queenstown	6
2020-07-15	United Queenstown	13
2020-07-16	United Queenstown	4
2020-07-17	United Queenstown	14
2020-07-18	United Queenstown	11
2020-07-19	United Queenstown	14
2020-07-20	United Queenstown	11
2020-07-21	United Queenstown	18
2020-07-22	United Queenstown	19
2020-07-23	United Queenstown	11
2020-07-24	United Queenstown	16
2020-07-25	United Queenstown	3
2020-07-26	United Queenstown	9
2020-07-27	United Queenstown	5
2020-07-28	United Queenstown	14
2020-07-29	United Queenstown	8
2020-07-30	United Queenstown	7
2020-07-31	United Queenstown	11
2020-08-01	United Queenstown	5
2020-08-02	United Queenstown	7
2020-08-03	United Queenstown	9
2020-08-04	United Queenstown	5
2020-08-05	United Queenstown	12
2020-08-06	United Queenstown	9
2020-08-07	United Queenstown	8
2020-08-08	United Queenstown	8
2020-08-09	United Queenstown	14
2020-08-10	United Queenstown	9
2020-08-11	United Queenstown	6
2020-08-12	United Queenstown	8
2020-08-13	United Queenstown	9
2020-08-14	United Queenstown	16
2020-08-15	United Queenstown	14
2020-08-16	United Queenstown	9
2020-08-17	United Queenstown	8
2020-08-18	United Queenstown	16
2020-08-19	United Queenstown	25
2020-08-20	United Queenstown	6
2020-08-21	United Queenstown	6
2020-08-22	United Queenstown	8
2020-08-23	United Queenstown	7
2020-08-24	United Queenstown	7
2020-08-25	United Queenstown	7
2020-08-26	United Queenstown	8
2020-08-27	United Queenstown	4
2020-08-28	United Queenstown	7
2020-08-29	United Queenstown	6
2020-08-30	United Queenstown	9
2020-08-31	United Queenstown	15
2020-09-01	United Queenstown	12
2020-09-02	United Queenstown	19
2020-09-03	United Queenstown	20
2020-09-04	United Queenstown	9
2020-09-05	United Queenstown	8
2020-09-06	United Queenstown	4
2020-09-07	United Queenstown	12
2020-09-08	United Queenstown	9
2020-09-09	United Queenstown	8
2020-09-10	United Queenstown	7
2020-09-11	United Queenstown	4
2020-09-12	United Queenstown	7
2020-09-13	United Queenstown	10
2020-09-14	United Queenstown	4
2020-09-15	United Queenstown	5
2020-09-16	United Queenstown	7
2020-09-17	United Queenstown	8
2020-09-18	United Queenstown	15
2020-09-19	United Queenstown	7
2020-09-20	United Queenstown	11
2020-09-21	United Queenstown	6
