Location	Bucket	Type	Visitor Count	Percentage
156 Port Road Albertson SA	Total visitors with CEL	CEL Distance	1782	
156 Port Road Albertson SA	Median distance traveled from CEL	CEL Distance	4.413900792865968	
156 Port Road Albertson SA	Lives within 1 mile of location	CEL Distance	282	15.82%
156 Port Road Albertson SA	Lives between 1 and 2 miles	CEL Distance	254	14.25%
156 Port Road Albertson SA	Lives between 2 and 3 miles	CEL Distance	200	11.22%
156 Port Road Albertson SA	Lives between 3 and 5 miles	CEL Distance	190	10.66%
156 Port Road Albertson SA	Lives between 5 and 10 miles	CEL Distance	338	18.97%
156 Port Road Albertson SA	Lives between 10 and 25 miles	CEL Distance	377	21.16%
156 Port Road Albertson SA	Lives between 25 and 50 miles	CEL Distance	40	2.24%
156 Port Road Albertson SA	Lives between 50 and 100 miles	CEL Distance	20	1.12%
156 Port Road Albertson SA	Lives >100 miles away	CEL Distance	81	4.55%
156 Port Road Albertson SA	Total visitors with CDL	CDL Distance	1753	
156 Port Road Albertson SA	Median distance traveled from CDL	CDL Distance	4.962854266610398	
156 Port Road Albertson SA	Works within 1 mile of location	CDL Distance	256	14.60%
156 Port Road Albertson SA	Works between 1 and 2 miles	CDL Distance	215	12.26%
156 Port Road Albertson SA	Works between 2 and 3 miles	CDL Distance	204	11.64%
156 Port Road Albertson SA	Works between 3 and 5 miles	CDL Distance	204	11.64%
156 Port Road Albertson SA	Works between 5 and 10 miles	CDL Distance	401	22.88%
156 Port Road Albertson SA	Works between 10 and 25 miles	CDL Distance	333	19.00%
156 Port Road Albertson SA	Works between 25 and 50 miles	CDL Distance	41	2.34%
156 Port Road Albertson SA	Works between 50 and 100 miles	CDL Distance	18	1.03%
156 Port Road Albertson SA	Works >100 miles away	CDL Distance	81	4.62%
156 Port Road Albertson SA	5023	Top CEL Zip Code	230	12.91%
156 Port Road Albertson SA	5014	Top CEL Zip Code	155	8.70%
156 Port Road Albertson SA	5024	Top CEL Zip Code	69	3.87%
156 Port Road Albertson SA	5022	Top CEL Zip Code	59	3.31%
156 Port Road Albertson SA	5158	Top CEL Zip Code	47	2.64%
156 Port Road Albertson SA	5021	Top CEL Zip Code	45	2.53%
156 Port Road Albertson SA	5032	Top CEL Zip Code	44	2.47%
156 Port Road Albertson SA	5025	Top CEL Zip Code	42	2.36%
156 Port Road Albertson SA	5108	Top CEL Zip Code	39	2.19%
156 Port Road Albertson SA	5162	Top CEL Zip Code	39	2.19%
