Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
156 Port Road Albertson SA	9920ef8df584b5ed9cdc544956f5ff8ca521988c														-34.80329291018879	138.71114704095777	AUS	40205105418		Tea Tree Gully C	Redwood Park	South Australia		5126			12.496709509415194
156 Port Road Albertson SA	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.874431283559545	138.51612816008068	AUS	40401109408		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5774987452564099	-34.874440283559544	138.516156160054	AUS	40401109408		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.577350307216548
156 Port Road Albertson SA	ea569f9c95782b2eef317665ac17e5bbd16e0d11	-34.87579465555042	138.50655211597942	AUS	40401109403		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5972985549528537	-34.87577865555043	138.50659111602747	AUS	40401109403		Charles Sturt C	Royal Park - Hendon - Albert Park	South Australia		5014			0.5967436068417539
156 Port Road Albertson SA	5b9095d7ddbcf8501e0a2bc262ec00a7ef6c6d35	-34.85975586772224	138.51863440393993	AUS	40402110117		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			1.5986102766361785	-34.85975086772224	138.51862140391236	AUS	40402110117		Port Adelaide Enfield C	Port Adelaide	South Australia		5014			1.5988094504469594
156 Port Road Albertson SA	3192259c49686424460db38953cd549e24a8cfb7	-34.891398304818175	138.5642103272745	AUS	40401109336		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			2.9560547623185314	-34.89139630481817	138.5642113272739	AUS	40401109336		Charles Sturt C	Hindmarsh - Brompton	South Australia		5008			2.95608129303528
156 Port Road Albertson SA	6fe990c83521a1eb68157d4f930e5a65b39a7e8d	-37.702443533556504	144.87721422720986	AUS	21005125016		Hume C	Tullamarine	Victoria		3043			404.74956807514496	-37.64714453355651	144.95490333208528	AUS	21005124305		Hume C	Campbellfield - Coolaroo	Victoria		3061			406.8502356658825
156 Port Road Albertson SA	52eaec4445cf544115e872aa7fb8d1f5f6ca627a	-34.9308994970681	138.55117743224972	AUS	40403110607		West Torrens C	Lockleys	South Australia		5032			3.9822622932579614	-34.93091549706809	138.55119643216145	AUS	40403110607		West Torrens C	Lockleys	South Australia		5032			3.983775695535399
156 Port Road Albertson SA	ec3fcfb31b7a7171ab6a59a415c0470e0a8a41aa	-34.75485565858151	138.60541939213488	AUS	40204104419		Salisbury C	Paralowie	South Australia		5108			10.26015445223325	-34.75482265858152	138.60539039233174	AUS	40204104419		Salisbury C	Paralowie	South Australia		5108			10.26127882468539
156 Port Road Albertson SA	ebb7fbb4edec57f511f74fc94bf34a386339e1b6	-33.89121433022467	151.14354018664886	AUS	12003139501		Inner West A	Haberfield - Summer Hill	New South Wales		2130			723.736119037007	-33.86659733022467	151.17483524457182	AUS	12002138930		Inner West A	Lilyfield - Rozelle	New South Wales		2039			725.7787754022071
156 Port Road Albertson SA	006778735995489d875cc257e3358c944bf99739	-34.856074782676565	138.48560087366297	AUS	40401109602		Charles Sturt C	West Lakes	South Australia		5019			2.40670893699517	-34.856094782676564	138.48561187362841	AUS	40401109602		Charles Sturt C	West Lakes	South Australia		5019			2.4052531310455927
