Date	Polygon	Observed Devices
2019-10-28	Drakes Royal Park	6
2019-10-29	Drakes Royal Park	5
2019-10-30	Drakes Royal Park	9
2019-10-31	Drakes Royal Park	7
2019-11-01	Drakes Royal Park	8
2019-11-02	Drakes Royal Park	4
2019-11-03	Drakes Royal Park	2
2019-11-04	Drakes Royal Park	11
2019-11-05	Drakes Royal Park	5
2019-11-06	Drakes Royal Park	7
2019-11-07	Drakes Royal Park	9
2019-11-08	Drakes Royal Park	7
2019-11-09	Drakes Royal Park	9
2019-11-10	Drakes Royal Park	5
2019-11-11	Drakes Royal Park	5
2019-11-12	Drakes Royal Park	3
2019-11-13	Drakes Royal Park	8
2019-11-14	Drakes Royal Park	6
2019-11-15	Drakes Royal Park	3
2019-11-16	Drakes Royal Park	10
2019-11-17	Drakes Royal Park	7
2019-11-18	Drakes Royal Park	8
2019-11-19	Drakes Royal Park	7
2019-11-20	Drakes Royal Park	5
2019-11-21	Drakes Royal Park	4
2019-11-22	Drakes Royal Park	9
2019-11-23	Drakes Royal Park	6
2019-11-24	Drakes Royal Park	6
2019-11-25	Drakes Royal Park	4
2019-11-26	Drakes Royal Park	6
2019-11-27	Drakes Royal Park	7
2019-11-28	Drakes Royal Park	5
2019-11-29	Drakes Royal Park	8
2019-11-30	Drakes Royal Park	4
2019-12-01	Drakes Royal Park	4
2019-12-02	Drakes Royal Park	7
2019-12-03	Drakes Royal Park	9
2019-12-04	Drakes Royal Park	11
2019-12-05	Drakes Royal Park	6
2019-12-06	Drakes Royal Park	8
2019-12-07	Drakes Royal Park	4
2019-12-08	Drakes Royal Park	4
2019-12-09	Drakes Royal Park	8
2019-12-10	Drakes Royal Park	10
2019-12-11	Drakes Royal Park	7
2019-12-12	Drakes Royal Park	4
2019-12-13	Drakes Royal Park	6
2019-12-14	Drakes Royal Park	1
2019-12-15	Drakes Royal Park	3
2019-12-16	Drakes Royal Park	10
2019-12-17	Drakes Royal Park	5
2019-12-18	Drakes Royal Park	14
2019-12-19	Drakes Royal Park	9
2019-12-20	Drakes Royal Park	4
2019-12-21	Drakes Royal Park	8
2019-12-22	Drakes Royal Park	9
2019-12-23	Drakes Royal Park	12
2019-12-24	Drakes Royal Park	13
2019-12-25	Drakes Royal Park	2
2019-12-26	Drakes Royal Park	5
2019-12-27	Drakes Royal Park	9
