Location	Bucket	Type	Visitor Count	Percentage
Drakes Royal Park	Total visitors with CEL	CEL Distance	1103	
Drakes Royal Park	Median distance traveled from CEL	CEL Distance	2.088395809984496	
Drakes Royal Park	Lives within 1 mile of location	CEL Distance	320	29.01%
Drakes Royal Park	Lives between 1 and 2 miles	CEL Distance	215	19.49%
Drakes Royal Park	Lives between 2 and 3 miles	CEL Distance	133	12.06%
Drakes Royal Park	Lives between 3 and 5 miles	CEL Distance	123	11.15%
Drakes Royal Park	Lives between 5 and 10 miles	CEL Distance	125	11.33%
Drakes Royal Park	Lives between 10 and 25 miles	CEL Distance	126	11.42%
Drakes Royal Park	Lives between 25 and 50 miles	CEL Distance	18	1.63%
Drakes Royal Park	Lives between 50 and 100 miles	CEL Distance	5	0.45%
Drakes Royal Park	Lives >100 miles away	CEL Distance	38	3.45%
Drakes Royal Park	Total visitors with CDL	CDL Distance	1094	
Drakes Royal Park	Median distance traveled from CDL	CDL Distance	2.4176379173737854	
Drakes Royal Park	Works within 1 mile of location	CDL Distance	313	28.61%
Drakes Royal Park	Works between 1 and 2 miles	CDL Distance	181	16.54%
Drakes Royal Park	Works between 2 and 3 miles	CDL Distance	113	10.33%
Drakes Royal Park	Works between 3 and 5 miles	CDL Distance	139	12.71%
Drakes Royal Park	Works between 5 and 10 miles	CDL Distance	171	15.63%
Drakes Royal Park	Works between 10 and 25 miles	CDL Distance	124	11.33%
Drakes Royal Park	Works between 25 and 50 miles	CDL Distance	15	1.37%
Drakes Royal Park	Works between 50 and 100 miles	CDL Distance	5	0.46%
Drakes Royal Park	Works >100 miles away	CDL Distance	33	3.02%
Drakes Royal Park	5014	Top CEL Postal2	271	24.57%
Drakes Royal Park	5023	Top CEL Postal2	112	10.15%
Drakes Royal Park	5021	Top CEL Postal2	52	4.71%
Drakes Royal Park	5011	Top CEL Postal2	42	3.81%
Drakes Royal Park	5015	Top CEL Postal2	40	3.63%
Drakes Royal Park	5022	Top CEL Postal2	39	3.54%
Drakes Royal Park	5013	Top CEL Postal2	38	3.45%
Drakes Royal Park	5016	Top CEL Postal2	33	2.99%
Drakes Royal Park	5019	Top CEL Postal2	33	2.99%
Drakes Royal Park	5018	Top CEL Postal2	23	2.09%
Drakes Royal Park	5024	Top CEL Postal2	23	2.09%
Drakes Royal Park	5025	Top CEL Postal2	19	1.72%
Drakes Royal Park	5108	Top CEL Postal2	17	1.54%
Drakes Royal Park	5032	Top CEL Postal2	16	1.45%
Drakes Royal Park	5158	Top CEL Postal2	13	1.18%
Drakes Royal Park	5114	Top CEL Postal2	12	1.09%
Drakes Royal Park	5008	Top CEL Postal2	11	1.00%
Drakes Royal Park	5012	Top CEL Postal2	11	1.00%
Drakes Royal Park	5017	Top CEL Postal2	11	1.00%
Drakes Royal Park	5010	Top CEL Postal2	10	0.91%
Drakes Royal Park	5014	Top CDL Postal2	281	25.69%
Drakes Royal Park	5023	Top CDL Postal2	97	8.87%
Drakes Royal Park	5013	Top CDL Postal2	39	3.56%
Drakes Royal Park	5011	Top CDL Postal2	38	3.47%
Drakes Royal Park	5015	Top CDL Postal2	37	3.38%
Drakes Royal Park	5022	Top CDL Postal2	37	3.38%
Drakes Royal Park	5021	Top CDL Postal2	35	3.20%
Drakes Royal Park	5000	Top CDL Postal2	30	2.74%
Drakes Royal Park	5016	Top CDL Postal2	29	2.65%
Drakes Royal Park	5019	Top CDL Postal2	27	2.47%
Drakes Royal Park	5018	Top CDL Postal2	21	1.92%
Drakes Royal Park	5025	Top CDL Postal2	19	1.74%
Drakes Royal Park	5024	Top CDL Postal2	18	1.65%
Drakes Royal Park	5032	Top CDL Postal2	16	1.46%
Drakes Royal Park	5095	Top CDL Postal2	13	1.19%
Drakes Royal Park	5108	Top CDL Postal2	13	1.19%
Drakes Royal Park	5114	Top CDL Postal2	12	1.10%
Drakes Royal Park	5008	Top CDL Postal2	11	1.01%
Drakes Royal Park	5017	Top CDL Postal2	11	1.01%
Drakes Royal Park	5031	Top CDL Postal2	10	0.91%
Drakes Royal Park	60188	Top CEL Postal1	1	0.09%
Drakes Royal Park	V7J	Top CEL Postal1	1	0.09%
Drakes Royal Park	60188	Top CDL Postal1	1	0.09%
Drakes Royal Park	V0E	Top CDL Postal1	1	0.09%
