Date	Polygon	Observed Devices
2019-10-27	Feathers Hotel SA	14
2019-10-28	Feathers Hotel SA	9
2019-10-29	Feathers Hotel SA	10
2019-10-30	Feathers Hotel SA	6
2019-10-31	Feathers Hotel SA	15
2019-11-01	Feathers Hotel SA	20
2019-11-02	Feathers Hotel SA	24
2019-11-03	Feathers Hotel SA	13
2019-11-04	Feathers Hotel SA	6
2019-11-05	Feathers Hotel SA	24
2019-11-06	Feathers Hotel SA	10
2019-11-07	Feathers Hotel SA	13
2019-11-08	Feathers Hotel SA	19
2019-11-09	Feathers Hotel SA	24
2019-11-10	Feathers Hotel SA	14
2019-11-11	Feathers Hotel SA	7
2019-11-12	Feathers Hotel SA	8
2019-11-13	Feathers Hotel SA	4
2019-11-14	Feathers Hotel SA	8
2019-11-15	Feathers Hotel SA	20
2019-11-16	Feathers Hotel SA	27
2019-11-17	Feathers Hotel SA	14
2019-11-18	Feathers Hotel SA	7
2019-11-19	Feathers Hotel SA	7
2019-11-20	Feathers Hotel SA	15
2019-11-21	Feathers Hotel SA	12
2019-11-22	Feathers Hotel SA	30
2019-11-23	Feathers Hotel SA	21
2019-11-24	Feathers Hotel SA	20
2019-11-25	Feathers Hotel SA	7
2019-11-26	Feathers Hotel SA	8
2019-11-27	Feathers Hotel SA	16
2019-11-28	Feathers Hotel SA	11
2019-11-29	Feathers Hotel SA	20
2019-11-30	Feathers Hotel SA	21
2019-12-01	Feathers Hotel SA	16
2019-12-02	Feathers Hotel SA	11
2019-12-03	Feathers Hotel SA	15
2019-12-04	Feathers Hotel SA	16
2019-12-05	Feathers Hotel SA	17
2019-12-06	Feathers Hotel SA	28
2019-12-07	Feathers Hotel SA	27
2019-12-08	Feathers Hotel SA	16
2019-12-09	Feathers Hotel SA	13
2019-12-10	Feathers Hotel SA	16
2019-12-11	Feathers Hotel SA	13
2019-12-12	Feathers Hotel SA	39
2019-12-13	Feathers Hotel SA	31
2019-12-14	Feathers Hotel SA	34
2019-12-15	Feathers Hotel SA	29
2019-12-16	Feathers Hotel SA	7
2019-12-17	Feathers Hotel SA	14
2019-12-18	Feathers Hotel SA	13
2019-12-19	Feathers Hotel SA	25
2019-12-20	Feathers Hotel SA	21
2019-12-21	Feathers Hotel SA	24
2019-12-22	Feathers Hotel SA	24
2019-12-23	Feathers Hotel SA	19
2019-12-24	Feathers Hotel SA	13
2019-12-25	Feathers Hotel SA	9
2019-12-26	Feathers Hotel SA	12
2019-12-27	Feathers Hotel SA	16
2019-12-28	Feathers Hotel SA	16
2019-12-29	Feathers Hotel SA	14
2019-12-30	Feathers Hotel SA	14
2019-12-31	Feathers Hotel SA	15
