Polygon ID	Device ID	Resident	Worker	CEL Lat	CEL Lng	CEL Country	CEL State	CEL Zip	CEL Census Block ID	CEL Metro	CDL Lat	CDL Lng	CDL Country	CDL State	CDL Zip	CDL Census Block ID	CDL Metro	Commute Distance
Feathers Hotel SA	679ec387288c760d61bfc1593b20d855b04b1e00	unknown	true								-34.937890691772346	138.6606634397868	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	204817d96f1c1d8a00ef592f4a60b4b5149577bd	unknown	true								-34.9376802150663	138.66068449640304	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	4b4b7aacd94e41dc5aba5ce98fa8bc0b4064110c	false	true	-35.022266932709684	138.72380747782853	AUS	South Australia	5153	40102100403	Adelaide Hills DC	-34.937882932709684	138.6602576647879	AUS	South Australia	5066	40103101109	Burnside C	6.858689732071854
Feathers Hotel SA	95cf60f6af58762f9fe59f944ade6ff23174c7f3	true	unknown	-34.93770563642937	138.66053860694043	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	2363a70a12cb2f4239e5697a610959a51541cf3a	true	unknown	-34.93779501161464	138.6604512642453	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	c0c6fcf85d6cbfcde72242e4d71007e0b8211ec1	false	true	-34.93822860187973	138.53865354353346	AUS	South Australia	5950	40403110401	West Torrens C	-34.937579601879726	138.6606045430148	AUS	South Australia	5066	40103101109	Burnside C	6.915292055442427
Feathers Hotel SA	cf701a4a5e0bc6a1b267438cea07178f66866c14	true	unknown	-34.93744698587153	138.6605121958583	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	9ac3c3addb0847c2b56f39e60ef461f19c31593e	false	true	-27.450227773245736	153.08902862609813	AUS	Queensland	4170	30502111708	Brisbane C	-34.93789777324574	138.6601662388433	AUS	South Australia	5066	40103101109	Burnside C	996.9578682317507
Feathers Hotel SA	9e548e2c084ffa139a036215737cdb19790a9315	true	unknown	-34.93827912121273	138.6602482728866	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	3accac5312fdd9afa1988a728db5238b3adabfa3	unknown	true								-34.937819142185674	138.6603930641984	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	4621a49db7c021dcb5fc772f529a4939c2bfd798	true	false	-34.93786808618963	138.66063321966018	AUS	South Australia	5066	40103101109	Burnside C	-34.90204308618963	138.62326811351545	AUS	South Australia	5069	40105101929	Norwood Payneham St Peters C	3.2606451169240134
Feathers Hotel SA	2d9e746c8073469dfe9d2df0a7004e53aeed245c	true	false	-34.93786162207281	138.6602315152982	AUS	South Australia	5066	40103101109	Burnside C	-34.86364362207281	138.47863178039276	AUS	South Australia	5019	40401109630	Charles Sturt C	11.510396254308578
Feathers Hotel SA	e3c439a32aa29883cc418ed8f637b0edc42c714a	true	unknown	-34.937786192690716	138.66089124616286	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	8cd926b03d1782b0b714dabe22ba60f13ba64f51	true	unknown	-34.93786581117772	138.66053662434808	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	a9402985b0c5c44c3f7fd239177b8db5d5fcd0fa	false	true	-34.628132572531825	138.73996044347575	AUS	South Australia	5116	40201102628	Gawler T	-34.93749957253183	138.66055082840083	AUS	South Australia	5066	40103101109	Burnside C	21.86951005481204
Feathers Hotel SA	f96aa1ce0159de2f0115fab2a4e288a7fd91afe2	unknown	true								-34.9374651544009	138.66067216225042	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	f3f3c7660e56894ac9307713e38252b74430df6b	true	unknown	-34.937654973925575	138.66082167559782	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	a70ab4ac1dfdd3ff33dda84b140edd4ef675f8ac	true	false	-34.93758253875038	138.66027091395225	AUS	South Australia	5066	40103101109	Burnside C	-34.805282538750376	138.61539709416854	AUS	South Australia	5095	40204117102	Salisbury C	9.499011142678732
Feathers Hotel SA	79e486cc9934f1076074fa5ad86b8301421ea5de	false	true	-33.920083208293015	138.7066917638389	AUS	South Australia	5415	40502111708	Clare and Gilbert Valleys DC	-34.93802320829302	138.66038731233022	AUS	South Australia	5066	40103101109	Burnside C	70.46118808422221
Feathers Hotel SA	86366ea411b3209479d125a693976db0b2e863dd	unknown	true								-34.93768812922632	138.65998639734522	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	69cdec546c37988ccd16cfc13fbcc969a1da1a7a	unknown	true								-34.93777307340297	138.66040294335787	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	96928e28ce4645a749c2b4e5a3a6857088d5641c	unknown	true								-34.93790271280016	138.6608294624056	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	30a072016aca150a4b26701e94da1a578ea69c99	unknown	true								-34.937850690098706	138.6609179400975	AUS	South Australia	5066	40103101109	Burnside C	
Feathers Hotel SA	1bf0ac3886cb2082cd2235b12b8af3e1a546870e	false	true	-34.92531691706129	138.55798482994024	AUS	South Australia	5031	40403110814	West Torrens C	-34.937976917061285	138.6606838691149	AUS	South Australia	5066	40103101109	Burnside C	5.8893901877161765
Feathers Hotel SA	722dc5143cfa6ffe61ce5a6db1e98094ad37b32e	true	unknown	-34.93767416990989	138.66033931773973	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	67303968a3b02ab31bb935bb162aa4ef29dadd3d	true	false	-34.938097931131	138.66060268407173	AUS	South Australia	5066	40103101109	Burnside C	-34.888641931131	138.6480585457405	AUS	South Australia	5070	40105101819	Norwood Payneham St Peters C	3.4941189035960494
Feathers Hotel SA	e35e0b4829426e5148b8eb0fde6df81b24d535a0	true	false	-34.93764658986959	138.66001088109203	AUS	South Australia	5066	40103101109	Burnside C	-34.921442589869585	138.61624597354165	AUS	South Australia	5067	40105101716	Norwood Payneham St Peters C	2.7232651044402902
Feathers Hotel SA	10abc966cba2fdee5cfd145b973658f8072abc95	true	false	-34.93773840933271	138.6603332740331	AUS	South Australia	5066	40103101109	Burnside C	-34.96474740933271	138.60597227478246	AUS	South Australia	5061	40107102303	Unley C	3.6040286665143344
Feathers Hotel SA	635caa518c2f407e6ebd16e28b9423e4ebacd023	true	unknown	-34.938128604938804	138.66037781337616	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	aa153d780246d49580036ef4aa837563cb762e17	true	false	-34.937340696285	138.66067754403085	AUS	South Australia	5066	40103101109	Burnside C	-23.69907769628499	133.87216729601334	AUS	Northern Territory	0870	70201104512	Alice Springs T	828.950346298561
Feathers Hotel SA	fb97994f314ef9e7ee598307e92932332aeea35d	true	unknown	-34.93728827866585	138.66009151138078	AUS	South Australia	5066	40103101109	Burnside C								
Feathers Hotel SA	879c4fafe90b8ea7dc7e23bd317c503d9873dd06	unknown	true								-34.93780839532954	138.66050330439225	AUS	South Australia	5066	40103101109	Burnside C	
