Location	Bucket	Type	Visitor Count	Percentage
Stirling Hotel SA	Total visitors with CEL	CEL Distance	2053	
Stirling Hotel SA	Median distance traveled from CEL	CEL Distance	8.931681303141605	
Stirling Hotel SA	Lives within 1 mile of location	CEL Distance	91	4.43%
Stirling Hotel SA	Lives between 1 and 2 miles	CEL Distance	127	6.19%
Stirling Hotel SA	Lives between 2 and 3 miles	CEL Distance	109	5.31%
Stirling Hotel SA	Lives between 3 and 5 miles	CEL Distance	101	4.92%
Stirling Hotel SA	Lives between 5 and 10 miles	CEL Distance	766	37.31%
Stirling Hotel SA	Lives between 10 and 25 miles	CEL Distance	611	29.76%
Stirling Hotel SA	Lives between 25 and 50 miles	CEL Distance	83	4.04%
Stirling Hotel SA	Lives between 50 and 100 miles	CEL Distance	11	0.54%
Stirling Hotel SA	Lives >100 miles away	CEL Distance	154	7.50%
Stirling Hotel SA	Total visitors with CDL	CDL Distance	2020	
Stirling Hotel SA	Median distance traveled from CDL	CDL Distance	8.891975216803843	
Stirling Hotel SA	Works within 1 mile of location	CDL Distance	74	3.66%
Stirling Hotel SA	Works between 1 and 2 miles	CDL Distance	106	5.25%
Stirling Hotel SA	Works between 2 and 3 miles	CDL Distance	83	4.11%
Stirling Hotel SA	Works between 3 and 5 miles	CDL Distance	79	3.91%
Stirling Hotel SA	Works between 5 and 10 miles	CDL Distance	865	42.82%
Stirling Hotel SA	Works between 10 and 25 miles	CDL Distance	565	27.97%
Stirling Hotel SA	Works between 25 and 50 miles	CDL Distance	86	4.26%
Stirling Hotel SA	Works between 50 and 100 miles	CDL Distance	9	0.45%
Stirling Hotel SA	Works >100 miles away	CDL Distance	153	7.57%
Stirling Hotel SA	5152	Top CEL Zip Code	152	7.40%
Stirling Hotel SA	5251	Top CEL Zip Code	108	5.26%
Stirling Hotel SA	5153	Top CEL Zip Code	102	4.97%
Stirling Hotel SA	5154	Top CEL Zip Code	67	3.26%
Stirling Hotel SA	5051	Top CEL Zip Code	53	2.58%
Stirling Hotel SA	5159	Top CEL Zip Code	53	2.58%
Stirling Hotel SA	5155	Top CEL Zip Code	52	2.53%
Stirling Hotel SA	5062	Top CEL Zip Code	46	2.24%
Stirling Hotel SA	5064	Top CEL Zip Code	41	2.00%
Stirling Hotel SA	5066	Top CEL Zip Code	38	1.85%
Stirling Hotel SA	5061	Top CEL Zip Code	32	1.56%
Stirling Hotel SA	5250	Top CEL Zip Code	32	1.56%
