Date	Polygon	Observed Devices
2019-11-05	Stirling Hotel SA	14
2019-11-06	Stirling Hotel SA	1
2019-11-07	Stirling Hotel SA	8
2019-11-08	Stirling Hotel SA	6
2019-11-09	Stirling Hotel SA	9
2019-11-10	Stirling Hotel SA	18
2019-11-11	Stirling Hotel SA	3
2019-11-12	Stirling Hotel SA	6
2019-11-13	Stirling Hotel SA	6
2019-11-14	Stirling Hotel SA	12
2019-11-15	Stirling Hotel SA	10
2019-11-16	Stirling Hotel SA	9
2019-11-17	Stirling Hotel SA	6
2019-11-18	Stirling Hotel SA	6
2019-11-19	Stirling Hotel SA	5
2019-11-20	Stirling Hotel SA	7
2019-11-21	Stirling Hotel SA	5
2019-11-22	Stirling Hotel SA	11
2019-11-23	Stirling Hotel SA	9
2019-11-24	Stirling Hotel SA	9
2019-11-25	Stirling Hotel SA	5
2019-11-26	Stirling Hotel SA	8
2019-11-27	Stirling Hotel SA	3
2019-11-28	Stirling Hotel SA	4
2019-11-29	Stirling Hotel SA	13
2019-11-30	Stirling Hotel SA	21
2019-12-01	Stirling Hotel SA	7
2019-12-02	Stirling Hotel SA	6
2019-12-03	Stirling Hotel SA	5
2019-12-04	Stirling Hotel SA	8
2019-12-05	Stirling Hotel SA	5
2019-12-06	Stirling Hotel SA	16
2019-12-07	Stirling Hotel SA	7
2019-12-08	Stirling Hotel SA	12
2019-12-09	Stirling Hotel SA	11
2019-12-10	Stirling Hotel SA	7
2019-12-11	Stirling Hotel SA	8
2019-12-12	Stirling Hotel SA	9
2019-12-13	Stirling Hotel SA	17
2019-12-14	Stirling Hotel SA	17
2019-12-15	Stirling Hotel SA	17
2019-12-16	Stirling Hotel SA	13
2019-12-17	Stirling Hotel SA	7
2019-12-18	Stirling Hotel SA	13
2019-12-19	Stirling Hotel SA	8
2019-12-20	Stirling Hotel SA	9
2019-12-21	Stirling Hotel SA	9
2019-12-22	Stirling Hotel SA	18
2019-12-23	Stirling Hotel SA	12
2019-12-24	Stirling Hotel SA	24
2019-12-25	Stirling Hotel SA	2
2019-12-26	Stirling Hotel SA	10
2019-12-27	Stirling Hotel SA	16
2019-12-28	Stirling Hotel SA	9
2019-12-29	Stirling Hotel SA	16
2019-12-30	Stirling Hotel SA	5
2019-12-31	Stirling Hotel SA	15
2020-01-01	Stirling Hotel SA	8
2020-01-02	Stirling Hotel SA	6
2020-01-03	Stirling Hotel SA	6
2020-01-04	Stirling Hotel SA	10
2020-01-05	Stirling Hotel SA	17
2020-01-06	Stirling Hotel SA	8
2020-01-07	Stirling Hotel SA	10
2020-01-08	Stirling Hotel SA	5
2020-01-09	Stirling Hotel SA	3
2020-01-10	Stirling Hotel SA	5
