Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
Stirling Hotel SA	1055251e7cfdb6976dd255ebb32734f2d2e9c0c9	-34.87521091576696	138.4877785510342	AUS	40401109607		Charles Sturt C	West Lakes	South Australia		5021			15.905167226694248													
Stirling Hotel SA	4d48a9c99fdc80b3f9e909d67d6662f06a1d64c4	-34.97946615569764	138.5790098516993	AUS	40303106804		Mitcham C	Colonel Light Gardens	South Australia		5039			8.09177735456214	-34.97950515569764	138.57901385187262	AUS	40303106804		Mitcham C	Colonel Light Gardens	South Australia		5039			8.090927048819566
Stirling Hotel SA	e3e11a1d3024378a46c21606dee644c0bb72c626	-34.90496379988484	138.60990925354895	AUS	40101100205		Adelaide C	North Adelaide	South Australia		5006			9.327714416760267	-34.89669579988484	138.54631724869142	AUS	40401109002		Charles Sturt C	Beverley	South Australia		5009			12.350086494135628
Stirling Hotel SA	5590926c2cfd6f710503cf9b8578c5866f2b6ae1	-34.60509019384442	138.75557063301727	AUS	40201102610		Gawler T	Gawler - South	South Australia		5118			27.8632975106797	-34.605100193844414	138.75555863302122	AUS	40201102610		Gawler T	Gawler - South	South Australia		5118			27.862555482213807
Stirling Hotel SA	3fccb0d493bf868bd3ca082b8ea042a5a12e8ca4	-35.01551154997643	138.76812307268375	AUS	40102100439		Adelaide Hills DC	Aldgate - Stirling	South Australia		5155			2.910798044805944	-35.01550854997643	138.76814007267234	AUS	40102100439		Adelaide Hills DC	Aldgate - Stirling	South Australia		5155			2.9116966172149907
Stirling Hotel SA	a296c78577f175adf7f740f2c908d686d2b204f0	-23.70940685451001	133.85431918699888	AUS	70201104810		Alice Springs T	Larapinta	Northern Territory		0870			834.3079644101192	-23.69785085451001	133.88283916404868	AUS	70201104510		Alice Springs T	Charles	Northern Territory		0870			834.4636668345406
Stirling Hotel SA	bfa3443813790eed1974fb31f0ac52b9ddfcd442	-35.0245518318104	138.6652769899093	AUS	40303106703		Mitcham C	Blackwood	South Australia		5156			3.2251120550717713	-34.928596831810395	138.59895298172452	AUS	40101100147		Adelaide C	Adelaide	South Australia		5000			8.639638747575349
Stirling Hotel SA	fb076a86763849af3118a6b6d702d6de7e61a156	-34.98935914965374	138.72649357358588	AUS	40102100423		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			1.2962131827437529	-34.98936914965373	138.72649257355542	AUS	40102100423		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			1.2955510689898933
Stirling Hotel SA	774d9bc98993925bdd8f977b7dda1850296b6278	-34.99659521357745	138.61913273192323	AUS	40303106506		Mitcham C	Belair	South Australia		5052			5.63859531885849	-29.03685321357745	134.8051955684202	AUS	40602113908		Coober Pedy DC	Coober Pedy	South Australia		5723			472.2961740555847
Stirling Hotel SA	dbf4dbbdfec42380452ff21deb6267acee0be1ae	-33.975291939481416	137.7363733486455	AUS	40504112414		Copper Coast DC	Kadina	South Australia		5554			90.66981067964375	-33.96779093948141	137.72157731853656	AUS	40504112410		Copper Coast DC	Kadina	South Australia		5554			91.60083843197178
